Date,Price,Open,High,Low,Change 
12/01/2022,3.203,2.449,3.212,2.351,26.40
11/01/2022,2.534,2.802,3.095,2.382,-10.43
10/01/2022,2.829,2.810,3.268,2.474,0.39
09/01/2022,2.818,2.224,3.012,2.110,29.80
08/01/2022,2.171,1.365,2.236,1.218,60.10
07/01/2022,1.356,1.946,2.005,1.342,-29.96
06/01/2022,1.936,1.673,2.496,1.664,15.10
05/01/2022,1.682,1.445,1.712,1.366,16.81
04/01/2022,1.440,1.040,1.449,0.967,43.00
03/01/2022,1.007,0.509,1.110,0.286,91.81
02/01/2022,0.525,0.253,0.683,0.230,103.49
01/01/2022,0.258,0.100,0.292,0.080,151.94
12/01/2021,0.102,-0.084,0.106,-0.153,-223.38
11/01/2021,-0.083,0.157,0.196,-0.105,-153.55
10/01/2021,0.155,0.013,0.201,-0.011,355.88
09/01/2021,0.034,-0.149,0.058,-0.166,-122.08
08/01/2021,-0.154,-0.206,-0.136,-0.281,-27.01
07/01/2021,-0.211,0.014,0.030,-0.226,0
06/01/2021,0.004,0.056,0.080,-0.053,-92.73
05/01/2021,0.055,0.036,0.201,-0.017,44.74
04/01/2021,0.038,-0.068,0.059,-0.118,-163.33
03/01/2021,-0.060,-0.073,-0.020,-0.155,140.00
02/01/2021,-0.025,-0.387,0.038,-0.391,-93.37
01/01/2021,-0.377,-0.418,-0.339,-0.477,-11.71
12/01/2020,-0.427,-0.424,-0.344,-0.486,2.40
11/01/2020,-0.417,-0.440,-0.316,-0.480,-3.02
10/01/2020,-0.430,-0.345,-0.321,-0.470,24.64
09/01/2020,-0.345,-0.234,-0.202,-0.378,55.41
08/01/2020,-0.222,-0.289,-0.192,-0.350,-28.62
07/01/2020,-0.311,-0.196,-0.141,-0.347,45.33
06/01/2020,-0.214,-0.093,0.020,-0.249,94.55
05/01/2020,-0.110,-0.142,-0.019,-0.148,-26.67
04/01/2020,-0.150,-0.015,0.195,-0.157,-752.17
03/01/2020,0.023,-0.371,0.396,-0.532,-106.23
02/01/2020,-0.369,-0.249,-0.159,-0.405,40.84
01/01/2020,-0.262,0.029,0.057,-0.273,0
12/01/2019,0.026,-0.074,0.041,-0.142,-120.80
11/01/2019,-0.125,-0.159,0.008,-0.180,-26.04
10/01/2019,-0.169,-0.291,-0.079,-0.349,-47.19
09/01/2019,-0.320,-0.436,-0.184,-0.480,-27.77
08/01/2019,-0.443,-0.204,-0.187,-0.475,102.28
07/01/2019,-0.219,-0.037,0.030,-0.220,305.56
06/01/2019,-0.054,0.121,0.132,-0.056,-143.55
05/01/2019,0.124,0.322,0.342,0.112,-59.61
04/01/2019,0.307,0.260,0.393,0.254,30.08
03/01/2019,0.236,0.540,0.561,0.205,-56.30
02/01/2019,0.540,0.376,0.547,0.309,42.86
01/01/2019,0.378,0.491,0.530,0.367,-24.10
12/01/2018,0.498,0.598,0.601,0.460,-11.23
11/01/2018,0.561,0.618,0.685,0.552,-7.12
10/01/2018,0.604,0.694,0.793,0.580,-12.46
09/01/2018,0.690,0.566,0.780,0.540,25.00
08/01/2018,0.552,0.647,0.713,0.504,-11.82
07/01/2018,0.626,0.623,0.679,0.507,7.38
06/01/2018,0.583,0.733,0.871,0.576,-13.76
05/01/2018,0.676,0.784,0.878,0.557,-13.78
04/01/2018,0.784,0.712,0.876,0.680,7.40
03/01/2018,0.730,0.899,0.982,0.673,-19.34
02/01/2018,0.905,0.824,0.932,0.758,13.12
01/01/2018,0.800,0.585,0.823,0.556,37.46
12/01/2017,0.582,0.516,0.605,0.380,13.67
11/01/2017,0.512,0.545,0.585,0.456,-5.88
10/01/2017,0.544,0.675,0.685,0.483,-15.13
09/01/2017,0.641,0.564,0.701,0.492,12.46
