Date,Price,Open,High,Low,Change 
12/01/2022,3.201,2.391,3.254,2.277,29.96
11/01/2022,2.463,2.720,2.955,2.317,-10.31
10/01/2022,2.746,2.794,3.155,2.416,-0.72
09/01/2022,2.766,2.235,2.998,2.131,26.71
08/01/2022,2.183,1.438,2.238,1.282,53.73
07/01/2022,1.420,2.025,2.100,1.400,-30.49
06/01/2022,2.043,1.733,2.567,1.705,19.61
05/01/2022,1.708,1.528,1.781,1.424,12.74
04/01/2022,1.515,1.114,1.531,0.983,48.24
03/01/2022,1.022,0.624,1.195,0.397,59.44
02/01/2022,0.641,0.352,0.827,0.316,83.67
01/01/2022,0.349,0.194,0.368,0.162,96.07
12/01/2021,0.178,0.006,0.191,-0.067,0
11/01/2021,0.004,0.244,0.279,-0.016,-98.35
10/01/2021,0.243,0.103,0.274,0.075,100.83
09/01/2021,0.121,-0.047,0.150,-0.073,-337.25
08/01/2021,-0.051,-0.116,-0.044,-0.189,-54.87
07/01/2021,-0.113,0.114,0.133,-0.137,-208.65
06/01/2021,0.104,0.144,0.179,0.052,-26.76
05/01/2021,0.142,0.133,0.305,0.089,6.77
04/01/2021,0.133,0.013,0.151,-0.028,0
03/01/2021,0.009,0.016,0.076,-0.076,-82.69
02/01/2021,0.052,-0.337,0.112,-0.341,-115.62
01/01/2021,-0.333,-0.389,-0.294,-0.429,-13.28
12/01/2020,-0.384,-0.380,-0.314,-0.443,4.35
11/01/2020,-0.368,-0.383,-0.263,-0.428,-4.42
10/01/2020,-0.385,-0.275,-0.265,-0.405,32.76
09/01/2020,-0.290,-0.142,-0.115,-0.324,110.14
08/01/2020,-0.138,-0.220,-0.115,-0.276,-35.81
07/01/2020,-0.215,-0.108,-0.060,-0.254,70.63
06/01/2020,-0.126,0.004,0.101,-0.163,0
05/01/2020,-0.010,0.021,0.136,-0.033,-52.38
04/01/2020,-0.021,0.048,0.302,-0.030,-123.08
03/01/2020,0.091,-0.213,0.602,-0.375,-142.13
02/01/2020,-0.216,-0.183,-0.014,-0.250,10.20
01/01/2020,-0.196,0.102,0.119,-0.200,-302.06
12/01/2019,0.097,-0.015,0.104,-0.108,-253.97
11/01/2019,-0.063,-0.101,0.080,-0.112,-35.05
10/01/2019,-0.097,-0.229,-0.022,-0.272,-61.66
09/01/2019,-0.253,-0.341,-0.110,-0.378,-27.71
08/01/2019,-0.350,-0.101,-0.084,-0.396,186.89
07/01/2019,-0.122,0.078,0.154,-0.125,-287.69
06/01/2019,0.065,0.283,0.288,0.058,-77.74
05/01/2019,0.292,0.470,0.485,0.286,-35.68
04/01/2019,0.454,0.445,0.547,0.412,8.87
03/01/2019,0.417,0.725,0.738,0.381,-39.74
02/01/2019,0.692,0.738,0.796,0.628,-6.11
01/01/2019,0.737,0.750,0.861,0.665,-4.16
12/01/2018,0.769,0.781,0.789,0.707,1.05
11/01/2018,0.761,0.793,0.885,0.747,-2.19
10/01/2018,0.778,0.841,0.956,0.763,-7.27
09/01/2018,0.839,0.715,0.896,0.695,19.52
08/01/2018,0.702,0.757,0.812,0.670,-5.39
07/01/2018,0.742,0.697,0.773,0.615,6.76
06/01/2018,0.695,0.776,0.932,0.682,-6.84
05/01/2018,0.746,0.830,0.929,0.706,-9.47
04/01/2018,0.824,0.787,0.924,0.752,8.28
03/01/2018,0.761,0.941,0.987,0.737,-19.47
02/01/2018,0.945,0.874,1.058,0.810,11.44
01/01/2018,0.848,0.626,0.852,0.609,32.07
12/01/2017,0.642,0.567,0.649,0.476,12.41
11/01/2017,0.571,0.607,0.659,0.536,-6.05
10/01/2017,0.608,0.753,0.776,0.604,-17.14
09/01/2017,0.734,0.669,0.800,0.613,10.23
08/01/2017,0.666,0.837,0.839,0.653,-19.52
07/01/2017,0.827,0.813,0.945,0.760,2.78
06/01/2017,0.805,0.663,0.815,0.559,24.79
05/01/2017,0.645,0.800,0.866,0.630,-16.86
04/01/2017,0.776,0.850,0.857,0.721,-7.81
03/01/2017,0.841,0.732,0.996,0.708,19.45
02/01/2017,0.704,1.025,1.035,0.692,-13.33
01/01/2017,0.813,0.545,0.914,0.481,47.39
12/01/2016,0.551,0.636,0.817,0.485,-11.14
11/01/2016,0.621,0.418,0.832,0.360,53.55
10/01/2016,0.404,0.147,0.452,0.133,196.48
09/01/2016,0.136,0.191,0.308,0.082,-12.85
08/01/2016,0.156,0.136,0.240,0.096,19.75
07/01/2016,0.131,0.230,0.309,0.128,-45.36
06/01/2016,0.239,0.512,0.554,0.236,-53.90
05/01/2016,0.518,0.664,0.676,0.494,-25.12
04/01/2016,0.692,0.387,0.718,0.327,80.90
03/01/2016,0.383,0.463,0.607,0.367,-13.48
02/01/2016,0.442,0.592,0.667,0.432,-29.27
01/01/2016,0.625,0.929,0.941,0.610,-35.98
12/01/2015,0.977,0.813,1.020,0.744,23.99
11/01/2015,0.788,0.821,1.007,0.741,-4.39
10/01/2015,0.824,0.930,0.953,0.718,-8.95
09/01/2015,0.905,1.122,1.172,0.880,-18.54
08/01/2015,1.111,0.962,1.133,0.910,16.70
07/01/2015,0.952,1.210,1.379,0.939,-21.77
06/01/2015,1.217,0.815,1.418,0.803,48.23
05/01/2015,0.821,0.660,1.105,0.637,26.31
04/01/2015,0.650,0.465,0.683,0.323,45.74
03/01/2015,0.446,0.572,0.673,0.399,-19.20
02/01/2015,0.552,0.610,0.718,0.522,-12.10
01/01/2015,0.628,0.825,0.849,0.579,-23.79
12/01/2014,0.824,0.915,1.010,0.824,-11.30
11/01/2014,0.929,1.094,1.157,0.922,-17.05
10/01/2014,1.120,1.217,1.265,1.029,-8.42
09/01/2014,1.223,1.223,1.429,1.207,-0.24
08/01/2014,1.226,1.554,1.589,1.185,-21.21
07/01/2014,1.556,1.705,1.769,1.489,-8.36
06/01/2014,1.698,1.892,1.996,1.688,-10.54
05/01/2014,1.898,2.074,2.109,1.850,-9.14
04/01/2014,2.089,2.230,2.286,2.085,-5.77
03/01/2014,2.217,2.293,2.376,2.138,-5.26
02/01/2014,2.340,2.162,2.471,2.117,8.33
01/01/2014,2.160,2.592,2.603,2.147,-15.66
12/01/2013,2.561,2.354,2.592,2.314,8.52
11/01/2013,2.360,2.416,2.520,2.340,-2.68
10/01/2013,2.425,2.580,2.693,2.389,-6.08
09/01/2013,2.582,2.774,2.928,2.570,-6.01
08/01/2013,2.747,2.469,2.843,2.449,8.45
07/01/2013,2.533,2.622,2.666,2.473,-4.09
06/01/2013,2.641,2.235,2.951,2.233,17.90
05/01/2013,2.240,1.942,2.285,1.898,14.58
04/01/2013,1.955,2.219,2.263,1.919,-12.61
03/01/2013,2.237,2.348,2.357,2.174,-4.73
02/01/2013,2.348,2.514,2.568,2.340,-6.19
01/01/2013,2.503,2.053,2.536,2.053,22.04
12/01/2012,2.051,2.195,2.212,2.025,-4.78
11/01/2012,2.154,2.478,2.478,2.149,-11.97
10/01/2012,2.447,2.562,2.574,2.321,-3.13
09/01/2012,2.526,2.560,2.713,2.522,-1.52
08/01/2012,2.565,2.611,2.644,2.469,-1.95
07/01/2012,2.616,3.199,3.212,2.388,-18.56
06/01/2012,3.212,3.076,3.385,2.865,3.81
05/01/2012,3.094,3.454,3.526,3.066,-9.85
04/01/2012,3.432,3.565,3.665,3.428,-3.00
03/01/2012,3.538,3.757,3.784,3.406,-5.15
02/01/2012,3.730,3.869,3.882,3.562,-2.51
01/01/2012,3.826,4.060,4.665,3.787,-6.89
12/01/2011,4.109,5.027,5.089,3.894,-18.79
11/01/2011,5.060,4.365,5.949,4.242,14.77
10/01/2011,4.409,3.655,4.573,3.601,20.79
09/01/2011,3.650,4.063,4.226,3.603,-9.09
08/01/2011,4.015,4.398,4.577,3.787,-8.65
07/01/2011,4.395,4.092,4.416,4.039,7.33
06/01/2011,4.095,4.215,4.240,4.011,-1.75
05/01/2011,4.168,4.247,4.359,4.120,-1.86
04/01/2011,4.247,4.348,4.431,4.217,-1.92
03/01/2011,4.330,4.311,4.410,3.958,0.86
02/01/2011,4.293,4.316,4.358,4.092,0.35
01/01/2011,4.278,3.919,4.380,3.854,7.73
12/01/2010,3.971,4.052,4.148,3.834,-2.34
11/01/2010,4.066,3.343,4.209,3.244,22.03
10/01/2010,3.332,3.146,3.420,3.064,6.05
09/01/2010,3.142,2.844,3.385,2.832,11.10
08/01/2010,2.828,3.318,3.358,2.789,-14.38
07/01/2010,3.303,3.447,3.503,3.193,-4.73
06/01/2010,3.467,3.135,3.645,3.093,10.27
05/01/2010,3.144,3.517,3.717,3.047,-9.60
04/01/2010,3.478,3.546,3.700,3.477,-2.08
03/01/2010,3.552,3.684,3.738,3.522,-3.35
02/01/2010,3.675,3.744,3.822,3.638,-2.36
01/01/2010,3.764,3.767,3.892,3.617,1.29
12/01/2009,3.716,3.566,3.748,3.509,4.18
11/01/2009,3.567,3.625,3.764,3.557,-2.06
10/01/2009,3.642,3.714,3.805,3.584,-0.30
09/01/2009,3.653,3.716,3.846,3.633,-1.70
08/01/2009,3.716,3.744,3.933,3.656,-0.40
07/01/2009,3.731,3.980,4.031,3.731,-5.74
06/01/2009,3.958,4.201,4.337,3.937,-5.47
05/01/2009,4.187,3.880,4.256,3.826,8.25
04/01/2009,3.868,3.934,4.074,3.796,-1.75
03/01/2009,3.937,4.153,4.213,3.857,-6.11
02/01/2009,4.193,4.390,4.451,4.061,-4.51
01/01/2009,4.391,3.846,4.679,3.704,16.38
12/01/2008,3.773,3.985,4.114,3.687,-5.11
11/01/2008,3.976,4.624,4.640,3.951,-13.70
10/01/2008,4.607,4.622,4.714,4.224,-0.54
09/01/2008,4.632,4.554,4.784,4.378,1.74
08/01/2008,4.553,4.718,4.742,4.456,-3.50
07/01/2008,4.718,4.975,5.063,4.681,-5.17
06/01/2008,4.975,4.719,5.013,4.550,5.42
05/01/2008,4.719,4.401,4.748,4.288,6.91
04/01/2008,4.414,4.304,4.565,4.217,2.56
03/01/2008,4.304,4.182,4.539,4.088,3.09
02/01/2008,4.175,4.197,4.394,4.078,-0.69
01/01/2008,4.204,4.474,4.497,3.980,-5.93
12/01/2007,4.469,4.366,4.529,4.232,2.66
11/01/2007,4.353,4.416,4.456,4.167,-1.74
10/01/2007,4.430,4.493,4.566,4.261,-1.45
09/01/2007,4.495,4.404,4.562,4.239,2.23
08/01/2007,4.397,4.493,4.569,4.321,-2.07
07/01/2007,4.490,4.490,4.490,4.490,-3.36
06/01/2007,4.646,4.646,4.646,4.646,4.17
05/01/2007,4.460,4.460,4.460,4.460,4.06
04/01/2007,4.286,4.286,4.286,4.286,3.83
03/01/2007,4.128,4.128,4.128,4.128,3.80
02/01/2007,3.977,3.977,3.977,3.977,-4.33
01/01/2007,4.157,4.157,4.157,4.157,4.00
12/01/2006,3.997,3.997,3.997,3.997,6.25
11/01/2006,3.762,3.762,3.762,3.762,-1.60
10/01/2006,3.823,3.823,3.823,3.823,3.27
09/01/2006,3.702,3.702,3.702,3.702,-3.29
08/01/2006,3.828,3.828,3.828,3.828,-3.06
07/01/2006,3.949,3.949,3.949,3.949,-2.83
06/01/2006,4.064,4.064,4.064,4.064,2.57
05/01/2006,3.962,3.962,3.962,3.962,-1.34
04/01/2006,4.016,4.016,4.016,4.016,4.42
03/01/2006,3.846,3.846,3.846,3.846,7.31
02/01/2006,3.584,3.584,3.584,3.584,2.61
01/01/2006,3.493,3.493,3.493,3.493,4.39
12/01/2005,3.346,3.346,3.346,3.346,-3.66
11/01/2005,3.473,3.473,3.473,3.473,0.67
10/01/2005,3.450,3.450,3.450,3.450,7.41
09/01/2005,3.212,3.212,3.212,3.212,-0.06
08/01/2005,3.214,3.214,3.214,3.214,-2.52
07/01/2005,3.297,3.297,3.297,3.297,1.57
