Date,Price,Open,High,Low,Change 
12/01/2022,2.810,2.100,2.828,1.990,30.21
11/01/2022,2.158,2.158,2.158,2.158,-15.07
10/01/2022,2.541,2.541,2.541,2.541,-1.40
09/01/2022,2.577,2.577,2.577,2.577,35.42
08/01/2022,1.903,1.903,1.903,1.903,71.75
07/01/2022,1.108,1.108,1.108,1.108,-37.05
06/01/2022,1.760,1.760,1.760,1.760,17.18
05/01/2022,1.502,1.502,1.502,1.502,17.16
04/01/2022,1.282,1.282,1.282,1.282,55.39
03/01/2022,0.825,0.825,0.825,0.825,82.12
02/01/2022,0.453,0.453,0.453,0.453,100.44
01/01/2022,0.226,0.226,0.226,0.226,169.05
12/01/2021,0.084,0.084,0.084,0.084,-229.23
11/01/2021,-0.065,-0.065,-0.065,-0.065,-136.93
10/01/2021,0.176,0.176,0.176,0.176,49.15
09/01/2021,0.118,0.118,0.118,0.118,-261.64
08/01/2021,-0.073,-0.073,-0.073,-0.073,-43.85
07/01/2021,-0.130,-0.130,-0.130,-0.130,-241.30
06/01/2021,0.092,0.092,0.092,0.092,-40.26
05/01/2021,0.154,0.154,0.154,0.154,46.67
04/01/2021,0.105,0.105,0.105,0.105,275.00
03/01/2021,0.028,0.028,0.028,0.028,-129.17
02/01/2021,-0.096,-0.096,-0.096,-0.096,-75.88
01/01/2021,-0.398,-0.398,-0.398,-0.398,-11.16
12/01/2020,-0.448,-0.448,-0.448,-0.448,-0.67
11/01/2020,-0.451,-0.451,-0.451,-0.451,-8.15
10/01/2020,-0.491,-0.491,-0.491,-0.491,19.46
09/01/2020,-0.411,-0.411,-0.411,-0.411,41.72
08/01/2020,-0.290,-0.290,-0.290,-0.290,-25.83
07/01/2020,-0.391,-0.391,-0.391,-0.391,18.48
06/01/2020,-0.330,-0.330,-0.330,-0.330,32.00
05/01/2020,-0.250,-0.250,-0.250,-0.250,-25.60
04/01/2020,-0.336,-0.336,-0.336,-0.336,62.32
03/01/2020,-0.207,-0.207,-0.207,-0.207,-64.49
02/01/2020,-0.583,-0.583,-0.583,-0.583,34.64
01/01/2020,-0.433,-0.433,-0.433,-0.433,181.17
12/01/2019,-0.154,-0.154,-0.154,-0.154,-53.89
11/01/2019,-0.334,-0.334,-0.334,-0.334,-9.73
10/01/2019,-0.370,-0.370,-0.370,-0.370,-32.73
09/01/2019,-0.550,-0.550,-0.550,-0.550,-18.28
08/01/2019,-0.673,-0.673,-0.673,-0.673,78.51
07/01/2019,-0.377,-0.377,-0.377,-0.377,47.84
06/01/2019,-0.255,-0.255,-0.255,-0.255,226.92
