Date,Price,Open,High,Low,Change 
12/01/2022,3.095,2.422,3.140,2.319,22.24
11/01/2022,2.532,2.769,3.040,2.369,-9.67
10/01/2022,2.803,2.809,3.246,2.439,0.32
09/01/2022,2.794,2.057,2.990,1.937,39.84
08/01/2022,1.998,1.246,2.045,1.080,63.37
07/01/2022,1.223,1.791,1.870,1.209,-32.84
06/01/2022,1.821,1.587,2.372,1.568,15.91
05/01/2022,1.571,1.359,1.613,1.276,16.11
04/01/2022,1.353,0.993,1.365,0.860,50.33
03/01/2022,0.900,0.526,1.075,0.306,66.36
02/01/2022,0.541,0.277,0.667,0.239,102.62
01/01/2022,0.267,0.089,0.288,0.079,193.41
12/01/2021,0.091,-0.072,0.095,-0.152,-216.67
11/01/2021,-0.078,0.153,0.192,-0.098,-151.32
10/01/2021,0.152,-0.057,0.190,-0.072,-560.61
09/01/2021,-0.033,-0.213,-0.007,-0.236,-84.21
08/01/2021,-0.209,-0.271,-0.205,-0.346,-25.36
07/01/2021,-0.280,-0.025,-0.006,-0.282,700.00
06/01/2021,-0.035,0.018,0.039,-0.088,-600.00
05/01/2021,0.007,0.007,0.165,-0.050,75.00
04/01/2021,0.004,-0.107,0.022,-0.159,-103.57
03/01/2021,-0.112,-0.086,-0.054,-0.193,86.67
02/01/2021,-0.060,-0.343,-0.012,-0.347,-82.09
01/01/2021,-0.335,-0.422,-0.305,-0.465,-17.89
12/01/2020,-0.408,-0.383,-0.311,-0.448,8.80
11/01/2020,-0.375,-0.431,-0.280,-0.465,-10.71
10/01/2020,-0.420,-0.318,-0.297,-0.447,31.25
09/01/2020,-0.320,-0.274,-0.220,-0.372,21.21
08/01/2020,-0.264,-0.350,-0.227,-0.388,-22.12
07/01/2020,-0.339,-0.234,-0.171,-0.386,33.99
06/01/2020,-0.253,-0.145,-0.010,-0.282,49.70
05/01/2020,-0.169,-0.156,-0.043,-0.187,0.00
04/01/2020,-0.169,-0.079,0.175,-0.191,634.78
03/01/2020,-0.023,-0.338,0.338,-0.526,-93.39
02/01/2020,-0.348,-0.227,-0.137,-0.376,45.00
01/01/2020,-0.240,0.061,0.074,-0.244,-600.00
12/01/2019,0.048,-0.064,0.057,-0.120,-143.24
11/01/2019,-0.111,-0.158,0.019,-0.172,-31.06
10/01/2019,-0.161,-0.285,-0.084,-0.336,-47.04
09/01/2019,-0.304,-0.414,-0.181,-0.449,-27.79
08/01/2019,-0.421,-0.184,-0.166,-0.461,113.71
07/01/2019,-0.197,-0.016,0.045,-0.198,629.63
06/01/2019,-0.027,0.141,0.148,-0.034,-118.12
