Date,Price,Open,High,Low,Change 
12/01/2022,3.113,2.313,3.118,2.193,29.33
11/01/2022,2.407,2.655,2.908,2.257,-10.35
10/01/2022,2.685,2.722,3.092,2.366,-1.32
09/01/2022,2.721,2.205,2.954,2.084,26.56
08/01/2022,2.150,1.394,2.210,1.249,55.23
07/01/2022,1.385,1.955,2.011,1.367,-29.23
06/01/2022,1.957,1.629,2.484,1.622,18.97
05/01/2022,1.645,1.462,1.721,1.368,12.44
04/01/2022,1.463,1.029,1.479,0.962,48.53
03/01/2022,0.985,0.601,1.157,0.349,59.90
02/01/2022,0.616,0.414,0.803,0.396,44.26
01/01/2022,0.427,0.208,0.441,0.177,120.10
12/01/2021,0.194,0.015,0.206,-0.056,0
11/01/2021,0.015,0.263,0.317,-0.009,-94.55
10/01/2021,0.275,0.138,0.308,0.106,77.42
09/01/2021,0.155,-0.026,0.181,-0.053,-653.57
08/01/2021,-0.028,-0.099,-0.024,-0.177,-72.55
07/01/2021,-0.102,0.139,0.154,-0.113,-177.86
06/01/2021,0.131,0.177,0.208,0.080,-23.84
05/01/2021,0.172,0.152,0.328,0.110,9.55
04/01/2021,0.157,-0.045,0.172,-0.094,-429.83
03/01/2021,-0.048,-0.056,0.002,-0.140,833.33
02/01/2021,-0.005,-0.289,0.047,-0.290,-98.13
01/01/2021,-0.273,-0.340,-0.244,-0.380,-19.91
12/01/2020,-0.341,-0.333,-0.269,-0.393,5.67
11/01/2020,-0.323,-0.346,-0.221,-0.389,-5.09
10/01/2020,-0.340,-0.234,-0.217,-0.360,40.31
09/01/2020,-0.242,-0.101,-0.071,-0.276,173.90
08/01/2020,-0.089,-0.197,-0.076,-0.248,-55.21
07/01/2020,-0.198,-0.098,-0.049,-0.232,70.93
06/01/2020,-0.116,-0.057,0.099,-0.148,54.13
05/01/2020,-0.075,-0.077,0.047,-0.090,-26.47
04/01/2020,-0.102,-0.007,0.206,-0.112,0
03/01/2020,0.001,-0.289,0.520,-0.427,-100.35
02/01/2020,-0.287,-0.166,-0.081,-0.316,56.83
01/01/2020,-0.183,0.111,0.146,-0.186,-250.00
12/01/2019,0.122,-0.002,0.130,-0.060,-348.98
11/01/2019,-0.049,-0.093,0.083,-0.108,-49.48
10/01/2019,-0.097,-0.247,-0.018,-0.305,-64.49
09/01/2019,-0.273,-0.406,-0.158,-0.436,-33.27
08/01/2019,-0.409,-0.162,-0.147,-0.454,123.72
07/01/2019,-0.183,0.012,0.081,-0.186,0
06/01/2019,-0.006,0.213,0.215,-0.011,-102.89
05/01/2019,0.211,0.386,0.397,0.207,-42.85
04/01/2019,0.370,0.343,0.451,0.310,16.91
03/01/2019,0.316,0.575,0.599,0.285,-44.98
02/01/2019,0.575,0.561,0.609,0.505,3.10
01/01/2019,0.558,0.693,0.753,0.553,-21.40
12/01/2018,0.710,0.713,0.756,0.645,3.67
11/01/2018,0.685,0.760,0.833,0.674,-9.47
10/01/2018,0.756,0.821,0.928,0.727,-6.61
09/01/2018,0.810,0.692,0.868,0.678,17.21
08/01/2018,0.691,0.754,0.794,0.653,-5.91
07/01/2018,0.734,0.669,0.761,0.609,9.61
06/01/2018,0.670,0.704,0.918,0.660,-0.51
05/01/2018,0.673,0.802,0.899,0.629,-17.07
04/01/2018,0.812,0.724,0.887,0.707,12.81
03/01/2018,0.720,0.926,0.991,0.700,-22.80
02/01/2018,0.932,0.982,1.057,0.919,-4.73
01/01/2018,0.978,0.768,0.996,0.756,24.78
12/01/2017,0.784,0.689,0.811,0.605,14.57
11/01/2017,0.684,0.761,0.798,0.650,-9.80
10/01/2017,0.759,0.770,0.910,0.709,1.53
09/01/2017,0.747,0.662,0.811,0.599,11.97
08/01/2017,0.668,0.810,0.818,0.644,-17.20
07/01/2017,0.806,0.829,0.954,0.731,-1.72
06/01/2017,0.820,0.733,0.840,0.578,14.65
05/01/2017,0.715,0.771,0.898,0.704,-6.23
04/01/2017,0.763,0.981,0.987,0.746,-20.93
03/01/2017,0.965,0.915,1.148,0.892,9.41
02/01/2017,0.882,1.064,1.154,0.866,-14.20
01/01/2017,1.028,0.695,1.115,0.631,50.51
12/01/2016,0.683,0.785,0.922,0.632,-7.20
11/01/2016,0.736,0.484,0.885,0.423,53.65
10/01/2016,0.479,0.132,0.505,0.119,303.88
09/01/2016,0.119,0.189,0.317,0.084,-26.61
08/01/2016,0.162,0.104,0.218,0.095,44.54
07/01/2016,0.112,0.195,0.269,0.094,-44.29
06/01/2016,0.201,0.490,0.511,0.198,-58.73
05/01/2016,0.486,0.641,0.643,0.453,-25.32
04/01/2016,0.651,0.405,0.671,0.342,58.56
03/01/2016,0.411,0.476,0.632,0.383,-11.41
02/01/2016,0.464,0.642,0.693,0.454,-29.07
01/01/2016,0.654,0.944,0.971,0.644,-34.21
12/01/2015,0.993,0.801,1.051,0.766,24.77
11/01/2015,0.796,0.859,1.054,0.752,-10.34
10/01/2015,0.888,0.910,1.013,0.768,-1.66
09/01/2015,0.903,1.148,1.181,0.877,-19.16
08/01/2015,1.117,0.958,1.151,0.881,18.70
07/01/2015,0.941,1.194,1.354,0.928,-21.45
06/01/2015,1.198,0.814,1.407,0.794,47.72
05/01/2015,0.811,0.633,1.080,0.633,24.77
04/01/2015,0.650,0.499,0.674,0.332,36.55
03/01/2015,0.476,0.538,0.666,0.387,-9.68
02/01/2015,0.527,0.556,0.659,0.497,-5.39
01/01/2015,0.557,0.828,0.837,0.523,-33.45
12/01/2014,0.837,0.961,1.056,0.826,-13.98
