Date,Price,Open,High,Low,Change 
12/01/2022,2.5630,1.8630,2.5690,1.7530,31.84
11/01/2022,1.9440,2.1080,2.3780,1.8020,-9.58
10/01/2022,2.1500,2.1140,2.5320,1.7690,1.94
09/01/2022,2.1090,1.5400,2.3520,1.4740,37.30
08/01/2022,1.5360,0.8180,1.5840,0.6780,86.18
07/01/2022,0.8250,1.3410,1.4100,0.7970,-39.69
06/01/2022,1.3680,1.1190,1.9260,1.1050,21.38
05/01/2022,1.1270,0.9420,1.1890,0.8460,20.53
04/01/2022,0.9350,0.5800,0.9740,0.4730,70.93
03/01/2022,0.5470,0.1320,0.7410,-0.1090,244.03
02/01/2022,0.1590,0.0110,0.3310,-0.0150,0
01/01/2022,0.0140,-0.1770,0.0320,-0.1850,-107.82
12/01/2021,-0.1790,-0.3490,-0.1710,-0.4090,-47.81
11/01/2021,-0.3430,-0.1100,-0.0650,-0.3630,264.89
10/01/2021,-0.0940,-0.1970,-0.0640,-0.2430,-50.79
09/01/2021,-0.1910,-0.3730,-0.1720,-0.4010,-49.74
08/01/2021,-0.3800,-0.4590,-0.3760,-0.5240,-17.03
07/01/2021,-0.4580,-0.1980,-0.1790,-0.4650,125.62
06/01/2021,-0.2030,-0.1770,-0.1460,-0.2870,10.93
05/01/2021,-0.1830,-0.2010,-0.0740,-0.2590,-8.50
04/01/2021,-0.2000,-0.2890,-0.1770,-0.3470,-31.51
03/01/2021,-0.2920,-0.2960,-0.2490,-0.3900,13.62
02/01/2021,-0.2570,-0.5190,-0.2030,-0.5270,-50.58
01/01/2021,-0.5200,-0.5700,-0.4590,-0.6150,-9.57
12/01/2020,-0.5750,-0.5720,-0.5050,-0.6430,0.70
11/01/2020,-0.5710,-0.6260,-0.4560,-0.6710,-8.64
10/01/2020,-0.6250,-0.5120,-0.4790,-0.6460,19.96
09/01/2020,-0.5210,-0.3950,-0.3720,-0.5520,30.90
08/01/2020,-0.3980,-0.5220,-0.3720,-0.5600,-25.05
07/01/2020,-0.5310,-0.4550,-0.3820,-0.5610,17.22
06/01/2020,-0.4530,-0.4370,-0.2570,-0.4880,1.12
05/01/2020,-0.4480,-0.5890,-0.3860,-0.5930,-23.94
04/01/2020,-0.5890,-0.5100,-0.2870,-0.5930,25.59
03/01/2020,-0.4690,-0.6190,-0.1420,-0.9090,-22.86
02/01/2020,-0.6080,-0.4310,-0.3390,-0.6270,40.09
01/01/2020,-0.4340,-0.1800,-0.1570,-0.4450,132.09
12/01/2019,-0.1870,-0.3230,-0.1720,-0.3650,-48.06
11/01/2019,-0.3600,-0.4070,-0.2180,-0.4170,-10.67
10/01/2019,-0.4030,-0.5490,-0.3200,-0.6040,-29.55
09/01/2019,-0.5720,-0.7030,-0.4340,-0.7430,-18.63
08/01/2019,-0.7030,-0.4330,-0.4120,-0.7280,59.05
07/01/2019,-0.4420,-0.3110,-0.2240,-0.4420,34.76
06/01/2019,-0.3280,-0.2060,-0.1890,-0.3360,61.58
05/01/2019,-0.2030,0.0300,0.0500,-0.2130,0
04/01/2019,0.0130,-0.0490,0.1020,-0.0550,-118.31
03/01/2019,-0.0710,0.1890,0.2080,-0.0940,-139.01
02/01/2019,0.1820,0.1510,0.2060,0.0770,22.15
01/01/2019,0.1490,0.2270,0.2760,0.1460,-39.43
12/01/2018,0.2460,0.3380,0.3470,0.2030,-21.90
11/01/2018,0.3150,0.3870,0.4690,0.3050,-18.39
10/01/2018,0.3860,0.4750,0.5810,0.3390,-18.22
09/01/2018,0.4720,0.3410,0.5500,0.3140,42.60
08/01/2018,0.3310,0.4550,0.4950,0.2870,-25.62
07/01/2018,0.4450,0.3020,0.4610,0.2630,46.86
06/01/2018,0.3030,0.3660,0.5190,0.2990,-10.88
05/01/2018,0.3400,0.5710,0.6500,0.1920,-39.50
04/01/2018,0.5620,0.4800,0.6550,0.4790,14.00
03/01/2018,0.4930,0.6550,0.7030,0.4730,-24.62
02/01/2018,0.6540,0.7060,0.8080,0.6390,-6.17
01/01/2018,0.6970,0.4320,0.7070,0.4090,63.23
12/01/2017,0.4270,0.3790,0.4420,0.2760,16.35
11/01/2017,0.3670,0.3720,0.4310,0.3080,0.82
10/01/2017,0.3640,0.4710,0.5050,0.3560,-21.55
09/01/2017,0.4640,0.3580,0.5180,0.2870,29.25
08/01/2017,0.3590,0.5400,0.5570,0.3160,-32.65
07/01/2017,0.5330,0.4890,0.6430,0.4390,14.62
06/01/2017,0.4650,0.3070,0.4810,0.2250,49.52
05/01/2017,0.3110,0.3300,0.4610,0.2860,-4.01
04/01/2017,0.3240,0.3310,0.3940,0.1530,-2.11
03/01/2017,0.3310,0.2320,0.5100,0.2180,59.13
02/01/2017,0.2080,0.4570,0.4830,0.1770,-52.40
01/01/2017,0.4370,0.1980,0.5030,0.1520,110.10
12/01/2016,0.2080,0.2770,0.4530,0.1630,-24.09
11/01/2016,0.2740,0.1630,0.3970,0.0930,68.10
10/01/2016,0.1630,-0.1170,0.2190,-0.1250,-235.83
09/01/2016,-0.1200,-0.0580,0.0810,-0.1610,84.62
08/01/2016,-0.0650,-0.1110,-0.0170,-0.1210,-45.83
07/01/2016,-0.1200,-0.0830,0.0300,-0.2040,-5.21
06/01/2016,-0.1266,0.1360,0.1600,-0.1700,-186.12
05/01/2016,0.1470,0.2720,0.2840,0.0990,-47.87
04/01/2016,0.2820,0.1500,0.3060,0.0750,80.77
03/01/2016,0.1560,0.1080,0.3300,0.1080,44.44
02/01/2016,0.1080,0.3360,0.3620,0.1030,-67.66
01/01/2016,0.3340,0.5970,0.5970,0.3300,-47.37
12/01/2015,0.6346,0.4840,0.7420,0.4480,33.46
11/01/2015,0.4755,0.5120,0.7250,0.4370,-9.08
10/01/2015,0.5230,0.5940,0.6390,0.4240,-11.36
09/01/2015,0.5900,0.7910,0.8220,0.5670,-25.79
08/01/2015,0.7950,0.6540,0.8040,0.5120,22.69
07/01/2015,0.6480,0.7740,0.9710,0.6080,-15.84
06/01/2015,0.7700,0.4970,1.0590,0.4730,58.44
05/01/2015,0.4860,0.3790,0.7960,0.3620,33.52
04/01/2015,0.3640,0.1860,0.3860,0.0490,96.76
03/01/2015,0.1850,0.3260,0.4290,0.1680,-42.90
02/01/2015,0.3240,0.3160,0.4090,0.2840,3.51
01/01/2015,0.3130,0.5460,0.5840,0.3060,-42.04
12/01/2014,0.5400,0.6940,0.7900,0.5360,-23.08
11/01/2014,0.7020,0.8300,0.8650,0.6950,-16.53
10/01/2014,0.8410,0.9490,0.9550,0.7160,-11.10
09/01/2014,0.9460,0.8920,1.1130,0.8800,6.53
08/01/2014,0.8880,1.1720,1.1950,0.8680,-24.10
07/01/2014,1.1700,1.2560,1.3340,1.1110,-6.47
06/01/2014,1.2510,1.3600,1.4920,1.2380,-7.81
05/01/2014,1.3570,1.4570,1.5060,1.2980,-7.69
04/01/2014,1.4700,1.5730,1.6400,1.4680,-6.37
03/01/2014,1.5700,1.5800,1.6830,1.5060,-3.50
02/01/2014,1.6270,1.6590,1.7260,1.5470,-1.93
01/01/2014,1.6590,1.9630,1.9710,1.6030,-14.53
12/01/2013,1.9410,1.7020,1.9640,1.6970,14.85
11/01/2013,1.6900,1.6740,1.7960,1.6630,0.66
10/01/2013,1.6790,1.7830,1.9460,1.6510,-5.67
09/01/2013,1.7800,1.9020,2.0500,1.7430,-4.04
08/01/2013,1.8550,1.6250,1.9810,1.5950,10.68
07/01/2013,1.6760,1.7400,1.7680,1.5040,-3.12
06/01/2013,1.7300,1.5030,1.8550,1.4850,14.49
05/01/2013,1.5110,1.1940,1.5520,1.1530,24.77
04/01/2013,1.2110,1.2760,1.3360,1.1820,-5.54
03/01/2013,1.2820,1.4420,1.5420,1.2490,-12.07
02/01/2013,1.4580,1.7020,1.7150,1.4190,-13.06
01/01/2013,1.6770,1.3720,1.7340,1.3710,28.41
12/01/2012,1.3060,1.3690,1.4600,1.2580,-5.57
11/01/2012,1.3830,1.4680,1.4940,1.3150,-5.21
10/01/2012,1.4590,1.4490,1.6610,1.4290,1.74
09/01/2012,1.4340,1.3340,1.7370,1.3240,7.01
08/01/2012,1.3400,1.2960,1.5870,1.2430,4.44
07/01/2012,1.2830,1.5880,1.6030,1.1260,-18.75
06/01/2012,1.5790,1.2120,1.6910,1.1270,30.39
05/01/2012,1.2110,1.6900,1.7000,1.1970,-27.18
04/01/2012,1.6630,1.8390,1.8640,1.6320,-7.51
03/01/2012,1.7980,1.8220,2.0750,1.7400,-0.72
02/01/2012,1.8110,1.7940,2.0530,1.7790,1.00
01/01/2012,1.7930,1.8210,2.0130,1.7410,-1.75
12/01/2011,1.8250,2.2940,2.3120,1.8110,-19.99
11/01/2011,2.2810,1.8510,2.3750,1.6770,12.64
10/01/2011,2.0250,1.8280,2.2830,1.6790,7.26
09/01/2011,1.8880,2.2440,2.2470,1.6360,-15.03
08/01/2011,2.2220,2.5820,2.5900,2.0270,-12.69
07/01/2011,2.5450,3.0390,3.0590,2.4940,-15.95
06/01/2011,3.0280,3.0580,3.1090,2.8280,0.23
05/01/2011,3.0210,3.2460,3.3350,2.9680,-6.64
04/01/2011,3.2360,3.3840,3.5130,3.2310,-3.63
03/01/2011,3.3580,3.1870,3.3810,3.0650,5.90
02/01/2011,3.1710,3.2060,3.3350,3.1120,0.25
01/01/2011,3.1630,2.9170,3.2270,2.8430,7.26
12/01/2010,2.9490,2.7020,3.0850,2.7020,10.57
11/01/2010,2.6670,2.5270,2.8020,2.3500,5.67
10/01/2010,2.5240,2.2830,2.5980,2.2040,10.46
09/01/2010,2.2850,2.1310,2.5140,2.1200,8.19
08/01/2010,2.1120,2.6840,2.7150,2.0890,-20.96
07/01/2010,2.6720,2.5750,2.7950,2.5380,4.70
06/01/2010,2.5520,2.6170,2.7810,2.4990,-3.81
05/01/2010,2.6530,3.0570,3.0800,2.5560,-10.52
04/01/2010,2.9650,3.1020,3.2240,2.9050,-4.42
03/01/2010,3.1020,3.1320,3.2220,3.0460,-0.16
02/01/2010,3.1070,3.1780,3.3010,3.0930,-2.91
01/01/2010,3.2000,3.4350,3.4390,3.1750,-5.91
