Date,Price,Open,High,Low,Change 
12/01/2022,3.146,2.317,3.148,2.205,31.63
11/01/2022,2.390,2.597,2.881,2.219,-8.81
10/01/2022,2.621,2.721,3.027,2.339,-3.14
09/01/2022,2.706,2.253,2.970,2.120,23.06
08/01/2022,2.199,1.469,2.241,1.321,51.76
07/01/2022,1.449,1.996,2.062,1.430,-27.19
06/01/2022,1.990,1.701,2.554,1.678,16.99
05/01/2022,1.701,1.613,1.878,1.493,5.19
04/01/2022,1.617,1.092,1.620,1.080,51.97
03/01/2022,1.064,0.728,1.284,0.483,43.01
02/01/2022,0.744,0.504,0.893,0.476,43.63
01/01/2022,0.518,0.261,0.536,0.258,108.03
12/01/2021,0.249,0.127,0.272,0.022,126.36
11/01/2021,0.110,0.329,0.371,0.100,-65.30
10/01/2021,0.317,0.169,0.359,0.140,59.30
09/01/2021,0.199,0.012,0.209,-0.010,521.87
08/01/2021,0.032,-0.049,0.034,-0.117,-174.42
07/01/2021,-0.043,0.178,0.190,-0.066,-124.29
06/01/2021,0.177,0.214,0.245,0.119,-16.51
05/01/2021,0.212,0.180,0.365,0.151,13.98
04/01/2021,0.186,0.064,0.194,0.014,148.00
03/01/2021,0.075,0.071,0.102,-0.032,-29.25
02/01/2021,0.106,-0.219,0.163,-0.223,-154.92
01/01/2021,-0.193,-0.300,-0.161,-0.342,-36.51
12/01/2020,-0.304,-0.266,-0.214,-0.333,19.69
11/01/2020,-0.254,-0.257,-0.142,-0.300,2.83
10/01/2020,-0.247,-0.145,-0.134,-0.273,77.70
09/01/2020,-0.139,-0.045,-0.022,-0.186,308.82
08/01/2020,-0.034,-0.123,-0.026,-0.175,-68.22
07/01/2020,-0.107,0.019,0.074,-0.151,-991.67
06/01/2020,0.012,0.103,0.174,-0.102,-88.57
05/01/2020,0.105,0.101,0.206,0.069,17.98
04/01/2020,0.089,0.082,0.365,0.046,-8.25
03/01/2020,0.097,-0.158,0.616,-0.246,-161.01
02/01/2020,-0.159,-0.142,-0.057,-0.200,5.30
01/01/2020,-0.151,0.133,0.144,-0.156,-225.83
12/01/2019,0.120,0.094,0.134,-0.030,84.62
11/01/2019,0.065,0.010,0.172,0.002,550.00
10/01/2019,0.010,-0.017,0.098,-0.055,-129.41
09/01/2019,-0.034,-0.081,0.087,-0.112,-59.04
08/01/2019,-0.083,0.108,0.120,-0.156,-181.37
07/01/2019,0.102,0.184,0.275,0.034,-43.33
06/01/2019,0.180,0.426,0.440,0.170,-57.94
05/01/2019,0.428,0.576,0.582,0.427,-23.16
04/01/2019,0.557,0.585,0.649,0.517,0.54
03/01/2019,0.554,0.828,0.847,0.523,-32.77
02/01/2019,0.824,0.879,0.926,0.777,-5.94
