Date,Price,Open,High,Low,Change 
12/01/2022,4.692,3.773,4.705,3.584,20.71
11/01/2022,3.887,4.277,4.548,3.649,-10.13
10/01/2022,4.325,4.583,4.899,3.985,-4.06
09/01/2022,4.508,3.961,4.927,3.796,16.10
08/01/2022,3.883,3.142,3.944,2.886,23.19
07/01/2022,3.152,3.411,3.752,3.117,-7.08
06/01/2022,3.392,3.121,4.279,3.091,8.20
05/01/2022,3.135,2.803,3.232,2.713,12.77
04/01/2022,2.780,2.083,2.791,2.029,36.01
03/01/2022,2.044,1.694,2.262,1.384,16.27
02/01/2022,1.758,1.377,2.000,1.334,28.51
01/01/2022,1.368,1.183,1.467,1.148,15.44
12/01/2021,1.185,0.978,1.192,0.873,22.80
11/01/2021,0.965,1.195,1.289,0.839,-15.35
10/01/2021,1.140,0.839,1.189,0.791,31.49
09/01/2021,0.867,0.704,0.879,0.646,22.28
08/01/2021,0.709,0.629,0.715,0.512,13.08
07/01/2021,0.627,0.830,0.843,0.609,-24.18
06/01/2021,0.827,0.913,0.934,0.740,-9.81
05/01/2021,0.917,0.854,1.160,0.813,5.89
04/01/2021,0.866,0.666,0.895,0.626,30.62
03/01/2021,0.663,0.723,0.793,0.574,-14.01
02/01/2021,0.771,0.629,0.826,0.426,18.62
01/01/2021,0.650,0.545,0.728,0.474,24.76
12/01/2020,0.521,0.579,0.653,0.472,-10.94
11/01/2020,0.585,0.742,0.762,0.551,-18.52
10/01/2020,0.718,0.868,0.875,0.634,-17.47
09/01/2020,0.870,1.145,1.162,0.827,-24.94
08/01/2020,1.159,1.072,1.161,0.963,7.61
07/01/2020,1.077,1.349,1.360,1.020,-18.84
06/01/2020,1.327,1.474,1.597,1.308,-11.00
05/01/2020,1.491,1.855,2.036,1.424,-16.09
04/01/2020,1.777,1.539,2.276,1.471,15.84
03/01/2020,1.534,1.096,3.012,0.911,36.11
02/01/2020,1.127,0.948,1.199,0.855,21.97
01/01/2020,0.924,1.451,1.493,0.919,-35.25
12/01/2019,1.427,1.384,1.489,1.250,6.65
11/01/2019,1.338,1.028,1.439,1.021,30.16
10/01/2019,1.028,0.830,1.129,0.790,24.15
09/01/2019,0.828,1.015,1.059,0.758,-19.85
08/01/2019,1.033,1.584,1.829,0.929,-33.23
07/01/2019,1.547,2.082,2.083,1.380,-25.98
06/01/2019,2.090,2.681,2.696,2.014,-21.52
05/01/2019,2.663,2.568,2.807,2.525,3.82
04/01/2019,2.565,2.536,2.704,2.471,3.30
03/01/2019,2.483,2.731,2.797,2.423,-10.04
02/01/2019,2.760,2.606,3.026,2.599,6.48
01/01/2019,2.592,2.750,2.991,2.566,-6.53
12/01/2018,2.773,3.164,3.212,2.708,-13.67
11/01/2018,3.212,3.426,3.711,3.171,-6.46
10/01/2018,3.434,3.236,3.783,3.122,9.26
09/01/2018,3.143,3.220,3.263,2.696,-2.96
08/01/2018,3.239,2.763,3.249,2.749,18.21
07/01/2018,2.740,2.720,2.805,2.467,1.93
