Date,Price,Open,High,Low,Change 
12/01/2022,2.913,2.149,2.920,2.031,30.91
11/01/2022,2.225,2.413,2.665,2.086,-8.69
10/01/2022,2.437,2.451,2.850,2.092,0.33
09/01/2022,2.429,1.929,2.677,1.802,29.75
08/01/2022,1.872,1.145,1.924,0.969,67.14
07/01/2022,1.120,1.712,1.788,1.112,-35.48
06/01/2022,1.736,1.421,2.269,1.401,23.21
05/01/2022,1.409,1.241,1.473,1.124,14.27
04/01/2022,1.233,0.833,1.241,0.743,52.79
03/01/2022,0.807,0.368,0.978,0.150,110.70
02/01/2022,0.383,0.150,0.524,0.115,162.33
01/01/2022,0.146,-0.014,0.163,-0.042,-621.43
12/01/2021,-0.028,-0.200,-0.021,-0.276,-86.00
11/01/2021,-0.200,0.045,0.080,-0.223,-554.55
10/01/2021,0.044,-0.103,0.079,-0.119,-157.89
09/01/2021,-0.076,-0.254,-0.050,-0.276,-70.31
08/01/2021,-0.256,-0.322,-0.250,-0.401,-21.71
07/01/2021,-0.327,-0.084,-0.065,-0.329,263.33
06/01/2021,-0.090,-0.034,-0.019,-0.144,125.00
05/01/2021,-0.040,-0.055,0.089,-0.106,-24.53
04/01/2021,-0.053,-0.230,-0.047,-0.289,-77.54
03/01/2021,-0.236,-0.224,-0.188,-0.325,23.56
02/01/2021,-0.191,-0.452,-0.145,-0.456,-57.56
01/01/2021,-0.450,-0.488,-0.409,-0.531,-6.44
12/01/2020,-0.481,-0.492,-0.423,-0.561,-0.21
11/01/2020,-0.482,-0.513,-0.371,-0.552,-5.30
10/01/2020,-0.509,-0.393,-0.380,-0.531,26.30
09/01/2020,-0.403,-0.292,-0.261,-0.435,44.44
08/01/2020,-0.279,-0.395,-0.261,-0.432,-28.83
07/01/2020,-0.392,-0.280,-0.230,-0.431,29.80
06/01/2020,-0.302,-0.222,-0.069,-0.333,27.43
05/01/2020,-0.237,-0.282,-0.161,-0.308,-21.26
04/01/2020,-0.301,-0.253,-0.012,-0.316,40.00
03/01/2020,-0.215,-0.461,0.133,-0.703,-54.55
02/01/2020,-0.473,-0.331,-0.242,-0.500,37.90
01/01/2020,-0.343,-0.041,-0.031,-0.347,512.50
12/01/2019,-0.056,-0.176,0.246,-0.233,-74.77
11/01/2019,-0.222,-0.274,-0.092,-0.285,-18.68
10/01/2019,-0.273,-0.411,-0.190,-0.464,-35.76
09/01/2019,-0.425,-0.545,-0.305,-0.593,-23.01
08/01/2019,-0.552,-0.309,-0.298,-0.606,69.85
07/01/2019,-0.325,-0.145,-0.065,-0.326,104.40
06/01/2019,-0.159,-0.013,-0.002,-0.168,0
05/01/2019,-0.010,0.205,0.223,-0.018,-105.26
04/01/2019,0.190,0.166,0.283,0.147,47.29
03/01/2019,0.129,0.399,0.414,0.106,-67.51
02/01/2019,0.397,0.257,0.404,0.188,55.08
01/01/2019,0.256,0.359,0.398,0.253,-33.51
12/01/2018,0.385,0.469,0.470,0.358,-13.29
11/01/2018,0.444,0.528,0.594,0.435,-14.62
10/01/2018,0.520,0.582,0.692,0.475,-10.34
09/01/2018,0.580,0.466,0.651,0.439,28.04
08/01/2018,0.453,0.549,0.584,0.404,-15.17
07/01/2018,0.534,0.457,0.553,0.412,14.10
06/01/2018,0.468,0.581,0.703,0.459,-14.75
05/01/2018,0.549,0.718,0.783,0.423,-21.57
04/01/2018,0.700,0.642,0.796,0.627,9.38
03/01/2018,0.640,0.699,0.770,0.625,-8.70
02/01/2018,0.701,0.764,0.833,0.692,-5.01
01/01/2018,0.738,0.535,0.752,0.509,38.98
12/01/2017,0.531,0.458,0.549,0.369,14.94
11/01/2017,0.462,0.469,0.531,0.412,-1.70
10/01/2017,0.470,0.587,0.633,0.461,-18.40
09/01/2017,0.576,0.500,0.636,0.431,16.84
08/01/2017,0.493,0.671,0.671,0.456,-24.62
07/01/2017,0.654,0.651,0.780,0.610,-0.91
06/01/2017,0.660,0.521,0.671,0.435,28.65
05/01/2017,0.513,0.401,0.677,0.381,31.54
04/01/2017,0.390,0.430,0.457,0.256,-8.24
03/01/2017,0.425,0.341,0.595,0.333,33.65
02/01/2017,0.318,0.609,0.637,0.297,-44.89
01/01/2017,0.577,0.345,0.653,0.304,63.46
12/01/2016,0.353,0.437,0.574,0.305,-19.59
11/01/2016,0.439,0.301,0.582,0.235,56.23
10/01/2016,0.281,0.004,0.319,0.000,0
09/01/2016,0.005,0.052,0.166,-0.043,-80.77
08/01/2016,0.026,-0.002,0.079,-0.025,-533.33
07/01/2016,-0.006,0.110,0.146,-0.009,-106.90
06/01/2016,0.087,0.350,0.373,0.087,-75.63
05/01/2016,0.357,0.492,0.511,0.320,-31.74
04/01/2016,0.523,0.238,0.536,0.169,122.93
03/01/2016,0.235,0.271,0.434,0.218,-4.87
02/01/2016,0.247,0.425,0.476,0.242,-45.20
01/01/2016,0.450,0.739,0.775,0.443,-43.01
12/01/2015,0.790,0.656,0.886,0.602,24.09
11/01/2015,0.636,0.695,0.881,0.594,-9.36
10/01/2015,0.702,0.795,0.824,0.590,-10.57
09/01/2015,0.785,0.968,1.027,0.753,-18.14
08/01/2015,0.959,0.845,0.965,0.738,16.24
07/01/2015,0.825,1.042,1.213,0.811,-21.43
06/01/2015,1.050,0.686,1.255,0.666,52.62
05/01/2015,0.688,0.518,0.936,0.501,34.64
04/01/2015,0.511,0.281,0.518,0.197,94.30
03/01/2015,0.263,0.387,0.484,0.237,-28.14
02/01/2015,0.366,0.375,0.472,0.337,-6.63
01/01/2015,0.392,0.674,0.679,0.379,-42.44
12/01/2014,0.681,0.815,0.904,0.668,-17.05
11/01/2014,0.821,0.961,1.012,0.813,-16.65
10/01/2014,0.985,1.088,1.099,0.886,-9.88
09/01/2014,1.093,1.049,1.254,1.046,3.70
08/01/2014,1.054,1.358,1.383,1.023,-22.44
07/01/2014,1.359,1.495,1.551,1.305,-8.42
06/01/2014,1.484,1.635,1.759,1.476,-9.51
05/01/2014,1.640,1.793,1.832,1.595,-9.34
04/01/2014,1.809,1.757,1.897,1.700,3.67
03/01/2014,1.745,1.795,1.902,1.686,-6.03
02/01/2014,1.857,1.884,1.941,1.771,-1.12
