Date,Price,Open,High,Low,Change 
12/01/2022,6.878,6.495,7.026,6.304,3.96
11/01/2022,6.616,8.390,8.675,6.583,-21.17
10/01/2022,8.393,7.232,9.127,6.825,17.16
09/01/2022,7.164,6.241,7.384,5.783,16.22
08/01/2022,6.164,5.567,6.526,5.353,10.88
07/01/2022,5.559,6.777,7.038,5.499,-19.85
06/01/2022,6.936,6.630,8.188,6.500,4.66
05/01/2022,6.627,6.389,7.040,6.389,3.56
04/01/2022,6.399,5.272,6.511,5.272,22.07
03/01/2022,5.242,4.118,5.610,3.988,27.36
02/01/2022,4.116,4.117,4.172,3.844,0.15
01/01/2022,4.110,3.751,4.176,3.750,10.93
12/01/2021,3.705,3.139,3.705,3.062,19.13
11/01/2021,3.110,2.874,3.469,2.874,8.10
10/01/2021,2.877,2.173,2.934,2.173,31.43
09/01/2021,2.189,1.867,2.215,1.860,19.16
08/01/2021,1.837,1.697,1.876,1.668,7.18
07/01/2021,1.714,1.649,1.807,1.493,3.88
06/01/2021,1.650,1.894,1.899,1.650,-11.58
05/01/2021,1.866,1.723,2.020,1.657,8.80
04/01/2021,1.715,1.576,1.753,1.448,8.89
03/01/2021,1.575,1.612,1.682,1.448,-1.99
02/01/2021,1.607,1.168,1.620,1.147,38.42
01/01/2021,1.161,1.243,1.282,1.143,-7.27
12/01/2020,1.252,1.236,1.471,1.214,1.29
11/01/2020,1.236,1.189,1.302,1.120,4.13
10/01/2020,1.187,1.312,1.369,1.122,-9.60
09/01/2020,1.313,1.398,1.421,1.292,-5.68
08/01/2020,1.392,1.279,1.443,1.255,8.33
07/01/2020,1.285,1.399,1.425,1.255,-7.22
06/01/2020,1.385,1.185,1.504,1.185,16.88
05/01/2020,1.185,1.503,1.574,1.149,-19.06
04/01/2020,1.464,1.685,1.787,1.310,-13.12
03/01/2020,1.685,1.793,2.324,1.342,-5.97
02/01/2020,1.792,2.132,2.245,1.662,-15.95
01/01/2020,2.132,2.119,2.368,2.067,0.09
12/01/2019,2.130,2.052,2.137,1.965,5.76
11/01/2019,2.014,1.988,2.253,1.949,2.49
10/01/2019,1.965,2.029,2.086,1.869,-1.50
