Date,Price,Open,High,Low,Change 
12/01/2022,3.657,2.864,3.659,2.742,24.01
11/01/2022,2.949,3.207,3.429,2.770,-9.40
10/01/2022,3.255,3.336,3.657,2.934,-1.36
09/01/2022,3.300,2.793,3.538,2.670,20.61
08/01/2022,2.736,1.939,2.786,1.773,42.06
07/01/2022,1.926,2.461,2.612,1.913,-21.77
06/01/2022,2.462,2.233,3.210,2.210,10.90
05/01/2022,2.220,1.997,2.302,1.889,12.06
04/01/2022,1.981,1.542,1.990,1.426,37.19
03/01/2022,1.444,1.108,1.605,0.848,27.56
02/01/2022,1.132,0.756,1.331,0.722,49.34
01/01/2022,0.758,0.581,0.774,0.544,27.39
12/01/2021,0.595,0.415,0.595,0.310,43.37
11/01/2021,0.415,0.616,0.677,0.377,-33.28
10/01/2021,0.622,0.443,0.643,0.410,34.92
09/01/2021,0.461,0.344,0.472,0.300,33.24
08/01/2021,0.346,0.277,0.347,0.199,27.21
07/01/2021,0.272,0.429,0.438,0.254,-35.39
06/01/2021,0.421,0.477,0.487,0.346,-11.18
05/01/2021,0.474,0.476,0.653,0.428,-0.63
04/01/2021,0.477,0.343,0.498,0.309,40.71
03/01/2021,0.339,0.397,0.424,0.265,-21.71
02/01/2021,0.433,0.096,0.500,0.087,328.71
01/01/2021,0.101,0.055,0.152,0.021,83.64
12/01/2020,0.055,0.075,0.125,-0.016,-34.52
11/01/2020,0.084,0.146,0.205,0.046,-38.69
10/01/2020,0.137,0.259,0.275,0.115,-45.20
09/01/2020,0.250,0.407,0.428,0.200,-39.17
08/01/2020,0.411,0.336,0.414,0.244,19.83
07/01/2020,0.343,0.495,0.518,0.303,-27.33
06/01/2020,0.472,0.582,0.710,0.435,-17.05
05/01/2020,0.569,0.843,0.990,0.541,-22.37
04/01/2020,0.733,0.662,1.191,0.647,7.48
03/01/2020,0.682,0.284,1.389,0.141,128.09
02/01/2020,0.299,0.240,0.352,0.192,30.00
01/01/2020,0.230,0.483,0.513,0.225,-50.96
12/01/2019,0.469,0.468,0.505,0.389,8.82
11/01/2019,0.431,0.239,0.479,0.236,71.03
10/01/2019,0.252,0.162,0.319,0.117,69.13
09/01/2019,0.149,0.115,0.315,0.084,21.14
08/01/2019,0.123,0.316,0.330,0.023,-57.44
07/01/2019,0.289,0.403,0.578,0.205,-26.84
06/01/2019,0.395,0.719,0.719,0.361,-44.83
05/01/2019,0.716,1.015,1.019,0.712,-28.97
04/01/2019,1.008,1.120,1.163,0.989,-8.78
03/01/2019,1.105,1.181,1.222,1.039,-6.44
02/01/2019,1.181,1.201,1.270,1.126,-1.67
01/01/2019,1.201,1.425,1.537,1.194,-15.54
12/01/2018,1.422,1.513,1.513,1.350,-5.95
11/01/2018,1.512,1.564,1.671,1.501,-3.57
10/01/2018,1.568,1.522,1.826,1.518,4.05
