Date,Price,Open,High,Low,Change 
12/01/2022,2.456,1.770,2.456,1.642,32.19
11/01/2022,1.858,2.176,2.255,1.764,-15.39
10/01/2022,2.196,2.249,2.383,2.036,-2.62
09/01/2022,2.255,1.981,2.401,1.892,14.06
08/01/2022,1.977,1.404,2.081,1.293,40.01
07/01/2022,1.412,1.734,1.766,1.365,-19.27
06/01/2022,1.749,1.550,2.199,1.545,12.91
05/01/2022,1.549,1.738,2.001,1.458,-9.52
04/01/2022,1.712,1.223,1.715,1.103,40.67
03/01/2022,1.217,0.515,1.367,0.319,127.05
02/01/2022,0.536,0.403,0.702,0.376,38.86
01/01/2022,0.386,0.241,0.429,0.240,81.22
12/01/2021,0.213,0.163,0.232,0.050,46.90
11/01/2021,0.145,0.377,0.382,0.144,-61.02
10/01/2021,0.372,0.365,0.428,0.299,-6.30
09/01/2021,0.397,0.175,0.397,0.167,140.61
08/01/2021,0.165,0.102,0.174,0.046,68.37
07/01/2021,0.098,0.331,0.338,0.086,-70.12
06/01/2021,0.328,0.445,0.455,0.304,-26.79
05/01/2021,0.448,0.406,0.481,0.354,10.89
04/01/2021,0.404,0.400,0.418,0.323,1.00
03/01/2021,0.400,0.400,0.475,0.326,-4.76
02/01/2021,0.420,0.099,0.464,0.099,296.23
01/01/2021,0.106,0.019,0.120,-0.004,241.94
12/01/2020,0.031,0.004,0.071,-0.062,520.00
11/01/2020,0.005,-0.063,0.082,-0.063,-107.69
10/01/2020,-0.065,-0.020,0.033,-0.104,124.14
09/01/2020,-0.029,0.034,0.039,-0.140,-178.38
08/01/2020,0.037,-0.086,0.051,-0.116,-146.25
07/01/2020,-0.080,-0.033,-0.029,-0.124,33.33
06/01/2020,-0.060,-0.026,0.099,-0.086,62.16
05/01/2020,-0.037,-0.116,-0.003,-0.147,-67.83
04/01/2020,-0.115,-0.144,0.034,-0.176,-16.67
03/01/2020,-0.138,-0.261,0.103,-0.544,-50.89
02/01/2020,-0.281,-0.044,0.080,-0.293,473.47
01/01/2020,-0.049,0.169,0.187,-0.050,-131.82
12/01/2019,0.154,0.056,0.157,-0.010,755.56
11/01/2019,0.018,-0.114,0.088,-0.131,-115.25
10/01/2019,-0.118,-0.254,0.008,-0.353,-55.97
09/01/2019,-0.268,-0.355,-0.105,-0.381,-26.58
08/01/2019,-0.365,-0.134,-0.119,-0.433,170.37
07/01/2019,-0.135,0.034,0.166,-0.136,-550.00
06/01/2019,0.030,0.103,0.107,-0.019,-71.96
05/01/2019,0.107,0.310,0.346,0.100,-64.69
04/01/2019,0.303,0.344,0.449,0.263,76.16
03/01/2019,0.172,0.402,0.422,0.136,-56.57
02/01/2019,0.396,0.388,0.424,0.302,1.54
01/01/2019,0.390,0.458,0.485,0.383,-16.13
12/01/2018,0.465,0.498,0.505,0.440,-4.12
11/01/2018,0.485,0.621,0.676,0.479,-21.90
10/01/2018,0.621,0.632,0.741,0.585,-0.96
09/01/2018,0.627,0.508,0.691,0.499,23.43
08/01/2018,0.508,0.617,0.631,0.465,-16.03
07/01/2018,0.605,0.492,0.621,0.444,20.76
06/01/2018,0.501,0.531,0.664,0.467,5.25
05/01/2018,0.476,0.716,0.778,0.385,-33.89
04/01/2018,0.720,0.686,0.802,0.642,4.35
03/01/2018,0.690,0.806,0.863,0.686,-15.23
02/01/2018,0.814,0.952,0.993,0.812,-11.23
01/01/2018,0.917,0.791,0.957,0.740,17.56
12/01/2017,0.780,0.737,0.795,0.648,5.83
11/01/2017,0.737,0.792,0.836,0.684,-7.18
10/01/2017,0.794,0.928,0.962,0.784,24.26
09/01/2017,0.639,0.600,0.980,0.588,9.04
08/01/2017,0.586,0.735,0.741,0.543,-18.72
07/01/2017,0.721,0.660,0.744,0.601,9.41
06/01/2017,0.659,0.469,0.664,0.377,40.81
05/01/2017,0.468,0.586,0.672,0.468,-17.46
04/01/2017,0.567,0.612,0.667,0.508,-5.66
03/01/2017,0.601,0.543,0.806,0.534,13.61
02/01/2017,0.529,0.754,0.770,0.521,-28.42
01/01/2017,0.739,0.545,0.787,0.504,33.88
12/01/2016,0.552,0.537,0.697,0.534,6.36
11/01/2016,0.519,0.288,0.561,0.227,99.62
10/01/2016,0.260,0.177,0.325,0.125,59.51
09/01/2016,0.163,0.118,0.331,0.107,79.12
08/01/2016,0.091,0.100,0.168,0.018,-11.65
07/01/2016,0.103,0.291,0.292,0.053,-61.28
06/01/2016,0.266,0.749,0.760,0.265,-65.50
05/01/2016,0.771,0.861,0.885,0.684,-12.88
04/01/2016,0.885,0.779,0.963,0.671,10.62
03/01/2016,0.800,0.758,0.922,0.747,7.67
02/01/2016,0.743,0.830,0.859,0.618,-14.10
01/01/2016,0.865,1.237,1.238,0.856,-31.29
12/01/2015,1.259,0.773,1.335,0.730,66.75
11/01/2015,0.755,0.640,0.925,0.640,19.65
10/01/2015,0.631,0.722,0.788,0.507,-12.12
09/01/2015,0.718,0.722,0.866,0.608,2.57
08/01/2015,0.700,0.750,0.791,0.489,-6.17
07/01/2015,0.746,0.994,1.068,0.692,-25.03
06/01/2015,0.995,0.658,1.144,0.645,47.19
05/01/2015,0.676,0.518,0.943,0.513,46.32
04/01/2015,0.462,0.435,0.493,0.216,7.69
03/01/2015,0.429,0.717,0.850,0.363,-39.92
02/01/2015,0.714,0.609,0.714,0.472,10.02
01/01/2015,0.649,0.943,0.945,0.646,-30.06
12/01/2014,0.928,1.024,1.109,0.901,-9.64
11/01/2014,1.027,1.187,1.242,1.019,-13.91
10/01/2014,1.193,1.487,1.502,1.123,-20.47
09/01/2014,1.500,1.390,1.617,1.390,7.22
08/01/2014,1.399,1.715,1.733,1.391,-18.85
07/01/2014,1.724,1.859,1.890,1.635,-5.74
06/01/2014,1.829,1.800,1.987,1.778,1.22
05/01/2014,1.807,1.951,1.982,1.797,-9.06
04/01/2014,1.987,2.139,2.182,1.968,-6.54
03/01/2014,2.126,2.229,2.231,2.079,-4.58
02/01/2014,2.228,2.210,2.282,2.128,0.86
01/01/2014,2.209,2.521,2.533,2.209,-12.51
12/01/2013,2.525,2.268,2.535,2.265,12.67
11/01/2013,2.241,2.280,2.445,2.190,-2.23
10/01/2013,2.292,2.460,2.560,2.205,-6.30
09/01/2013,2.446,2.486,2.755,2.420,-0.04
08/01/2013,2.447,2.131,2.550,2.120,11.74
07/01/2013,2.190,2.215,2.265,2.045,-0.54
06/01/2013,2.202,1.935,2.298,1.885,14.39
05/01/2013,1.925,1.620,1.945,1.591,19.79
04/01/2013,1.607,1.852,1.874,1.524,-11.17
03/01/2013,1.809,1.876,2.070,1.790,-4.13
02/01/2013,1.887,1.986,2.135,1.855,-4.89
01/01/2013,1.984,1.535,2.005,1.535,29.34
12/01/2012,1.534,1.485,1.630,1.397,4.14
11/01/2012,1.473,1.530,1.565,1.344,-3.79
10/01/2012,1.531,1.531,1.531,1.531,4.01
09/01/2012,1.472,1.472,1.472,1.472,4.47
08/01/2012,1.409,1.409,1.409,1.409,1.37
07/01/2012,1.390,1.390,1.390,1.390,-13.18
06/01/2012,1.601,1.601,1.601,1.601,24.88
05/01/2012,1.282,1.282,1.282,1.282,-28.46
04/01/2012,1.792,1.792,1.792,1.792,-9.49
03/01/2012,1.980,1.980,1.980,1.980,4.10
02/01/2012,1.902,1.902,1.902,1.902,11.03
01/01/2012,1.713,1.713,1.713,1.713,6.00
12/01/2011,1.616,1.616,1.616,1.616,-8.96
11/01/2011,1.775,1.775,1.775,1.775,-8.13
10/01/2011,1.932,1.932,1.932,1.932,10.59
09/01/2011,1.747,1.747,1.747,1.747,-16.81
08/01/2011,2.100,2.100,2.100,2.100,-16.20
07/01/2011,2.506,2.506,2.506,2.506,-13.88
06/01/2011,2.910,2.910,2.910,2.910,0.10
05/01/2011,2.907,2.907,2.907,2.907,-9.44
04/01/2011,3.210,3.210,3.210,3.210,-3.66
03/01/2011,3.332,3.332,3.332,3.332,0.21
02/01/2011,3.325,3.325,3.325,3.325,-0.63
01/01/2011,3.346,3.346,3.346,3.346,2.17
12/01/2010,3.275,3.275,3.275,3.275,11.05
