Date,Belgium,Denmark,Germany,Ireland,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,95.59203,0,101.5547,0,146.2197,104.85,127.5,110.1092,73.89384,88.8074,63.30527,61.4,73.14061
2000-02,98.59178,0,107.6446,0,146.5192,101.29,134.3,109.8092,75.49371,84.50704,64.10534,62.1,73.96031
2000-03,97.29189,0,101.3901,0,147.0182,106.11,131.5,107.509,75.89368,81.6068,63.70531,63.1,75.42529
2000-04,99.09174,0,100.5671,0,147.5173,104.05,129.7,111.8093,76.19365,82.20685,64.30536,60.5,74.98799
2000-05,99.49171,0,100.7317,0,148.0163,109.61,135.5,114.1095,76.09366,79.00658,64.70539,61.5,75.01026
2000-06,96.59195,0,96.45223,0,148.3157,106.75,132.5,111.9093,74.69378,76.70639,65.10542,59.2,74.11629
2000-07,97.49187,0,97.4398,0,149.713,106.81,134.4,103.7086,76.69361,76.10634,64.8054,59.8,73.03392
2000-08,99.49171,0,97.52209,0,150.0125,110.64,137,108.309,75.39371,76.60638,65.10542,59.7,75.04157
2000-09,98.59178,0,95.38237,0,150.4117,107.85,133.6,108.409,75.99367,73.40612,64.60538,59.9,75.87917
2000-10,97.89185,0,92.83116,0,150.3119,110.08,128.5,110.3092,76.49362,74.20618,66.20552,62.1,76.0441
2000-11,97.99184,0,96.78142,0,150.8109,109.31,129,110.6092,77.89351,71.60596,65.20544,63.2,76.41253
2000-12,101.6915,0,96.28764,0,150.8109,116.09,139.4,119.91,82.29314,72.30602,68.50571,62.7,75.61696
2001-01,97.29189,0,93.32494,0,151.809,111.14,138.3,109.4091,78.49346,78.70656,67.50562,65.8,75.89305
2001-02,98.69177,0,95.79385,0,152.4079,111.25,137.4,111.4093,76.29364,77.10642,65.80548,63.3,75.81552
2001-03,96.092,0,87.81104,0,152.9069,110.2,137.3,111.1093,74.99375,76.20635,66.30553,63.2,77.15825
2001-04,97.29189,0,86.98806,0,152.5077,110.57,140.1,110.3092,73.49387,70.90591,65.70547,63.3,78.49398
2001-05,98.79177,0,91.5144,0,152.7073,112.31,141.7,111.1093,75.19373,69.00575,66.20552,64.6,79.03014
2001-06,99.29173,0,91.02062,0,153.1066,111.58,143.2,114.6096,75.6937,69.80582,65.40545,66.2,79.73682
2001-07,96.99192,0,89.95076,0,152.7073,112.29,139.5,109.3091,76.59362,65.80548,65.10542,66.2,79.24678
2001-08,99.6917,0,92.25508,0,153.3062,112.29,141.3,112.9094,76.59362,65.00542,66.20552,63.9,78.96668
2001-09,96.49196,0,91.679,0,153.1066,112.07,137.9,111.1093,76.39363,66.10551,65.00542,63.9,78.02995
2001-10,98.59178,0,92.00819,0,154.9031,112.67,143.8,112.6094,78.09349,64.8054,64.50538,63.9,78.82468
2001-11,96.69194,0,90.36224,0,154.9031,112.91,141.5,112.8094,75.29372,63.90533,65.10542,65.3,78.63552
2001-12,98.3918,0,91.5967,0,155.9012,112.5,145.2,120.51,75.5937,64.70539,64.70539,68.3,79.17391
2002-01,98.09183,0,89.29238,0,152.1085,111.58,148.5,111.9093,74.79377,62.80523,65.30544,65.8,80.00927
2002-02,96.29198,0,94.14791,0,152.5077,111.32,145.5,111.0093,76.19365,67.50562,65.90549,65.1,80.35255
2002-03,99.99167,0,90.52684,0,152.2083,112.38,146.2,113.9095,75.6937,67.60564,65.10542,62.6,78.69515
2002-04,96.39197,0,88.9632,0,154.9031,111.64,138.2,110.4092,79.69336,64.60538,65.20544,62.9,79.9707
2002-05,97.1919,0,87.48184,0,154.8033,110.84,141.1,108.8091,76.49362,63.10526,65.90549,64.3,79.29002
2002-06,95.89201,0,86.41198,0,155.4021,111.44,142.5,110.0092,77.89351,60.005,66.70556,65.2,78.90257
2002-07,94.69211,0,85.25983,0,156.001,110.73,145.3,109.8092,75.39371,60.60505,66.0055,61.4,78.93537
2002-08,95.09208,0,86.65887,0,156.4002,110,148.9,111.4093,75.29372,59.60497,66.40553,69.2,78.17866
2002-09,96.29198,0,87.07036,0,157.4981,112.11,152.9,110.3092,78.19348,59.90499,66.60555,67.6,77.53814
2002-10,94.99208,0,84.60145,0,156.001,110.6,153.6,108.409,74.99375,58.00483,67.50562,67.5,78.24221
2002-11,98.49179,0,85.8359,0,156.9991,111.19,152.6,108.9091,76.29364,59.70498,66.30553,66.8,78.70876
2002-12,94.59212,0,81.63875,0,156.6997,111.67,160.6,106.4089,76.29364,56.4047,67.00558,66.8,79.75461
2003-01,94.69211,0,83.12009,0,161.9895,107.49,153.7,103.0086,87.5927,56.80473,66.0055,66.2,80.4939
2003-02,94.99208,0,78.51146,0,162.3887,111.46,152.3,104.4087,88.09266,52.60439,68.20568,67.4,80.06248
2003-03,96.49196,0,86.41198,0,164.2851,113.39,155.5,108.009,88.59262,51.90432,68.10567,67.2,79.30837
2003-04,97.99184,0,85.58901,0,162.6882,111.49,153.2,106.0088,84.99292,55.70464,68.20568,69.9,80.08428
2003-05,95.19207,0,83.86077,0,164.5845,108.67,153.2,106.2088,85.29289,57.10476,66.80556,68.2,80.76962
2003-06,97.39188,0,85.34212,0,164.7842,112.22,155.1,105.4088,85.09291,58.60489,68.60572,67.6,82.07889
2003-07,98.79177,0,85.34212,0,165.1834,111.89,153.2,105.2088,84.89293,60.20502,69.40578,63.8,83.04787
2003-08,97.49187,0,82.95551,0,165.2832,111.14,137.7,107.3089,86.59278,57.70481,68.80573,70.7,84.03324
2003-09,97.99184,0,83.28469,0,166.0817,111.07,151.1,103.3086,85.49287,55.60463,70.70589,68.6,84.94175
2003-10,97.29189,0,82.46172,0,167.5788,111.7,150.3,102.9086,84.49296,54.10451,70.20585,70.3,86.25959
2003-11,97.09191,0,81.96794,0,168.0779,110.54,152.3,104.1087,85.29289,55.90466,71.10593,69.9,86.28316
2003-12,96.99192,0,84.18996,0,168.2775,111.75,151.6,109.8092,87.39272,54.40453,71.00592,69.1,88.38027
2004-01,99.89168,0,79.33443,0,168.4771,111.65,154.3,104.7087,85.99284,48.50404,69.90582,68.7,87.47969
2004-02,99.89168,0,82.79091,0,168.0779,113.21,154.7,102.9086,86.59278,50.50421,70.70589,69.8,87.46384
2004-03,98.99175,0,82.62631,0,169.1758,113,152.9,102.9086,85.29289,53.40445,71.80598,70.9,89.54082
2004-04,99.29173,0,79.82822,0,166.9799,111.99,157,102.4085,87.89268,70.00584,72.40604,70.3,90.17585
