Date,Belgium,Denmark,Germany,Ireland,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,4.6,0,-5.6,16.6,0.1,-1.6,-1.9,10.3,-2.2,-21,3.6,6.7,0
2000-02,0.1,0.3,-4.3,12.5,1.7,-2.1,-4,8.6,-9.4,-21,3.9,5.2,0
2000-03,2.1,0.3,-4.2,11.4,2.5,-0.7,-5.8,8.9,-6.5,-21,3.4,6.2,0
2000-04,-0.9,3.1,-5.3,15.2,2.1,0.5,-4.8,9.2,-6.6,-21,1.8,6.1,0
2000-05,1.1,3.6,-1.5,12,0.9,1.3,-5.8,8.1,-4.4,-21,2.3,5.3,0
2000-06,2.2,4.5,-5.9,12,0.4,1.5,-5.1,9,-5.7,-21,1.8,5.8,0
2000-07,1.9,3.3,-3.8,12.2,0.7,2.2,-4.6,6.7,-5.7,-21,2.8,4.9,0
2000-08,5.3,3.9,-2.8,13.5,1.2,-0.5,-3.5,8,-4.2,-21,1.1,6.7,0
2000-09,0.4,1.9,-6.4,7,-3.5,-3.1,-7.7,6.7,-7.8,-21,-0.9,4.3,0
2000-10,1.3,6.9,-7.7,7.6,-5.2,-2.1,-5,7.5,-11.9,-21,-1.6,4.8,0
2000-11,3.7,-0.3,-5.4,7,-1.6,-2.5,-6.9,6,-2.5,-21,-0.2,2.4,0
2000-12,3.2,2.9,-5.6,13.5,-2.8,-0.4,-5.7,5.4,-8.1,-21,0.7,0.6,0
2001-01,4.6,2.5,-4.3,8,-1.9,1.9,-4.3,4.4,-8.1,-21,1.6,-0.4,0
2001-02,-1.7,2.4,-5.6,10.3,-2,0.2,-5.3,1.3,-8,-21,0.5,-1.6,0
2001-03,-0.1,-0.5,-4.8,4.2,-1.3,-0.6,-5.5,-1.1,-5.5,-21,-1.9,-2.2,0
2001-04,-1.4,-4,-5.4,5,-4.2,-1.1,-5.2,-2.5,-8.2,-21,-2.5,-3.9,0
2001-05,-1,2,-7.3,7.9,-2.5,-3.3,-2.1,-0.4,-6.3,-21,-1,-3.7,0
2001-06,-0.9,1.4,-10.4,7.9,-3,-3.2,-0.5,-5.5,-6.5,-18.3,-2.6,-1.5,0
2001-07,0,10.4,-10.7,4.1,-4.8,-3.7,-0.1,-4.1,-9.1,-19.6,-4,-3.6,0
2001-08,-1.7,2.5,-12.2,-0.7,-3.3,-5.7,-0.7,-4.5,-10.5,-23.8,-4.4,-3,0
2001-09,-5.1,3.5,-11.5,-0.6,-4.9,-7.6,-3.5,-3.7,-11.6,-26.3,-5,-5.5,0
2001-10,-12.8,1.6,-11.4,-4.8,-5,-7.9,-5.6,-8,-11.5,-16.9,-4.7,-4.4,0
2001-11,-12.1,2.5,-13.4,0.2,-5.7,-6.8,-8.7,-6.2,-9.7,-16.5,-4.9,-3.7,0
2001-12,-6.9,5.5,-13.8,4.6,-5.8,-5.8,-5.7,-2.9,-9,-22.4,-2.4,-2.6,0
2002-01,-0.6,6.3,-14.7,5.3,-6.9,-4.1,-3.2,5.2,-6.2,-19.9,-0.8,1,0
2002-02,-1.3,4.3,-15.4,3.8,-5.9,-4.2,-3.4,1.7,-6.6,-20,-0.2,4.3,0
2002-03,-0.5,4.1,-14.6,1.7,-6.9,-3.6,-4.5,1.1,-7.6,-20.3,1.1,5.8,0
2002-04,-0.7,5.3,-15.6,6.4,-7,-5.1,-6.3,-2.4,-7.2,-21.3,1,4,0
2002-05,0.4,4.4,-15.7,5.2,-5.3,-0.8,-6.1,-3.2,-7.2,-18,2,3.4,0
2002-06,-2.6,3.3,-16.5,3.7,-6.8,-1.4,-7,-6.4,-8,-21.6,-0.1,4.1,0
2002-07,-2.1,3.4,-14.6,-1.2,-8.9,-3.3,-6.9,-7.7,-10.2,-17.5,-0.1,5.7,0
2002-08,-3.6,1.3,-16.3,-4.2,-9.9,-5,-8,-8.7,-13.1,-18.1,-1.8,4.3,0
2002-09,-6.2,4,-15.1,-5.4,-6.3,-6.7,-10.4,-11.6,-9.6,-15.1,-1,3.3,0
2002-10,-7.8,3,-18,-6.8,-10.5,-6.7,-11.6,-12.6,-10.3,-15.1,-1.9,1.1,0
2002-11,-6.4,1.6,-24.7,-6.7,-9.6,-6.8,-11.1,-11.6,-9.4,-19.3,-2,1.4,0
2002-12,-7.6,2.5,-25.8,-11.4,-14.8,-6.1,-13.9,-11.7,-8.9,-19.9,-1.3,-0.6,0
2003-01,-7.8,4.1,-23.2,-9.7,-14.2,-6.9,-12.6,-15.4,-11.5,-18.1,-1.3,-1,0
2003-02,-10.6,0.3,-24.5,-9.3,-12.7,-9.4,-11.7,-16.6,-11.6,-17.9,-3.2,-0.4,0
2003-03,-12.5,-1.6,-23.4,-10.7,-13.3,-11.2,-14.2,-17.2,-15.4,-19.5,-1.4,-3.3,0
2003-04,-7.8,0,-21.7,-5.7,-11,-9.8,-13.5,-16.4,-15.1,-19.6,-2.2,-2.8,0
2003-05,-4,3.6,-20.9,-8,-8.4,-8.7,-12.8,-13.2,-17.3,-15.5,-1.5,-2.2,0
2003-06,-4.8,5.9,-18.8,-6.2,-7.3,-8.3,-10.6,-15.4,-16.2,-14.9,-2.3,0.4,0
2003-07,-6.4,2,-15.7,-10.3,-8.3,-8.6,-12,-17.7,-14.5,-15,-0.6,1.4,0
2003-08,-6.4,4,-18,-7.7,-7.7,-9.7,-12.9,-13.1,-15.8,-17.3,-1,2.7,0
2003-09,-4.4,3.5,-18.3,-8.8,-7.8,-10.8,-13,-12.4,-11.8,-16,-0.3,4.4,0
2003-10,-8.1,4.5,-18,-7.9,-11.6,-11.3,-13.8,-15.2,-11.4,-20,-0.6,1.4,0
2003-11,-4.3,3.8,-16,-2.6,-9.6,-11.4,-14.1,-13.6,-12.9,-23,-0.7,-1.5,0
2003-12,-4.5,3.9,-17.7,-1.9,-9.4,-10.4,-14.9,-11,-11.4,-17.9,0,-2.1,0
2004-01,-1,7.9,-19.6,-1.4,-9.8,-6.3,-13.5,-12.9,-11.3,-17.8,0.8,1.2,0
2004-02,-0.9,4.9,-16.2,-0.8,-8.9,-7.2,-15.2,-6,-12.1,-21.4,0.2,3.4,0
2004-03,-2.3,4.9,-17.3,0.3,-9.2,-6.9,-14.8,-9.1,-9.6,-20.5,0.6,-0.3,0
2004-04,-2.1,10.8,-17.8,2,-7.4,-9.3,-14.7,-9.7,-10.8,-19.1,0.8,0.4,0
2004-05,-1.4,8.3,-18.3,1.5,-6.7,-6.8,-14.6,-8.4,-12.1,-12.9,-0.4,-0.4,0
2004-06,0.5,8.3,-17.1,0.9,-9.7,-6.8,-11.9,-10.7,-13,-11,-0.6,0.9,0
2004-07,-3.4,7.9,-18.1,3.8,-7.9,-6.8,-13.2,-6.8,-12,-14.3,0.6,1.4,0
2004-08,-0.8,7.9,-17.7,2,-9.1,-7,-12.9,-7,-13.9,-9.9,0.5,3,0
2004-09,-4.1,7.5,-15.8,1.9,-10.8,-7.2,-13.5,-8.9,-13,-9.9,-0.4,2.8,0
2004-10,-7.3,7.1,-17.4,4,-9.8,-7.9,-12.8,-12.9,-13.6,-9.9,-0.8,1.4,0
2004-11,-7.1,7.1,-17.7,2.1,-10.6,-9.8,-13,-13.3,-15.3,-10.9,-0.9,0.2,0
2004-12,-6.6,7.9,-16.7,6.4,-9.5,-8.6,-13.5,-15.1,-12.9,-10.1,0.5,2,0
2005-01,-3.6,9.6,-13.7,6.8,-9.7,-8.4,-12.3,-10.8,-9.5,-8.8,0.5,1.9,0
2005-02,-3.1,9.3,-14.5,4.8,-10.4,-8.1,-11.2,-8.4,-11,-10.2,1.2,1.6,0
2005-03,-2.6,9.6,-15.2,6.4,-10.7,-7.2,-12.3,-10.6,-9,-10.4,2.6,1.8,0
2005-04,-5.6,8.5,-15.4,2.7,-9.5,-9.8,-11.3,-6.6,-10.5,-10.2,1.7,-0.9,0
2005-05,-7.2,7.1,-14.7,4.2,-9.1,-11.6,-13.3,-10.9,-12.5,-7.7,0.3,-0.3,0
2005-06,-6.7,7.1,-15.2,3.6,-8.9,-7.2,-15.1,-12.2,-10.6,-11.4,-4,0.5,0
