Date,Price,Open,High,Low,Vol.,Change 
12/01/2022,0.9893,0.9844,0.9931,0.9786,,0.54
11/01/2022,0.9840,0.9894,0.9940,0.9712,,-0.55
10/01/2022,0.9894,0.9678,0.9960,0.9641,,2.32
09/01/2022,0.9670,0.9829,0.9870,0.9420,,-1.63
08/01/2022,0.9830,0.9724,0.9838,0.9551,,1.12
07/01/2022,0.9721,1.0010,1.0050,0.9696,,-2.88
06/01/2022,1.0009,1.0298,1.0517,0.9943,,-2.78
05/01/2022,1.0295,1.0271,1.0518,1.0226,,0.33
04/01/2022,1.0261,1.0211,1.0380,1.0086,,0.51
03/01/2022,1.0209,1.0286,1.0405,0.9969,,-0.72
02/01/2022,1.0283,1.0417,1.0620,1.0275,,-1.24
01/01/2022,1.0412,1.0364,1.0514,1.0297,,0.41
12/01/2021,1.0370,1.0419,1.0469,1.0325,,-0.41
11/01/2021,1.0413,1.0596,1.0607,1.0388,,-1.62
10/01/2021,1.0585,1.0791,1.0817,1.0568,,-1.88
09/01/2021,1.0788,1.0805,1.0942,1.0783,,-0.14
08/01/2021,1.0803,1.0744,1.0843,1.0695,,0.52
07/01/2021,1.0747,1.0971,1.0990,1.0740,,-1.99
06/01/2021,1.0965,1.0997,1.1005,1.0865,,-0.20
05/01/2021,1.0987,1.0991,1.1030,1.0924,,0.10
04/01/2021,1.0976,1.1069,1.1121,1.0971,,-0.80
03/01/2021,1.1064,1.0972,1.1156,1.0936,,0.89
02/01/2021,1.0966,1.0805,1.1100,1.0783,,1.49
01/01/2021,1.0805,1.0828,1.0875,1.0737,,-0.05
12/01/2020,1.0810,1.0845,1.0896,1.0734,,-0.30
11/01/2020,1.0843,1.0689,1.0873,1.0655,,1.55
10/01/2020,1.0677,1.0793,1.0810,1.0668,,-1.05
09/01/2020,1.0790,1.0786,1.0882,1.0725,,0.06
08/01/2020,1.0784,1.0757,1.0853,1.0718,,0.33
07/01/2020,1.0749,1.0640,1.0841,1.0603,,1.05
06/01/2020,1.0637,1.0670,1.0921,1.0623,,-0.28
05/01/2020,1.0667,1.0581,1.0733,1.0497,,0.88
04/01/2020,1.0574,1.0601,1.0617,1.0503,,-0.22
03/01/2020,1.0597,1.0625,1.0711,1.0504,,-0.41
02/01/2020,1.0641,1.0699,1.0730,1.0583,,-0.39
01/01/2020,1.0683,1.0854,1.0879,1.0662,,-1.53
