Date,Belgium,Denmark,Germany,Ireland,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,93.79772,93.39124,93.00282,92.51033,92.26925,92.72649,91.61323,94.29399,96.03278,96.35902,91.4448,99.47383,94.7908
2000-02,93.44784,92.9355,92.44779,91.89241,91.90034,92.25468,91.12936,93.97458,95.73555,97.98132,90.93144,99.96042,96.77677
2000-03,92.9325,92.19206,91.71298,91.13408,91.41938,91.62704,90.51184,93.51943,95.31811,100.905,90.20165,100.72712,97.01539
2000-04,92.39873,91.51325,91.07752,90.24577,90.94718,90.9673,89.94102,93.02732,94.95308,99.06461,89.54793,101.60174,97.70828
2000-05,91.94167,90.94299,90.35844,89.47169,90.4771,90.31027,89.2451,92.66889,94.56568,97.11633,88.9228,101.22257,100.77761
2000-06,93.11464,92.20034,91.86245,91.37525,91.63147,91.74904,90.64245,93.76589,95.44506,95.55609,90.34953,101.89913,98.90924
2000-07,92.90955,92.04253,91.54286,91.01545,91.40034,91.4867,90.38495,93.56777,95.25158,98.25278,90.14579,100.45143,99.10019
2000-08,92.02473,91.03756,90.35972,89.59223,90.54314,90.39816,89.32514,92.76733,94.57291,100.32005,89.0484,99.33916,100.44216
2000-09,91.4535,90.29956,89.5114,88.71176,89.99059,89.63499,88.55408,92.29948,94.08612,100.62129,88.31273,98.16362,101.99386
2000-10,90.97846,90.11259,88.98645,87.85446,89.57109,89.07297,88.08878,91.85078,93.78371,99.06204,87.91123,96.32875,103.74776
2000-11,91.2606,90.34648,89.25472,88.31098,89.81966,89.40152,88.35956,92.13578,93.95525,100.91995,88.25561,95.43994,104.40792
2000-12,92.31646,91.58624,90.65652,89.93276,90.82545,90.70166,89.66446,93.06192,94.7984,102.41281,89.57602,96.61618,102.69914
2001-01,93.73524,93.278,92.4717,92.14313,92.16926,92.41527,91.39616,94.34131,95.95836,103.95598,91.42028,95.86163,102.15133
2001-02,93.57803,93.06961,92.21655,91.75363,92.11928,92.2137,91.2339,94.22238,95.82135,106.38453,91.25567,94.77138,103.19164
2001-03,93.76584,93.28802,92.45971,91.80583,92.42703,92.43764,91.55744,94.38193,95.99126,108.65453,91.63413,93.37691,105.33671
2001-04,93.5888,92.97421,92.20936,91.32544,92.39602,92.21786,91.4232,94.21191,95.8269,111.68395,91.44149,93.21968,106.21069
2001-05,92.81651,92.09805,91.16414,90.22581,91.58114,91.28844,90.41484,93.514,95.11022,114.41508,90.40136,92.667,105.81945
2001-06,92.35798,91.76814,90.48098,89.46694,91.16081,90.70421,89.79861,93.11856,94.58104,117.21579,89.89579,90.40811,106.58657
2001-07,92.76629,92.39297,91.10062,89.95775,91.63077,91.19774,90.39781,93.48851,94.97498,110.10223,90.51359,90.4789,106.91634
2001-08,93.89317,93.59857,92.613,91.65379,92.80195,92.5777,91.88955,94.52864,95.96908,105.0533,91.91623,91.50396,104.80223
2001-09,94.11052,94.10706,92.97593,91.91163,93.11893,92.86017,92.27726,94.73627,96.19926,104.7229,92.4325,88.29788,104.83427
2001-10,94.15427,94.09788,92.95498,91.93419,93.20311,92.90077,92.33386,94.75712,96.14055,107.50214,92.42866,89.22208,105.53419
