Date,Belgium,Denmark,Germany,Ireland,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-Q1,4.8,3.55,3.4,0,5.35,4.37,3.86,4.59,4.25,6.38,4.97,4.04,4.23
2000-Q2,4.13,4.19,4.24,0,5.42,4.77,4.34,4.6,3.68,5.34,5.22,5.95,5.24
2000-Q3,3.11,3.84,3.04,0,5.16,4.1,4.07,4.03,2.56,3.62,6.3,6,3.97
2000-Q4,2.9,3.41,1.9,0,5.05,3.32,4.11,3.92,3.58,4,6.52,3.72,2.9
2001-Q1,2.23,1.3,2.5,0,4.5,2.93,3.57,3.39,2.43,2.93,3.94,3.37,2.2
2001-Q2,1.52,0.65,1.63,0,3.97,2.07,2.37,2.76,1.56,1.49,3.27,0.87,0.99
2001-Q3,0.86,1.27,1.46,0,3.82,1.87,1.43,2.1,1.04,1.66,2.32,0.48,0.49
2001-Q4,-0.22,0.09,1.68,0,3.47,0.87,-0.27,1.11,0.12,-0.17,0.96,1.6,0.17
2002-Q1,0.59,1.16,-0.85,0,2.82,0.95,-0.7,0.39,1.33,0.86,1.13,1.13,1.33
2002-Q2,1.43,0.66,-0.37,0,2.89,1.2,0.01,0.23,1.94,1.9,2,2.66,1.32
2002-Q3,2.17,0.1,0.3,0,2.57,1.08,0.53,0.21,2.13,2.38,1.13,2.9,2.14
2002-Q4,2.65,-0.03,0.26,0,2.64,1.47,1.16,0.04,1.41,2.85,2.57,2.2,1.99
2003-Q1,1.51,0.53,-0.72,0,3.16,1.01,0.64,0.67,1.08,2.58,1.18,3.53,1.68
2003-Q2,0.86,-0.39,-1.04,0,2.86,0.32,0.14,-0.02,0.73,3.59,1.63,1.33,1.96
2003-Q3,0.73,-0.39,-0.75,0,2.9,0.79,-0.15,-0.09,0.78,3.91,3.09,2.19,3.24
2003-Q4,1.06,1.8,-0.34,0,3.01,1.25,0.31,0.29,1.26,4.17,2.11,2.68,4.3
2004-Q1,2.84,1.75,0.98,0,2.67,2.15,0.93,1.18,1.58,6.14,4.15,3.38,4.35
2004-Q2,3.61,3.32,1.39,0,3.14,3,1.46,2.02,2.22,5.24,3.56,4.39,4.23
2004-Q3,4.09,3.21,0.41,0,3.43,2.39,1.49,2.08,3.11,3.84,3.44,3.72,3.49
2004-Q4,3.74,2.41,0.04,0,3.24,2.59,0.93,1.76,3.31,4.14,4.81,3.93,3.36
