Date,Belgium,Denmark,Germany,Ireland,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-Q1,49.50,52.45,84.35,0.00,56.20,47.80,67.75,75.82,59.01,55.53,59.11,34.09,63.82
2000-Q2,49.85,53.59,83.59,0.00,56.50,48.60,69.28,78.74,59.39,55.53,59.58,35.32,64.89
2000-Q3,49.96,54.66,84.42,0.00,57.35,49.60,70.92,81.63,57.42,55.53,58.54,36.28,65.92
2000-Q4,51.14,55.75,85.13,0.00,58.90,50.40,72.11,84.06,58.52,55.53,57.90,37.15,67.06
2001-Q1,51.72,56.66,84.92,0.00,60.45,51.50,73.42,86.02,59.73,55.53,57.74,38.20,68.30
2001-Q2,52.38,57.04,84.53,0.00,61.57,52.60,74.87,88.27,58.33,55.53,57.79,38.32,69.41
2001-Q3,52.83,57.58,84.47,0.00,63.14,53.40,76.43,90.03,59.83,55.53,57.85,38.70,70.47
2001-Q4,53.23,57.81,83.77,0.00,65.54,54.40,78.30,91.45,58.43,55.53,58.39,38.90,71.57
2002-Q1,54.19,58.49,83.22,0.00,68.58,55.30,80.26,93.09,58.93,55.53,59.67,39.58,72.76
2002-Q2,55.42,59.18,83.52,0.00,72.44,56.70,82.03,94.26,58.97,55.53,60.89,40.37,74.10
2002-Q3,56.47,59.45,83.52,0.00,74.55,58.30,83.87,95.38,60.26,55.53,61.93,41.54,75.51
2002-Q4,57.54,60.24,83.02,0.00,77.66,59.90,85.89,95.90,59.52,55.53,63.22,42.42,77.03
2003-Q1,58.12,60.95,83.11,0.00,81.31,61.50,87.95,96.69,59.46,55.53,63.70,42.73,78.39
2003-Q2,58.99,61.68,84.37,0.00,86.54,63.40,90.35,97.66,59.59,55.53,64.23,43.21,79.64
2003-Q3,60.25,62.74,83.52,0.00,89.93,65.20,92.78,98.07,58.57,55.53,66.03,43.84,81.21
2003-Q4,61.68,63.79,83.59,0.00,94.03,67.50,95.10,99.73,60.70,55.53,67.32,45.00,83.05
2004-Q1,62.91,65.71,83.65,0.00,98.21,70.20,97.42,100.81,55.50,55.53,69.12,46.02,84.90
2004-Q2,63.63,67.91,82.26,0.00,102.27,72.60,99.61,101.80,58.78,55.53,70.23,47.39,87.04
2004-Q3,65.68,70.08,81.67,0.00,106.08,75.30,101.79,102.85,58.91,55.53,71.26,48.14,89.28
2004-Q4,67.59,72.77,81.70,0.00,109.74,78.20,103.74,103.70,60.57,55.53,72.00,49.53,91.49
2005-Q1,70.06,75.94,83.94,0.00,113.95,81.10,105.66,104.62,60.36,55.53,73.55,49.88,93.75
2005-Q2,71.46,78.99,82.17,0.00,117.48,84.10,107.34,105.78,61.03,55.18,75.26,50.86,96.23
2005-Q3,73.32,85.03,84.28,0.00,120.76,87.10,108.97,106.77,61.17,55.15,77.01,52.50,98.77
2005-Q4,75.31,91.92,83.00,0.00,124.89,89.80,110.93,107.71,62.85,58.17,79.18,54.92,100.86
2006-Q1,77.07,98.44,83.01,0.00,128.52,92.60,112.84,108.90,63.20,60.75,79.54,56.85,102.35
2006-Q2,78.99,102.91,83.00,0.00,132.88,95.00,114.42,110.43,63.69,66.03,80.87,57.65,103.06
2006-Q3,80.58,104.91,82.30,0.00,137.95,97.00,115.94,111.22,64.28,81.75,82.04,58.88,103.22
2006-Q4,81.82,105.44,83.78,0.00,142.65,98.70,117.56,112.49,64.31,97.54,83.76,60.45,103.71
2007-Q1,83.99,105.96,79.97,0.00,145.68,100.20,119.17,114.03,65.74,109.17,85.03,62.67,104.33
2007-Q2,85.48,105.64,81.22,0.00,148.57,101.40,120.48,115.24,67.08,115.99,85.99,65.56,104.06
2007-Q3,86.41,105.70,81.72,0.00,150.47,102.60,121.78,116.95,67.61,117.81,86.90,67.67,102.74
2007-Q4,87.40,105.41,82.08,0.00,150.45,104.10,123.09,118.28,67.00,112.30,87.54,67.04,100.87
2008-Q1,88.46,104.28,82.95,0.00,150.12,104.60,124.43,118.36,66.90,114.87,87.84,67.07,98.53
2008-Q2,89.56,102.81,82.59,0.00,148.26,104.20,123.66,118.92,66.41,115.07,88.10,67.49,95.78
2008-Q3,90.11,99.97,81.80,0.00,146.02,103.10,122.99,119.86,67.71,111.13,87.58,66.82,93.36
2008-Q4,90.29,93.74,82.04,0.00,142.26,100.20,121.62,117.53,69.28,110.60,84.72,64.51,90.64
2009-Q1,89.29,88.06,82.06,0.00,139.26,96.90,120.29,116.32,69.97,111.46,86.11,66.08,90.08
2009-Q2,88.34,87.45,82.60,0.00,136.95,94.80,118.97,113.44,70.23,110.20,87.01,67.28,88.83
2009-Q3,89.64,88.07,83.14,0.00,135.90,95.00,117.88,111.86,69.80,110.72,88.85,69.00,88.39
2009-Q4,89.46,89.22,84.28,0.00,135.78,96.10,117.45,111.89,70.85,106.70,91.27,71.90,88.35
2010-Q1,90.61,90.07,83.33,0.00,135.31,98.00,117.08,111.49,73.97,105.08,92.68,72.71,87.53
2010-Q2,91.43,90.11,83.85,0.00,135.60,99.70,117.73,111.94,76.32,105.57,93.06,73.00,87.11
2010-Q3,92.31,90.88,84.50,0.00,133.66,101.20,118.62,111.40,77.78,105.77,94.61,74.04,85.66
2010-Q4,93.57,91.63,83.81,0.00,133.65,103.40,118.97,110.88,79.12,106.45,95.18,76.11,84.82
2011-Q1,94.43,90.81,86.38,0.00,130.53,104.90,118.70,110.94,79.02,106.38,95.79,76.48,82.95
