Date,Belgium,Denmark,Germany,Ireland,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,72.3,60.9,77.9,82.7,68.9,79.7,76.5,72.3,81.9,65.3,74.3,74.1,91.4251
2000-02,72.8,61.8,78,82.7,69.5,80,76.9,72.3,82.3,65.6,75,74,91.7357
2000-03,73,61.7,78.1,82.7,69.9,80.5,77.4,72.3,82.5,66,75.7,74,92.0933
2000-04,73.1,61.5,78.3,82.7,70.1,80.7,77.4,73.4,82.4,66.5,75.6,73.6,92.6838
2000-05,73.2,62.4,78.7,82.7,70.4,81.1,77.9,74.6,82.9,67.1,76.3,73.7,92.9376
2000-06,73.5,63.1,79,82.7,70.7,81.4,78.3,74,83.2,67.8,76.8,73.7,93.0076
2000-07,74,63.8,79.5,82.7,70.8,81.8,78.6,75,83.2,68.4,76.7,74,92.8458
2000-08,74.6,64.2,79.6,82.7,71,82,78.7,76.4,83.6,68.7,76.3,74,92.5972
2000-09,74.9,65.3,80.4,82.7,71.7,82.7,79.5,76.8,84.9,69.2,77.3,74.4,92.9653
2000-10,75,65.4,80.7,82.7,72.1,83.2,79.8,77.7,84.8,69.5,77.8,75.3,92.6418
2000-11,74.7,65.4,81,82.7,72.1,83.3,80,78,84.7,69.4,77.8,75.7,92.6618
2000-12,74.5,63.7,80.6,82.7,71.8,82.9,79.8,77.4,84.3,68.8,77.2,75.7,92.3459
2001-01,73.8,64.2,81.4,82.7,71.7,82.8,80.2,77.3,83.8,68.9,76.5,75.8,91.8903
2001-02,73.9,65,81.6,82.7,72,83,80.2,77.5,83.7,69,76.3,76,91.2915
2001-03,74.1,65,81.9,82.7,72.2,83,80.2,77.5,83.7,69.3,76.1,76,91.0526
2001-04,74.1,65.7,82.2,82.7,72.2,83.3,80.4,76.9,83.7,69.7,76.5,76.2,90.7293
2001-05,74.5,66.2,82.3,82.7,72.3,83.6,80.3,77.1,83.8,69.8,76.9,75.9,90.2577
2001-06,74.2,66.8,82.4,82.7,72.3,83.6,80.2,77.3,84,69.6,76.7,76.2,89.7677
2001-07,73.6,66.6,82,82.7,72.2,83.2,79.8,77.2,83.7,69.5,76.3,76.2,89.226
2001-08,73.3,66,81.9,82.7,72.1,83.1,79.8,76.4,83.4,69.7,76.8,76,89.1326
2001-09,73.8,65.9,82,82.7,72.2,83.1,79.8,76.9,83.5,70,76.3,75.9,88.6679
2001-10,72.9,65.1,81.3,82.7,71.8,82.8,79.5,75.7,83.1,69.9,75.9,76.2,88.3926
2001-11,72.3,65.1,81,82.7,71.4,82.4,79.2,75.3,82.8,69.8,75.2,76,87.8774
2001-12,71.7,65.2,80.7,82.7,71.3,82.3,79.1,75.8,82.4,69.6,75.1,76.2,87.8344
2002-01,72.7,65.5,81.3,82.7,71.7,82.5,79.3,74.6,82.2,69.5,75.3,77.2,88.4665
2002-02,72.6,65.3,81.3,82.7,71.8,82.4,79.4,74.6,81.7,69.2,75.2,77,88.4661
2002-03,73.2,66.4,81.6,82.7,72.2,82.8,79.6,74.8,82.3,69.4,75.5,77.2,89.1228
2002-04,74.1,67,81.4,82.7,72.5,83.1,79.8,75.8,82.4,69.6,75.8,77.3,89.5532
2002-05,74.2,66.9,81.4,82.7,72.6,83,79.8,75.2,82.6,69.5,75.3,77,89.934
2002-06,74,67.6,81.4,82.7,72.4,82.8,79.8,75.3,82.2,69.4,75,76.9,90.6769
2002-07,74,67.7,81.2,82.7,72.4,83.1,80.1,75.6,82.2,69.7,75,77,90.6455
2002-08,74.4,67.9,81.1,82.7,72.6,83.2,80.3,76.3,82.3,69.9,75.1,77.4,90.5475
2002-09,75.5,67.9,81.2,82.7,72.8,83.4,80.5,76.8,82.5,70.2,75.3,77.7,90.6381
2002-10,76.1,68.7,81.4,82.7,73,83.5,80.7,77.1,82.6,70.3,75.3,78.4,90.4041
2002-11,75.3,67.8,81.2,82.7,72.6,83.2,80.5,76.5,82.2,70.1,75.2,78.9,90.8985
2002-12,76,67.9,81.4,82.7,72.6,83.5,80.7,76.8,82.3,70.1,75.4,80.7,90.389
2003-01,74.5,70.5,82.4,82.7,73.4,83.9,81.2,78.9,82.9,70.4,75.9,81.5,91.1355
2003-02,75.2,71.1,82.8,82.7,73.8,84.4,81.6,79.1,83.4,70.6,77.1,81.3,91.2502
2003-03,75.4,70.8,83,82.7,74.2,84.6,81.8,78.5,83.5,70.9,76.4,81.2,91.0059
2003-04,74.7,69.2,82.8,82.7,73.5,83.9,81.3,77.5,82.5,70.5,75,79.8,90.4281
2003-05,73.9,69.3,82.6,82.7,73.1,83.5,81.1,76.9,82.4,70.4,74.4,79.1,90.4073
2003-06,73.9,69,82.5,82.7,73,83.5,81.1,77.6,82.5,70.3,74.4,78.8,90.5218
2003-07,74.1,68.7,82.6,82.7,73.2,83.7,81.1,75.9,82.2,70.8,74.7,78.9,90.9896
2003-08,74.2,69.4,82.7,82.7,73.4,83.9,81.3,77.2,82.3,71.2,74.9,79.3,90.7858
2003-09,74.4,68.3,82.8,82.7,73.4,83.8,81.3,76.3,82.3,71.4,74.5,79.2,91.3829
