Date,Belgium,Denmark,Germany,Ireland,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,1.77596,3.15941,1.54946,0.00000,2.87824,1.53905,2.20386,1.79931,1.14974,10.10000,2.26832,0.44805,2.73889
2000-02,1.93566,3.00017,1.54762,0.00000,2.96282,1.35533,2.38314,1.91434,1.63934,10.40000,2.78088,0.93123,3.22188
2000-03,2.24734,3.23875,1.54762,0.00000,2.91720,1.49102,2.47027,1.93883,1.93989,10.30000,3.14560,1.03253,3.75758
2000-04,2.04885,3.05006,1.06635,0.00000,2.96430,1.20727,2.28102,1.88011,1.85792,9.80000,2.64226,0.72040,3.06859
2000-05,2.16714,3.26875,0.94787,0.00000,3.13872,1.39771,2.45902,2.17924,1.74530,10.00000,2.69578,1.00897,3.18893
2000-06,2.74121,3.28661,1.30178,0.00000,3.42880,1.66476,2.73224,2.46103,2.73224,10.20000,3.00158,0.84150,3.73045
2000-07,2.79133,3.06857,1.29564,0.00000,3.60805,1.77115,2.63397,2.31317,2.81421,11.60000,2.84932,0.80254,3.65927
2000-08,2.87614,2.43575,1.17925,0.00000,3.60139,1.79367,2.63158,2.20528,2.73000,10.70000,3.19238,0.87233,3.41113
2000-09,3.37079,2.67329,1.65485,0.00000,3.66973,2.14630,2.62681,2.96748,3.03030,10.30000,3.72041,0.87003,3.45444
2000-10,2.97418,2.68619,1.65681,0.00000,3.97384,1.95456,2.61733,3.05984,2.80043,9.90000,3.59544,0.97285,3.44828
2000-11,3.08917,2.59736,1.53483,0.00000,4.06533,2.14413,2.70270,2.92089,3.09699,9.30000,3.57457,1.30711,3.44623
2000-12,2.50135,2.40068,2.00000,0.00000,3.95666,1.64204,2.70027,2.65943,2.59040,8.50000,3.01892,0.97715,3.38681
2001-01,2.20134,2.33978,1.40845,0.00000,3.65234,1.21258,2.96496,3.75255,3.00767,7.40000,2.92797,1.50493,3.73223
2001-02,2.25996,2.51462,1.87573,0.00000,3.84580,1.36243,2.95434,4.02703,2.71903,6.60000,2.79494,1.39361,3.53357
2001-03,2.09138,2.32089,1.87573,0.00000,3.87157,1.34355,2.76786,4.07179,2.61739,6.20000,2.73807,1.65591,2.92056
2001-04,2.77889,2.61292,2.34467,0.00000,3.97867,1.83325,3.12221,4.47981,3.20340,6.60000,2.96244,2.63026,3.26912
2001-05,3.12873,2.72700,2.81690,0.00000,4.19871,2.25564,3.02222,4.49214,3.32163,6.90000,3.33400,2.83593,3.61516
2001-06,2.93224,2.28941,2.45327,0.00000,4.23430,2.06250,3.01418,4.20336,2.72440,6.20000,3.07631,2.70632,3.24826
2001-07,2.64962,2.43625,2.09302,0.00000,3.85927,2.01578,2.92035,4.32107,2.74225,5.20000,2.63527,2.66923,2.71991
2001-08,2.67704,2.53878,2.09790,0.00000,3.67560,1.82454,2.82936,4.24880,2.54275,5.10000,2.54491,2.85187,2.71991
2001-09,2.25249,2.21643,1.86047,0.00000,3.39464,1.49198,2.64784,4.26372,2.54225,4.30000,2.41465,2.98832,2.64824
