Date,Belgium,Denmark,Germany,Ireland,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-Q1,4.7980,8.6637,3.8012,0.0000,9.7885,7.3924,7.6043,3.6395,6.2162,2.6020,3.5681,3.7300,8.2296
2000-Q2,4.1669,11.8182,2.9616,0.0000,7.1793,7.1643,8.0304,5.3575,6.2345,3.2408,5.7202,8.3689,7.7877
2000-Q3,4.8076,9.4364,2.2542,0.0000,7.2312,7.1218,7.5461,1.1175,4.5727,1.4052,6.7184,5.6278,5.8917
2000-Q4,6.1070,2.9072,1.7018,0.0000,6.0801,5.9585,5.7240,-0.0507,6.1981,2.6692,8.8476,8.4642,5.2026
2001-Q1,4.6512,-5.6020,0.3872,0.0000,6.4094,4.8054,3.5092,2.3158,3.7625,-0.5322,7.3074,5.5621,2.2956
2001-Q2,2.3580,-1.6554,-1.5223,0.0000,4.8601,2.8716,3.4603,1.2097,-0.0674,-6.9349,2.5788,1.4236,-0.0531
2001-Q3,2.2360,0.0945,-4.0353,0.0000,3.1072,1.0895,1.3635,0.8570,-2.2234,-10.3932,0.7750,0.6938,-2.1823
2001-Q4,-2.6354,5.6004,-4.0992,0.0000,2.4795,0.2824,1.9316,0.9557,-4.3098,-13.1327,-3.2945,2.6416,-3.7936
2002-Q1,-4.2677,4.6336,-7.0284,0.0000,4.0537,-0.9980,3.7067,-0.9530,-3.2685,-10.4992,-5.9956,-3.7328,-4.2691
2002-Q2,-4.4393,-3.2699,-6.4616,0.0000,2.8223,-1.3218,0.6365,-3.3796,-2.9360,-7.9986,-2.0302,1.9339,-3.8021
2002-Q3,-6.8668,-4.0708,-5.5835,0.0000,4.4074,-1.1135,3.9161,-3.2387,-2.5129,-3.9204,-2.5159,-0.4727,-1.9243
2002-Q4,-0.8109,-6.1089,-5.0903,0.0000,4.9415,0.2225,7.0866,-8.5301,-3.5370,-3.9314,-1.1550,-3.1009,-0.6278
2003-Q1,-1.2473,0.3985,-3.0124,0.0000,4.4863,1.0411,0.3506,-5.0542,1.0679,-1.8056,1.7126,8.3211,0.8946
2003-Q2,0.4027,-2.9095,-1.9384,0.0000,6.8611,1.6412,2.2816,-3.4054,2.7239,0.2245,0.4067,0.0074,2.8432
2003-Q3,1.8649,2.0960,-1.0741,0.0000,6.9207,2.8781,-1.4638,-1.9985,4.1544,1.1461,4.2170,1.4000,5.7497
2003-Q4,-1.4998,7.0716,-0.5789,0.0000,7.8197,2.1676,-2.9907,3.7082,6.7723,2.1458,4.8704,1.0998,7.4519
2004-Q1,5.3583,-2.6262,-1.9719,0.0000,5.6542,2.9088,1.0053,2.0369,0.9218,5.4535,4.9255,-0.6350,6.4099
2004-Q2,8.4007,7.2315,-0.7901,0.0000,4.5181,3.4931,1.2947,0.3152,0.6217,3.5752,5.9408,4.2862,6.8247
2004-Q3,11.6228,6.9044,-1.2927,0.0000,4.6222,2.1470,1.6797,-0.9447,1.8507,4.4642,2.5792,7.0842,5.4458
2004-Q4,10.7499,2.9290,-1.7621,0.0000,3.5583,3.2484,0.8175,-1.1644,0.9335,7.6991,5.2528,8.5486,5.3456
2005-Q1,7.8652,3.6853,-1.4223,0.0000,6.5482,2.9050,0.5182,0.1614,-0.4174,2.0991,0.6548,6.2375,7.1585
2005-Q2,8.6095,7.4924,-0.3573,0.0000,7.2592,2.8897,1.1196,3.7788,1.9191,8.3647,4.1511,5.5082,6.2531
2005-Q3,3.1081,5.3932,1.4646,0.0000,7.4933,3.7139,3.4512,6.3763,-0.0188,8.7281,5.2656,5.8335,5.9890
