Date,Belgium,Denmark,Germany,Ireland,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,60.6,93.1,77.50668,0,126.0154,108.7191,125.8895,85.71587,65.45335,39.5967,92.5,96.3,95.51154
2000-02,64.7,93.1,79.41177,0,127.0383,109.1991,127.1894,86.59411,69.27423,40.39663,93.4,100.2,95.73273
2000-03,64.3,95.5,79.41177,0,130.3777,109.7891,128.5893,87.03323,68.85892,40.19665,93.2,101.2,96.35571
2000-04,67,94.7,80.41444,0,126.6116,110.4091,129.6892,86.24281,69.77261,41.49654,94.8,103.6,96.97421
2000-05,67.6,101.3,82.62032,0,129.176,112.1691,130.8891,87.47234,71.43386,42.49646,96.5,104.7,96.96363
2000-06,66.7,96.2,80.31417,0,127.8251,110.5391,130.5891,86.85757,70.85242,42.69644,94.3,107.1,97.13963
2000-07,66.7,94,81.91845,0,127.2,111.7491,129.5892,87.91146,71.51692,42.09649,98.2,103.1,97.22484
2000-08,68.8,99.5,82.72059,0,126.1054,110.4491,130.1891,88.61405,71.59998,42.69644,97.9,105.4,96.58459
2000-09,69.7,96.3,82.82085,0,126.5817,111.1291,130.3891,88.35058,72.0153,42.59645,99.2,105.9,97.02948
2000-10,70.1,98.8,82.52005,0,125.5884,112.3491,131.1891,90.10705,72.09836,42.69644,101.5,107.1,96.6688
2000-11,70.8,98.2,83.02139,0,129.4921,112.2491,132.9889,89.49229,75.42086,42.69644,101,110.7,96.4082
2000-12,71.5,104.6,83.62299,0,128.1538,113.829,134.5888,89.58011,75.75311,46.49612,100.9,104.3,95.82173
2001-01,73.6,98.3,83.22192,0,128.5016,112.8891,131.1891,85.6064,73.42736,42.89643,102.1,106.4,95.43012
2001-02,72.3,100.5,84.32487,0,126.9955,113.6491,130.2891,86.33341,74.42411,42.09649,101.1,104.4,94.78968
2001-03,71,100.8,82.92112,0,126.086,114.219,129.7892,86.24254,73.84267,42.59645,101.5,104.9,94.55511
2001-04,69.5,101.4,81.41711,0,125.5916,111.6791,128.7893,85.15201,72.18142,42.09649,93.3,100.2,94.17827
2001-05,72.1,96.4,82.62032,0,126.3597,112.6591,128.1893,86.87868,72.51367,42.29647,94.8,103.9,93.66573
2001-06,73,102.1,82.82085,0,125.7627,112.8591,128.4893,86.24254,72.84592,41.29656,94.6,103,93.11409
2001-07,68.4,100.7,80.31417,0,124.4693,110.9191,126.1895,86.06078,73.09511,41.79652,92.4,102.4,92.65343
2001-08,72,103.6,82.52005,0,127.3217,113.9291,128.5893,87.24219,73.3443,43.29639,97.6,104.6,92.25404
2001-09,70.8,99.1,81.51738,0,124.5996,111.5891,126.1895,86.06078,72.09836,41.89651,97.7,102.9,91.90075
2001-10,69.1,98.2,79.9131,0,124.9394,111.7091,125.2896,85.87903,73.67655,41.89651,97,103.8,91.50445
2001-11,69,103.1,79.11096,0,121.946,109.4591,122.8898,85.42464,70.85242,40.99658,97.4,104.9,91.16373
2001-12,68.5,98.3,79.6123,0,119.6037,109.7591,123.7897,90.24114,71.26773,42.79643,94.9,104.8,91.33543
2002-01,70,101.6,79.81284,0,123.9716,110.6391,122.9898,85.69727,71.51692,41.79652,96.5,103.5,91.95422
2002-02,69.3,99.9,80.21391,0,125.0993,111.5991,125.4895,85.15201,72.34755,42.19648,96.2,106.3,91.94276
2002-03,71.7,101.4,80.41444,0,114.2619,111.8991,126.2895,86.33341,70.68629,42.19648,101.6,106.5,92.57252
2002-04,71,101.5,80.61497,0,135.2115,112.4891,121.7898,87.06043,73.67655,41.09658,98.2,104.4,92.84151
2002-05,71.8,100,79.81284,0,124.7041,110.8791,126.4895,87.06043,73.67655,41.79652,98.5,105,93.31822
2002-06,70.4,100.8,81.81818,0,121.0679,110.7891,124.9896,87.06043,74.75636,42.39647,100.4,103.6,94.22806
2002-07,69.8,100.3,80.41444,0,126.4262,109.6191,124.3896,87.06043,73.17818,43.49638,100.8,104.3,94.12898
2002-08,71,100.9,82.11898,0,126.9223,112.2491,123.0897,87.06043,70.27098,43.69636,98.5,104.4,94.22047
2002-09,71.3,100.3,81.21658,0,127.127,110.2791,125.3895,86.69692,73.09511,44.59628,98.7,104.8,94.28203
2002-10,72.5,104,80.31417,0,130.1941,109.3391,123.8897,86.60605,72.59673,43.59637,100.1,105.3,93.98621
2002-11,73.4,101.4,81.91845,0,125.5032,110.8991,126.3895,86.69692,72.76286,44.99625,100.8,106.3,94.44985
2002-12,69.9,98.6,80.51471,0,126.7059,107.7191,125.1896,86.15166,72.76286,44.59628,98.3,107.1,93.88344
2003-01,72.5,97.6,81.11631,0,125.6557,109.7191,125.5895,85.96991,75.00555,43.59637,98.8,108,94.63303
2003-02,71.5,100.9,81.01604,0,127.0099,110.0691,122.2898,86.15166,73.51042,43.79635,100.8,104.9,94.52857
2003-03,71.2,97,80.91578,0,126.8085,110.5791,123.0897,86.69692,74.25799,44.99625,97.1,105.8,94.62346
2003-04,72.9,99.4,80.71524,0,128.4239,110.3791,125.0896,85.24289,74.42411,45.29623,100.6,109.4,93.9026
2003-05,69.9,96.9,80.31417,0,124.574,107.4491,120.7899,84.24324,72.51367,46.19615,97.9,107.3,93.95039
2003-06,71.4,98,79.6123,0,126.4393,106.9791,122.1898,84.51587,73.75961,47.09608,98.1,107.6,94.37063
2003-07,73.3,98.2,81.41711,0,127.6429,108.9191,124.0897,84.425,74.09187,48.49596,99,108.8,94.67903
2003-08,70.7,99.1,79.51203,0,125.1539,108.4691,118.9901,85.15201,74.59024,48.79593,99.4,108.7,94.23035
2003-09,71.4,100.8,79.41177,0,126.2994,108.3491,121.8898,85.42464,74.50717,48.59595,99.9,109.3,95.03123
2003-10,72,99.4,81.51738,0,132.2807,110.2991,122.7898,86.42429,74.25799,49.79585,99.8,108.4,95.13619
2003-11,72,98.8,82.62032,0,129.1206,108.4991,124.3896,86.87868,74.92249,50.49579,101.4,108.3,95.96291
2003-12,74.8,99.5,82.72059,0,128.4565,109.1591,124.3896,87.24219,76.41762,51.69569,100.8,109.8,95.89057
2004-01,72.7,96.5,82.31952,0,122.925,109.7891,123.6897,88.15096,77.08212,52.19565,100.3,111.4,95.81535
2004-02,75.5,97.9,82.82085,0,127.9388,111.2691,123.9897,87.15131,77.49743,53.39555,102.2,111.1,96.5361
2004-03,74.3,99.1,82.01871,0,129.6364,110.3091,121.9898,88.33272,77.49743,54.39547,103.4,109.9,96.51765
2004-04,76.6,99.5,83.32219,0,128.061,110.6791,123.9897,88.51447,78.66031,56.69527,102.9,113.9,96.85807
