Date,Price,Open,High,Low,Vol.,Change 
12/01/2022,85.91,86.78,89.37,75.11,3.90,0.56
11/01/2022,85.43,92.67,99.56,80.61,4.97,-9.91
10/01/2022,94.83,86.35,98.75,86.35,4.46,11.38
09/01/2022,85.14,93.88,95.54,82.44,5.09,-10.98
08/01/2022,95.64,101.34,103.48,90.95,4.31,-8.01
07/01/2022,103.97,106.03,110.72,91.22,4.22,-4.64
06/01/2022,109.03,113.14,121.74,104.35,4.64,-5.68
05/01/2022,115.60,104.53,120.80,100.14,4.23,7.90
04/01/2022,107.14,103.31,113.61,97.18,4.05,2.32
03/01/2022,104.71,95.48,134.91,94.61,7.05,6.88
02/01/2022,97.97,88.22,102.26,86.31,5.51,9.76
01/01/2022,89.26,77.75,90.27,76.60,4.77,15.40
12/01/2021,77.35,69.37,80.03,65.48,4.15,11.73
11/01/2021,69.23,82.44,84.26,67.45,5.86,-17.31
10/01/2021,83.72,77.67,85.77,76.78,4.91,6.91
09/01/2021,78.31,70.98,79.95,69.85,5.76,9.33
08/01/2021,71.63,74.45,74.52,64.20,4.13,-5.01
07/01/2021,75.41,73.83,76.80,66.91,4.47,1.06
06/01/2021,74.62,69.07,75.77,68.98,4.85,8.22
05/01/2021,68.95,66.24,69.90,64.50,4.24,3.28
04/01/2021,66.76,62.68,68.44,60.93,4.34,6.41
03/01/2021,62.74,64.00,70.67,60.33,7.08,-2.61
02/01/2021,64.42,54.70,66.82,54.40,4.59,17.04
01/01/2021,55.04,51.53,57.31,50.66,4.44,6.21
12/01/2020,51.82,47.95,52.46,46.81,3.58,8.23
11/01/2020,47.88,37.80,49.00,36.29,4.05,26.20
10/01/2020,37.94,42.65,43.99,37.26,4.19,-10.31
09/01/2020,42.30,45.96,46.57,39.88,4.54,-7.36
08/01/2020,45.66,43.96,46.90,43.26,3.01,4.92
07/01/2020,43.52,41.69,45.07,41.10,3.52,5.45
06/01/2020,41.27,37.80,43.97,37.29,4.15,9.06
05/01/2020,37.84,28.75,38.17,27.14,3.17,42.90
04/01/2020,26.48,29.36,38.31,19.99,5.27,0.49
03/01/2020,26.35,48.59,53.69,25.30,7.81,-46.95
02/01/2020,49.67,55.89,59.56,48.94,4.99,-12.27
01/01/2020,56.62,65.52,70.99,55.93,4.82,-13.28
12/01/2019,65.29,60.12,67.59,59.59,3.44,7.94
11/01/2019,60.49,58.74,63.58,58.70,3.81,1.46
10/01/2019,59.62,58.74,62.09,55.55,4.10,0.62
09/01/2019,59.25,58.40,70.32,56.48,5.88,0.00
08/01/2019,59.25,63.56,64.05,55.59,4.06,-8.92
07/01/2019,65.05,64.25,67.27,60.97,4.27,0.48
06/01/2019,64.74,60.81,66.02,58.42,4.49,4.44
05/01/2019,61.99,71.07,72.44,61.39,5.07,-13.97
04/01/2019,72.06,67.21,74.75,67.21,4.29,6.63
03/01/2019,67.58,66.54,68.48,63.99,4.65,1.92
02/01/2019,66.31,61.15,67.84,60.54,3.28,8.99
01/01/2019,60.84,54.44,62.99,52.76,3.84,12.62
12/01/2018,54.02,59.95,63.93,50.22,3.32,-9.15
11/01/2018,59.46,74.72,75.03,57.78,4.44,-20.76
10/01/2018,75.04,82.30,86.27,74.58,4.43,-9.30
09/01/2018,82.73,77.57,83.41,75.32,4.69,6.56
08/01/2018,77.64,74.25,78.32,70.67,3.46,4.62
07/01/2018,74.21,78.56,79.25,71.30,3.86,-6.34
06/01/2018,79.23,77.44,79.56,72.11,5.31,2.15
05/01/2018,77.56,74.16,80.50,71.99,5.43,3.84
04/01/2018,74.69,68.84,75.61,66.29,4.63,7.72
03/01/2018,69.34,64.26,70.40,62.92,5.31,7.12
02/01/2018,64.73,68.59,69.72,61.48,4.21,-6.04
01/01/2018,68.89,66.23,70.78,65.82,4.41,3.69
12/01/2017,66.44,62.43,66.54,60.94,3.80,6.08
11/01/2017,62.63,60.78,64.41,59.75,4.90,2.77
10/01/2017,60.94,56.54,61.19,54.85,4.81,7.31
09/01/2017,56.79,52.78,58.88,52.01,6.18,7.43
08/01/2017,52.86,52.86,53.47,49.81,5.24,0.27
07/01/2017,52.72,49.41,52.90,46.39,4.05,8.10
06/01/2017,48.77,51.50,51.78,44.60,5.70,-3.92
05/01/2017,50.76,52.18,54.93,46.98,5.39,-2.48
04/01/2017,52.05,53.88,56.99,51.01,4.63,-2.76
03/01/2017,53.53,56.83,57.35,50.00,5.81,-5.27
02/01/2017,56.51,55.89,57.74,54.74,4.27,1.67
01/01/2017,55.58,57.75,59.02,54.20,4.12,-3.32
12/01/2016,57.49,52.35,58.53,52.20,3.72,10.90
11/01/2016,51.84,49.27,52.37,44.67,4.98,6.64
10/01/2016,48.61,50.56,54.32,48.45,3.85,-3.15
09/01/2016,50.19,47.34,50.57,45.57,5.20,7.04
08/01/2016,46.89,43.70,51.48,41.93,3.60,7.72
07/01/2016,43.53,50.42,51.29,42.52,3.57,-12.43
06/01/2016,49.71,50.01,53.30,47.30,3.73,-0.36
05/01/2016,49.89,47.76,50.96,43.90,3.47,5.32
04/01/2016,47.37,40.62,48.29,37.52,3.97,17.46
03/01/2016,40.33,37.29,43.10,36.64,4.22,10.28
02/01/2016,36.57,36.75,37.26,30.66,3.96,1.61
01/01/2016,35.99,37.96,39.30,27.83,6.03,-4.46
12/01/2015,37.67,45.25,45.80,36.45,3.72,-16.73
11/01/2015,45.24,50.27,51.70,44.06,3.49,-10.08
10/01/2015,50.31,49.15,54.36,47.15,3.93,2.57
09/01/2015,49.05,53.69,54.24,47.01,3.61,-10.80
08/01/2015,54.99,52.55,55.14,43.03,3.34,4.05
07/01/2015,52.85,63.60,63.85,52.24,3.81,-17.60
06/01/2015,64.14,66.60,66.94,61.67,3.80,-3.02
05/01/2015,66.14,67.42,70.36,61.86,3.00,-1.94
04/01/2015,67.45,56.18,67.58,55.12,3.48,20.00
03/01/2015,56.21,62.83,62.96,52.65,3.94,-10.99
02/01/2015,63.15,53.95,63.66,52.35,3.73,17.05
01/01/2015,53.95,58.91,59.41,46.40,4.08,-7.32
