Date,Belgium,Denmark,Germany,Ireland,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,67.3,77.8,86.5,69.5,78.7,61.1,84.3,88,72.9,40.9,60.3,58.5,63.1
2000-02,71.1,78.6,87.5,69.5,78.7,61.5,84.3,89.4,74,43,60.4,59.4,64.1
2000-03,67.2,77.9,86.7,70.2,79.2,61.5,85.2,88.3,74,42.4,60.8,59.7,64.8
2000-04,68.6,78.6,87.2,71.3,79.7,62.2,85.1,89.1,75.1,43.6,60.9,59.3,63.8
2000-05,70.2,79.4,87.7,71.9,80.2,62.6,85.3,90.6,74.4,44.6,62.3,61,63.9
2000-06,68.4,78.4,86.7,72.3,80.3,62.5,85.9,89.4,76.3,44.9,61.7,59.5,64.4
2000-07,70.8,79.5,87,72.9,81,63.4,86.1,91.6,76.2,45.4,62.3,60.2,64.1
2000-08,69.5,79.5,87.2,74.4,81,63.6,86.3,91,74.8,45.4,62.5,60.2,64.2
2000-09,71,79.6,86.9,75.2,82.1,64.4,87.1,91.3,77.2,45.9,63.6,60.3,65.3
2000-10,72.2,79.5,87.3,75.2,82.5,65.6,87,91,74.4,46.8,62.2,59.2,65.2
2000-11,72.4,79.9,87.7,77.2,83.4,67.8,87.8,93.5,76.4,46.9,63.2,60.5,64.9
2000-12,72.7,80.7,88,75,83.9,65.4,87.6,93.7,76,46.3,63.2,61.6,65
2001-01,71.6,79.8,89.9,76.5,85,66.7,87.6,93.7,74.8,46.7,64.8,61.5,65.5
2001-02,70.2,80.4,87.9,76.7,84.9,66.8,88.2,94.4,75.2,46.1,64.2,62,65.5
2001-03,71.3,79.3,88.8,77.5,84.8,67.2,87.5,94.9,76,46.2,64.9,62.1,64.9
2001-04,69.9,79.9,88.4,78.5,84.7,68.9,87.4,94.7,74.1,46.5,64.9,62.4,66.1
2001-05,72.8,81.6,89,79.6,85.3,68.3,88,97.4,74.4,45.9,65.2,63.1,66.2
2001-06,72.3,81.1,88.7,80,86.8,69.8,88.3,95.6,75.5,47.3,66,63,65.9
2001-07,69.6,80.6,88.7,81,87.1,69.5,87.9,96.2,75.5,47.5,66.1,62.9,65.6
2001-08,72.5,81.1,88.5,81,88,69.2,88.4,96.7,76,48.5,66.4,63.4,66
2001-09,76.2,81.6,88.1,81.1,87,69.5,88.1,98.2,75.2,48.5,66.4,63.4,64.8
2001-10,71.1,79.3,86.6,82.8,87.3,68.6,88,96.5,74,47.9,66.4,61.7,69.5
2001-11,73,81.7,89.2,82.7,87.5,69.9,88.3,99.4,76,48.4,67.2,63.8,67.6
2001-12,72.9,82.8,87.6,84.7,88.5,71.9,88.1,97.9,75.8,49.2,67.9,63.8,66.5
2002-01,70.9,83,86.6,80.8,88.3,68.4,88.8,96.5,73.5,48.5,65.7,64.7,66.5
2002-02,76.6,83,86.3,83.3,89.6,70.3,88.6,97.4,75.7,48.7,67.4,64.2,66.8
2002-03,71.7,84.5,86.6,83.5,90.8,70.3,89,98.9,75,49.2,67.6,65.4,66.7
2002-04,72,83.1,87.6,81.7,91.2,70.4,89.3,99,74.4,47.8,68.7,66.3,67.8
2002-05,71,84.3,86.9,83.9,91.6,71.7,89.5,99,77.2,48.1,69,65.8,66.8
2002-06,71.7,83.6,85.5,83.8,91.4,71.2,89.6,98.7,73.8,46.9,68.7,65.5,67.4
2002-07,72.1,84.7,86.9,84.9,92.1,71.8,89.8,99.2,75.6,47.9,68.3,65.4,68.2
2002-08,72.5,85.1,86.4,84.3,93.1,72.1,89.9,99.6,76.7,47.4,68.7,65.6,68.7
2002-09,73.1,85.4,87.2,84.9,94.1,72.3,89.9,100.3,76.3,47.6,68.5,66.6,67.6
2002-10,72.8,84.5,87,85.1,94.3,72.5,91.1,99.4,76.8,48.5,69,66.6,67.9
2002-11,73.5,84.9,86.1,85.8,94.3,73.1,90.6,99.2,76.8,49,69.4,66.3,68.4
2002-12,71.6,85.4,86,86.8,91,72.6,91.2,99.8,76.7,48.3,69.9,66.7,69
