Date,Belgium,Denmark,Germany,Ireland,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,63.36635,29.00437,86.16582,0.00000,90.96918,98.18359,144.13190,126.71680,52.22748,37.42764,168.45240,63.49685,62.86602
2000-02,59.25803,30.30514,95.00121,0.00000,99.52238,105.37250,163.17230,130.11510,49.94258,40.91359,186.89520,71.26452,59.92387
2000-03,58.84153,32.45818,99.83437,0.00000,103.10490,109.68960,171.77110,135.25740,50.26763,42.32998,201.34620,76.19941,61.62468
2000-04,60.86184,31.23600,92.57018,0.00000,97.02731,105.85200,157.51290,129.84870,51.01256,38.63022,186.21530,69.66547,64.01819
2000-05,60.88674,31.89180,90.46495,0.00000,93.01632,107.89770,160.98720,130.78380,51.02002,37.18262,193.24140,70.37416,63.33833
2000-06,61.51429,32.26035,90.39555,0.00000,91.24404,110.94700,163.84900,133.06200,51.10954,37.79189,195.23440,69.38798,64.33157
2000-07,63.36939,33.18173,89.34293,0.00000,92.19080,110.70030,167.01090,133.11520,50.17065,37.70879,186.26800,69.55367,64.67895
2000-08,66.01561,35.25753,88.97086,0.00000,93.64934,111.96700,165.89240,135.31630,52.39266,35.60670,157.32320,66.47136,65.96814
2000-09,64.76791,36.49055,87.19337,0.00000,95.54100,111.96860,166.71350,135.08500,52.24026,34.35727,166.15110,67.38168,66.10835
2000-10,64.36908,37.34011,82.56457,0.00000,92.05476,105.31680,161.36170,132.04560,50.25697,30.69032,144.94260,61.06933,64.02615
2000-11,65.38557,35.47297,81.79150,0.00000,87.17290,105.47620,169.10190,132.79560,49.72837,31.70116,155.43700,59.03508,63.94636
2000-12,63.59655,33.81314,76.86002,0.00000,82.50945,100.82380,158.53650,125.54060,48.48042,33.28617,162.27720,56.80320,63.89025
2001-01,61.87188,35.51633,77.22632,0.00000,86.51581,99.78284,156.36840,124.34330,48.97172,33.29037,141.30420,56.22227,64.42542
2001-02,62.64534,35.64235,76.47831,0.00000,86.14192,97.40707,151.56580,122.26150,51.83849,31.71488,109.35580,54.01634,64.17600
2001-03,59.72075,32.61942,70.57133,0.00000,82.52055,90.16580,138.99810,113.11940,52.03565,28.35942,100.79410,48.74606,59.75940
2001-04,59.65748,31.62216,70.48458,0.00000,84.12717,91.85268,143.54980,112.85170,52.21895,28.96539,107.06560,46.84158,60.09292
2001-05,58.92052,33.05165,72.59945,0.00000,85.40247,95.85862,144.24420,117.70520,52.28503,29.31186,124.48950,50.30319,63.83125
2001-06,59.83569,33.33484,70.97619,0.00000,82.31973,91.24416,136.59740,114.23120,52.92659,27.87567,105.72270,47.75988,62.47472
2001-07,60.78316,32.92293,68.39285,0.00000,76.27362,86.31496,132.14430,108.65710,52.80616,25.55446,88.92118,45.37029,60.79872
