Date,Price,Open,High,Low,Vol.,Change 
12/01/2022,24.040,22.410,24.525,22.190,1.04,10.37
11/01/2022,21.781,19.260,22.500,18.965,440.53,13.92
10/01/2022,19.119,18.995,21.310,18.010,1.27,0.42
09/01/2022,19.039,17.700,19.855,17.645,113.93,6.67
08/01/2022,17.849,19.920,20.810,17.960,3.20,-11.84
07/01/2022,20.247,20.290,20.290,18.010,976.88,-0.52
06/01/2022,20.352,21.540,22.580,20.145,118.30,-6.37
05/01/2022,21.737,22.785,23.345,20.420,1.01,-5.84
04/01/2022,23.085,24.980,26.480,22.710,117.69,-8.24
03/01/2022,25.158,24.455,27.495,24.045,1.23,3.25
02/01/2022,24.366,22.750,25.680,22.050,124.89,8.68
01/01/2022,22.419,23.385,24.755,21.945,1.10,-4.00
12/01/2021,23.352,22.945,23.465,21.515,62.13,2.43
11/01/2021,22.799,23.990,25.475,22.775,11.07,-4.87
10/01/2021,23.966,22.185,24.920,21.990,1.00,8.70
09/01/2021,22.047,23.900,24.840,21.410,148.70,-8.10
08/01/2021,23.991,25.570,25.570,22.885,5.09,-6.14
07/01/2021,25.560,26.250,26.910,24.515,1.09,-2.42
06/01/2021,26.194,28.070,28.510,25.580,127.49,-6.55
05/01/2021,28.031,25.990,28.900,25.850,1.29,8.34
04/01/2021,25.873,24.350,26.735,24.350,144.47,5.38
03/01/2021,24.552,26.700,27.175,23.930,1.34,-7.14
02/01/2021,26.440,28.860,30.260,26.120,233.59,-1.85
01/01/2021,26.937,26.770,28.105,24.040,1.53,1.99
12/01/2020,26.412,22.690,27.475,22.690,89.12,16.96
11/01/2020,22.583,23.710,26.130,22.230,3.60,-4.69
10/01/2020,23.694,23.355,25.710,22.865,1.37,0.85
09/01/2020,23.494,28.750,29.030,21.820,171.33,-17.65
08/01/2020,28.530,24.480,29.970,23.665,5.64,17.39
07/01/2020,24.304,18.580,26.275,17.995,2.15,30.41
06/01/2020,18.637,18.740,18.885,17.125,128.30,0.52
05/01/2020,18.541,15.075,18.500,14.760,985.35,23.83
04/01/2020,14.973,14.175,16.350,14.175,110.21,5.59
03/01/2020,14.180,16.500,17.615,11.640,1.92,-13.84
02/01/2020,16.457,18.135,18.960,16.400,350.83,-8.84
01/01/2020,18.052,17.905,18.895,17.280,1.73,0.73
12/01/2019,17.921,17.025,18.200,16.550,126.27,5.05
11/01/2019,17.060,18.115,18.210,16.680,4.94,-5.87
10/01/2019,18.124,17.045,18.350,16.940,1.54,6.62
09/01/2019,16.998,18.585,19.510,16.980,233.51,-7.08
08/01/2019,18.293,16.040,18.520,16.040,5.16,11.24
07/01/2019,16.444,15.315,16.685,14.915,1.79,7.19
06/01/2019,15.341,14.680,15.585,14.665,135.27,5.02
05/01/2019,14.607,14.975,14.995,14.265,1.22,-2.52
04/01/2019,14.984,15.175,15.300,14.735,130.02,-1.13
03/01/2019,15.156,15.630,15.665,14.985,1.17,-3.06
02/01/2019,15.634,15.830,16.220,15.510,137.05,-3.01
01/01/2019,16.120,15.550,16.080,15.195,1.26,3.73
12/01/2018,15.540,14.400,15.575,14.390,115.69,9.59
11/01/2018,14.180,14.305,14.955,13.925,6.02,-1.01
10/01/2018,14.324,14.725,14.950,14.255,1.56,-2.64
09/01/2018,14.712,14.480,14.755,14.035,205.68,1.34
08/01/2018,14.517,15.585,15.585,14.380,3.11,-6.92
07/01/2018,15.597,16.145,16.260,15.185,1.36,-3.71
06/01/2018,16.198,16.535,17.360,15.965,183.37,-1.85
05/01/2018,16.503,16.345,16.865,16.070,1.45,0.62
04/01/2018,16.401,16.700,17.385,16.225,141.22,0.55
03/01/2018,16.312,16.430,16.895,16.100,1.51,-0.58
02/01/2018,16.407,17.365,17.365,16.200,163.39,-5.07
01/01/2018,17.284,17.035,17.705,16.735,1.87,0.81
12/01/2017,17.145,16.345,17.175,15.630,138.76,4.26
11/01/2017,16.445,16.735,17.410,16.255,5.01,-1.68
10/01/2017,16.726,16.670,17.495,16.345,1.60,0.30
09/01/2017,16.676,17.560,18.225,16.640,140.70,-4.93
08/01/2017,17.541,16.625,17.675,16.200,2.39,4.19
07/01/2017,16.835,16.635,16.845,15.145,1.62,1.25
06/01/2017,16.627,17.220,17.725,16.280,171.02,-4.68
05/01/2017,17.443,17.240,17.380,16.060,1.59,1.05
04/01/2017,17.262,18.240,18.685,17.185,167.85,-5.64
03/01/2017,18.294,18.360,18.510,16.825,1.26,-0.95
02/01/2017,18.469,17.625,18.540,17.345,137.85,5.07
01/01/2017,17.577,15.970,17.650,15.935,1.17,9.93
12/01/2016,15.989,16.430,17.250,15.695,87.26,-2.83
11/01/2016,16.454,17.945,19.035,16.210,11.36,-7.74
10/01/2016,17.835,19.260,19.385,17.115,1.09,-7.18
09/01/2016,19.214,18.905,20.100,18.730,126.75,2.89
08/01/2016,18.675,20.630,20.770,18.440,1.63,-8.42
07/01/2016,20.393,18.815,21.225,18.795,1.23,9.50
06/01/2016,18.623,16.025,18.900,15.980,149.26,16.26
05/01/2016,16.018,17.920,18.060,16.085,976.41,-10.11
04/01/2016,17.819,15.245,18.020,14.810,142.87,15.09
03/01/2016,15.483,14.915,16.170,14.745,1.01,3.79
02/01/2016,14.918,14.320,15.920,14.320,127.71,4.65
01/01/2016,14.255,13.815,14.585,13.730,780.44,3.27
12/01/2015,13.803,14.010,14.550,13.660,41.87,-1.91
11/01/2015,14.072,15.495,15.495,13.875,6.56,-9.70
10/01/2015,15.584,14.500,16.370,14.360,904.37,7.34
09/01/2015,14.518,14.580,15.220,14.300,70.52,-0.43
08/01/2015,14.581,14.755,15.545,13.980,0.58,-1.25
07/01/2015,14.765,15.615,15.900,14.330,796.93,-5.24
06/01/2015,15.581,16.785,17.185,15.435,112.79,-6.82
05/01/2015,16.721,16.145,17.775,15.895,740.48,3.52
04/01/2015,16.153,16.585,16.955,15.585,120.77,-2.80
03/01/2015,16.619,16.575,17.405,15.260,708.02,0.37
02/01/2015,16.558,17.245,17.495,16.100,71.09,-3.89
01/01/2015,17.228,15.730,18.505,15.510,776.29,10.44
12/01/2014,15.599,15.280,17.280,14.645,63.74,0.33
11/01/2014,15.547,15.830,16.700,15.110,6.76,-3.59
10/01/2014,16.126,16.975,17.820,15.820,777.54,-5.46
09/01/2014,17.057,19.205,19.225,16.850,93.49,-12.32
08/01/2014,19.454,20.415,20.415,19.335,0.88,-4.79
07/01/2014,20.432,21.070,21.630,20.350,806.56,-2.96
06/01/2014,21.056,18.850,21.250,18.700,100.10,12.60
05/01/2014,18.700,19.190,20.005,18.685,704.30,-2.47
04/01/2014,19.174,19.715,20.310,18.960,105.84,-2.99
03/01/2014,19.765,21.325,21.795,19.575,813.35,-6.95
02/01/2014,21.241,19.315,22.180,19.280,95.87,10.99
01/01/2014,19.138,19.440,20.670,19.310,729.30,-1.20
12/01/2013,19.370,19.715,20.440,18.720,73.01,-3.23
11/01/2013,20.016,21.860,22.055,19.670,7.61,-8.53
10/01/2013,21.882,21.700,23.060,20.495,771.23,0.80
09/01/2013,21.708,21.930,23.330,21.375,68.83,-7.61
08/01/2013,23.495,19.370,25.100,19.370,2.94,19.61
07/01/2013,19.643,19.500,20.595,18.665,757.01,0.89
06/01/2013,19.470,22.380,22.710,18.170,142.09,-12.55
05/01/2013,22.265,24.320,24.420,20.250,920.06,-7.94
04/01/2013,24.185,28.080,28.125,22.085,95.88,-14.70
03/01/2013,28.353,28.525,29.350,27.925,606.82,-0.28
02/01/2013,28.432,31.615,32.095,28.345,104.70,-9.39
01/01/2013,31.380,30.370,32.485,29.240,786.86,3.81
12/01/2012,30.227,33.680,33.785,29.660,39.13,-9.10
11/01/2012,33.254,32.280,34.290,30.810,4.11,2.82
10/01/2012,32.342,34.530,35.445,31.535,755.13,-6.46
09/01/2012,34.577,31.870,35.090,31.870,95.23,10.06
08/01/2012,31.417,27.205,31.205,27.205,47.66,12.44
07/01/2012,27.941,27.500,28.445,26.425,653.76,1.19
06/01/2012,27.612,27.680,29.800,26.105,122.27,-0.62
05/01/2012,27.785,30.980,31.365,26.730,840.02,-10.42
04/01/2012,31.016,32.395,33.215,29.990,76.17,-4.60
03/01/2012,32.513,34.645,35.705,31.090,911.74,-6.15
02/01/2012,34.642,33.920,37.580,32.800,189.33,4.06
01/01/2012,33.290,27.980,33.965,27.905,677.92,19.25
12/01/2011,27.915,33.155,33.300,26.145,62.68,-14.83
11/01/2011,32.777,34.100,35.320,30.765,8.83,-4.63
10/01/2011,34.370,29.935,35.570,28.435,790.01,14.25
09/01/2011,30.083,41.745,42.685,26.170,93.29,-27.91
08/01/2011,41.727,39.500,44.175,37.135,2.43,4.02
07/01/2011,40.114,34.745,41.465,33.470,1.13,15.16
06/01/2011,34.832,38.245,38.365,33.440,109.53,-9.10
05/01/2011,38.317,48.090,48.190,32.300,2.11,-21.16
04/01/2011,48.599,37.225,49.560,37.200,283.86,28.23
