Date,Price,Open,High,Low,Vol.,Change 
12/01/2022,3839.50,4089.50,4103.05,3764.14,,-5.90
11/01/2022,4080.11,3911.50,4080.11,3695.60,,5.38
10/01/2022,3871.98,3624.07,3906.05,3490.00,,7.99
09/01/2022,3585.62,3929.90,4119.69,3585.40,,-9.34
08/01/2022,3955.00,4103.38,4325.50,3954.90,,-4.24
07/01/2022,4130.29,3779.27,4140.00,3720.25,,9.11
06/01/2022,3785.38,4156.10,4177.60,3636.82,,-8.39
05/01/2022,4132.15,4132.70,4307.90,3810.50,,0.01
04/01/2022,4131.93,4547.90,4593.90,4123.87,,-8.80
03/01/2022,4530.41,4358.08,4637.90,4157.20,,3.58
02/01/2022,4373.79,4521.35,4595.10,4114.50,,-3.14
01/01/2022,4515.55,4781.00,4817.88,4221.54,,-5.26
12/01/2021,4766.18,4623.80,4808.52,4494.20,,4.36
11/01/2021,4567.00,4616.47,4743.74,4560.26,,-0.83
10/01/2021,4605.38,4324.71,4608.70,4278.70,,6.91
09/01/2021,4307.54,4531.04,4544.58,4304.90,,-4.76
08/01/2021,4522.68,4415.90,4537.80,4369.20,,2.90
07/01/2021,4395.26,4304.10,4430.20,4232.80,,2.27
06/01/2021,4297.50,4216.52,4302.43,4164.40,,2.22
05/01/2021,4204.11,4191.98,4238.04,4056.88,,0.55
04/01/2021,4181.17,3992.78,4218.78,3992.78,,5.24
03/01/2021,3972.89,3842.51,3994.41,3723.34,,4.24
02/01/2021,3811.15,3731.17,3950.43,3725.62,,2.61
01/01/2021,3714.24,3764.61,3870.90,3662.71,,-1.11
12/01/2020,3756.07,3645.87,3760.20,3633.40,,3.71
11/01/2020,3621.63,3296.20,3645.99,3279.74,,10.75
10/01/2020,3269.96,3385.87,3549.85,3233.94,,-2.77
09/01/2020,3363.00,3507.44,3588.11,3209.45,,-3.92
08/01/2020,3500.31,3288.26,3514.77,3284.53,,7.01
07/01/2020,3271.12,3105.92,3279.99,3101.17,,5.51
06/01/2020,3100.29,3038.78,3233.13,2965.66,,1.84
05/01/2020,3044.31,2869.09,3068.67,2766.64,,4.53
04/01/2020,2912.43,2498.08,2954.86,2447.49,,12.68
03/01/2020,2584.59,2974.28,3136.72,2191.86,,-12.51
02/01/2020,2954.22,3235.66,3393.52,2855.84,,-8.41
01/01/2020,3225.52,3244.67,3337.77,3214.64,,-0.16
12/01/2019,3230.78,3143.85,3247.93,3070.33,,2.86
11/01/2019,3140.98,3050.72,3154.26,3050.72,,3.40
10/01/2019,3037.56,2983.69,3050.10,2855.94,,2.04
09/01/2019,2976.74,2909.01,3021.99,2891.85,,1.72
08/01/2019,2926.46,2980.32,3013.59,2822.12,,-1.81
07/01/2019,2980.38,2971.41,3027.98,2952.22,,1.31
06/01/2019,2941.76,2751.53,2964.15,2728.81,,6.89
05/01/2019,2752.06,2952.33,2954.13,2750.52,,-6.58
04/01/2019,2945.83,2848.63,2949.52,2848.63,,3.93
03/01/2019,2834.40,2798.22,2860.31,2722.27,,1.79
02/01/2019,2784.49,2702.32,2813.49,2681.83,,2.97
01/01/2019,2704.10,2476.96,2708.95,2443.96,,7.87
12/01/2018,2506.85,2790.50,2800.18,2346.58,,-9.18
11/01/2018,2760.17,2717.58,2815.15,2631.09,,1.79
10/01/2018,2711.74,2926.29,2939.86,2603.54,,-6.94
09/01/2018,2913.98,2896.96,2940.91,2864.12,,0.43
08/01/2018,2901.52,2821.17,2916.50,2796.34,,3.03
07/01/2018,2816.29,2704.95,2848.03,2698.95,,3.60
06/01/2018,2718.37,2718.70,2791.47,2691.99,,0.48
05/01/2018,2705.27,2643.64,2742.24,2594.62,,2.16
04/01/2018,2648.05,2633.45,2717.49,2553.80,,0.27
03/01/2018,2640.87,2715.22,2801.90,2585.89,,-2.69
02/01/2018,2713.83,2816.45,2835.96,2532.69,,-3.89
01/01/2018,2823.81,2683.73,2872.87,2682.36,,5.62
12/01/2017,2673.61,2645.10,2694.97,2605.52,,0.98
11/01/2017,2647.58,2583.21,2657.74,2557.45,,2.81
10/01/2017,2575.26,2521.20,2582.98,2520.40,,2.22
09/01/2017,2519.36,2474.42,2519.44,2446.55,,1.93
08/01/2017,2471.65,2477.10,2490.87,2417.35,,0.05
07/01/2017,2470.30,2431.39,2484.04,2407.70,,1.93
06/01/2017,2423.41,2415.65,2453.82,2405.70,,0.48
05/01/2017,2411.80,2388.50,2418.71,2352.72,,1.16
04/01/2017,2384.20,2362.34,2398.16,2328.95,,0.91
03/01/2017,2362.72,2380.13,2400.98,2322.25,,-0.04
02/01/2017,2363.64,2285.59,2371.54,2271.65,,3.72
01/01/2017,2278.87,2251.57,2300.99,2245.13,,1.79
12/01/2016,2238.83,2200.17,2277.53,2187.44,,1.82
11/01/2016,2198.81,2128.68,2214.10,2083.79,,3.42
10/01/2016,2126.15,2164.33,2169.60,2114.72,,-1.94
09/01/2016,2168.27,2171.33,2187.87,2119.12,,-0.12
08/01/2016,2170.95,2173.15,2193.81,2147.58,,-0.12
07/01/2016,2173.60,2099.34,2177.09,2074.02,,3.56
06/01/2016,2098.86,2093.94,2120.55,1991.68,,0.09
05/01/2016,2096.96,2067.17,2103.48,2025.91,,1.53
04/01/2016,2065.30,2056.62,2111.05,2033.80,,0.27
03/01/2016,2059.74,1937.09,2072.21,1937.09,,6.60
02/01/2016,1932.23,1936.94,1962.96,1810.10,,-0.41
01/01/2016,1940.24,2038.20,2038.20,1812.29,,-5.07
12/01/2015,2043.94,2082.93,2104.27,1993.26,,-1.75
11/01/2015,2080.41,2080.76,2116.48,2019.39,,0.05
10/01/2015,2079.36,1919.65,2094.32,1893.70,,8.30
09/01/2015,1920.03,1970.09,2020.86,1871.91,,-2.64
08/01/2015,1972.18,2104.49,2112.66,1867.01,,-6.26
07/01/2015,2103.84,2067.00,2132.82,2044.02,,1.97
06/01/2015,2063.11,2108.64,2129.87,2056.32,,-2.10
05/01/2015,2107.39,2087.38,2134.72,2067.93,,1.05
04/01/2015,2085.51,2067.63,2125.92,2048.38,,0.85
03/01/2015,2067.89,2105.23,2117.52,2039.69,,-1.74
02/01/2015,2104.50,1996.67,2119.59,1980.90,,5.49
01/01/2015,1994.99,2058.90,2072.36,1988.12,,-3.10
12/01/2014,2058.90,2065.78,2093.55,1972.56,,-0.42
11/01/2014,2067.56,2018.21,2075.76,2001.01,,2.45
10/01/2014,2018.05,1971.44,2018.19,1820.66,,2.32
09/01/2014,1972.29,2004.07,2019.26,1964.04,,-1.55
08/01/2014,2003.37,1929.80,2005.04,1904.78,,3.77
07/01/2014,1930.67,1962.29,1991.39,1930.67,,-1.51
06/01/2014,1960.23,1923.87,1968.17,1915.98,,1.91
05/01/2014,1923.57,1884.39,1924.03,1859.79,,2.10
04/01/2014,1883.95,1873.96,1897.28,1814.36,,0.62
03/01/2014,1872.34,1857.68,1883.97,1834.44,,0.69
02/01/2014,1859.45,1782.68,1867.92,1737.92,,4.31
01/01/2014,1782.59,1845.86,1850.84,1770.45,,-3.56
12/01/2013,1848.36,1806.55,1849.44,1767.99,,2.36
11/01/2013,1805.81,1758.70,1813.55,1746.20,,2.80
10/01/2013,1756.54,1682.41,1775.22,1646.47,,4.46
09/01/2013,1681.55,1635.95,1729.86,1633.41,,2.97
08/01/2013,1632.97,1689.42,1709.67,1627.47,,-3.13
07/01/2013,1685.73,1609.78,1698.78,1604.57,,4.95
06/01/2013,1606.28,1631.71,1654.19,1560.33,,-1.50
05/01/2013,1630.74,1597.55,1687.18,1581.28,,2.08
04/01/2013,1597.57,1569.18,1597.57,1536.03,,1.81
03/01/2013,1569.19,1514.68,1570.28,1501.48,,3.60
02/01/2013,1514.68,1498.11,1530.94,1485.01,,1.11
01/01/2013,1498.11,1426.19,1509.94,1426.19,,5.04
12/01/2012,1426.19,1416.34,1448.00,1398.11,,0.71
11/01/2012,1416.18,1412.20,1434.27,1343.35,,0.28
10/01/2012,1412.16,1440.90,1470.96,1403.28,,-1.98
09/01/2012,1440.67,1406.54,1474.51,1396.56,,2.42
08/01/2012,1406.58,1379.32,1426.68,1354.65,,1.98
07/01/2012,1379.32,1362.33,1391.74,1325.41,,1.26
06/01/2012,1362.16,1309.87,1363.46,1266.74,,3.96
05/01/2012,1310.33,1397.86,1415.32,1291.98,,-6.27
04/01/2012,1397.91,1408.47,1422.38,1357.38,,-0.75
03/01/2012,1408.47,1365.90,1419.15,1340.03,,3.13
02/01/2012,1365.68,1312.45,1378.04,1312.45,,4.06
01/01/2012,1312.41,1258.86,1333.47,1258.86,,4.36
12/01/2011,1257.60,1246.91,1269.37,1202.37,,0.85
11/01/2011,1246.96,1251.00,1277.55,1158.66,,-0.51
10/01/2011,1253.30,1131.21,1292.66,1074.77,,10.77
09/01/2011,1131.42,1219.12,1229.29,1114.22,,-7.18
08/01/2011,1218.89,1292.59,1307.38,1101.54,,-5.68
07/01/2011,1292.28,1320.64,1356.48,1282.86,,-2.15
06/01/2011,1320.64,1345.20,1345.20,1258.07,,-1.83
05/01/2011,1345.20,1365.21,1370.58,1311.80,,-1.35
04/01/2011,1363.61,1329.48,1364.56,1294.70,,2.85
03/01/2011,1325.83,1328.64,1332.28,1249.05,,-0.10
02/01/2011,1327.22,1289.14,1344.07,1289.14,,3.20
01/01/2011,1286.12,1257.62,1302.67,1257.62,,2.26
12/01/2010,1257.64,1186.60,1262.60,1186.60,,6.53
11/01/2010,1180.55,1185.71,1227.08,1173.00,,-0.23
10/01/2010,1183.26,1143.49,1196.14,1131.87,,3.69
09/01/2010,1141.20,1049.72,1157.16,1049.72,,8.76
08/01/2010,1049.33,1107.53,1129.24,1039.70,,-4.74
07/01/2010,1101.60,1031.10,1120.95,1010.91,,6.88
06/01/2010,1030.71,1087.30,1131.23,1028.33,,-5.39
05/01/2010,1089.41,1188.58,1205.13,1040.78,,-8.20
04/01/2010,1186.69,1171.23,1219.80,1170.69,,1.48
03/01/2010,1169.43,1105.36,1180.69,1105.36,,5.88
02/01/2010,1104.49,1073.89,1112.42,1044.50,,2.85
01/01/2010,1073.87,1116.56,1150.45,1071.59,,-3.70
12/01/2009,1115.10,1098.89,1130.38,1085.89,,1.78
11/01/2009,1095.63,1036.18,1113.69,1029.38,,5.74
10/01/2009,1036.19,1054.91,1101.36,1019.95,,-1.98
09/01/2009,1057.08,1019.52,1080.15,991.97,,3.57
08/01/2009,1020.62,990.22,1039.47,978.51,,3.36
07/01/2009,987.48,920.82,996.68,869.32,,7.41
06/01/2009,919.32,923.26,956.23,888.86,,0.02
05/01/2009,919.14,872.74,930.17,866.10,,5.31
04/01/2009,872.81,793.59,888.70,783.32,,9.39
03/01/2009,797.87,729.57,832.98,666.79,,8.54
02/01/2009,735.09,823.09,875.01,734.52,,-10.99
01/01/2009,825.88,902.99,943.85,804.30,,-8.57
12/01/2008,903.25,888.61,918.85,815.69,,0.78
11/01/2008,896.24,968.67,1007.51,741.02,,-7.48
10/01/2008,968.75,1164.17,1167.03,839.80,,-16.94
09/01/2008,1166.36,1287.83,1303.04,1106.39,,-9.08
08/01/2008,1282.83,1269.42,1313.15,1247.45,,1.22
07/01/2008,1267.38,1276.69,1292.17,1200.44,,-0.99
06/01/2008,1280.00,1399.62,1404.05,1272.00,,-8.60
05/01/2008,1400.38,1385.97,1440.24,1373.07,,1.07
04/01/2008,1385.59,1326.41,1404.57,1324.35,,4.75
03/01/2008,1322.70,1330.45,1359.68,1256.98,,-0.60
02/01/2008,1330.63,1378.60,1396.02,1316.75,,-3.48
01/01/2008,1378.55,1467.97,1471.77,1270.05,,-6.12
12/01/2007,1468.36,1479.63,1523.57,1435.65,,-0.86
11/01/2007,1481.14,1545.79,1545.79,1406.10,,-4.40
10/01/2007,1549.38,1527.29,1576.09,1489.56,,1.48
09/01/2007,1526.75,1473.96,1538.74,1439.29,,3.58
08/01/2007,1473.99,1455.18,1503.89,1370.60,,1.29
07/01/2007,1455.27,1504.66,1555.90,1454.25,,-3.20
06/01/2007,1503.35,1530.62,1540.56,1484.18,,-1.78
05/01/2007,1530.62,1482.37,1535.56,1476.70,,3.25
04/01/2007,1482.37,1420.83,1498.02,1416.37,,4.33
