Date,Belgium,Denmark,Germany,Ireland,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,7.5,5.6,9.3,4.9,13.1,8.7,10.2,4.1,5,15.9,10.6,6.5,4.5
2000-02,7.2,4.9,9.3,4.8,12.8,8.7,11.1,4.2,5.4,16.7,11.3,6.5,4.4
2000-03,6.8,4.5,9.3,4.7,12.4,8.7,11.2,4.2,5.3,17,11.2,6.1,4.3
2000-04,6.7,4.3,9.3,4.9,12,8.7,10.7,3.9,4.2,16.8,11,5.9,3.7
2000-05,6.4,4.2,9.3,4.7,11.7,8.7,10,3.8,3.2,16.3,11.9,5.5,3.8
2000-06,6.3,4.1,9.3,4.8,11.6,8.7,10.2,3.7,3,15.9,10.3,5.8,4.1
2000-07,6.8,4.1,9.3,4.6,11.6,8.7,10.5,3.3,3.1,15.6,7.8,5.6,4.2
2000-08,7.3,4.3,9.3,4.4,11.6,8.7,9.5,3.3,3.4,15.4,8.3,5.7,4.1
2000-09,7.1,4.1,9.3,3.9,11.7,8.7,8.8,3.5,3.7,15.3,9.1,5,3.8
2000-10,7,3.9,9.3,3.7,11.7,8.7,9.8,3.5,3.6,15.4,8.9,4.9,3.6
2000-11,6.8,3.9,9.3,3.6,11.6,8.7,9.4,3.4,3.5,15.9,8.7,5.1,3.7
2000-12,6.6,4,9.3,3.8,11.2,8.7,9.2,3.1,3.8,16.7,8.3,4.6,3.7
2001-01,6.3,4.7,9.3,3.9,11,8.7,9,3.4,4.2,17.8,9.9,6.4,4.7
2001-02,6.1,4.6,9.3,4,11,8.7,9.8,3.4,4.5,18.4,9.8,6.1,4.6
2001-03,6.1,4.5,9.3,3.9,10.8,8.7,9.8,3.3,4.6,18.7,9.6,6.1,4.5
2001-04,6.3,4.2,9.3,4,10.4,8.7,9.4,3.1,4.3,18.7,10.3,5.8,4.2
2001-05,6.3,4.1,9.3,4,10.4,8.7,8.8,3,3.5,18.4,11.3,6,4.1
2001-06,6,4.2,9.3,4.3,10.2,8.7,9,3,3.4,18.2,9.3,6.8,4.7
2001-07,6.2,4.4,9.3,4.6,10.2,8.7,9.4,2.7,3.4,18,7.6,5.5,4.7
2001-08,6.4,4.9,9.3,4.6,10.4,8.7,8.5,2.8,3.6,17.9,7.8,5.4,4.9
2001-09,6.8,4.8,9.3,4.3,10.4,8.7,8,3,4,17.9,8.7,5.4,4.7
2001-10,7.5,4.7,9.3,4.1,10.5,8.7,9.1,3.1,3.9,18,8.3,5.6,5
2001-11,7.5,4.6,9.3,4.2,10.7,8.7,8.8,3.1,4,18.5,8.8,5.3,5.3
2001-12,7.6,4.6,9.3,4.2,10.7,8.7,8.5,3,4.4,19.2,8.1,5.5,5.4
2002-01,7.6,5,9.3,4.4,11.3,8.7,8.2,3.4,5.1,20.1,9.9,6.2,6.3
2002-02,7.4,4.6,9.3,4.5,11.8,8.7,8.9,3.6,5.5,20.4,9.4,6.1,6.1
2002-03,7.3,4.4,9.3,4.6,11.5,8.7,9,3.7,5.5,20.5,9.5,6.2,6.1
2002-04,7.1,4.3,9.3,4.7,11.3,8.7,9,3.5,4.7,20.4,10.4,6.1,5.7
2002-05,6.9,4.2,9.3,4.7,11.1,8.7,8.5,3.5,3.7,19.7,11.9,6.1,5.5
2002-06,6.8,4.3,9.3,4.9,11.1,8.7,8.6,3.6,3.5,19.9,9,6.8,6
2002-07,7.5,4.6,9.3,4.7,11.3,8.7,8.9,3.4,3.6,20,7.8,5.7,5.9
2002-08,7.6,5,9.3,4.7,11.5,8.7,8,3.5,4,19.9,8.1,5.5,5.7
2002-09,7.8,4.9,9.3,4.5,11.6,8.7,7.4,3.8,4.3,19.9,8.1,5.7,5.4
2002-10,8,4.7,9.3,4.8,11.6,8.7,8.5,4,4.2,19.7,8.5,5.4,5.3
2002-11,8.1,4.5,9.3,5,11.6,8.7,8.3,4.1,4.1,19.8,8.2,5.7,5.6
2002-12,8.2,4.5,9.3,5.2,11.6,8.7,8.4,3.9,4.4,20.1,8.1,5.9,5.7
2003-01,8.3,5.3,9.3,5,12,8.7,8.5,5.6,5,20.7,9.5,6.8,6.5
2003-02,8.2,5.3,9.3,4.8,12,8.7,9.4,5.8,5.3,20.8,9,6.3,6.4
2003-03,8,5.4,9.3,4.6,11.9,8.6,9.4,5.9,5.6,20.5,9.9,6.7,6.2
2003-04,7.9,5.3,9.3,4.8,11.5,8.5,8.8,5.8,5.3,19.8,10.4,6.5,5.8
2003-05,7.6,5.4,9.3,4.8,11.2,8.3,8.1,5.7,4.3,19.3,11.4,6.6,5.8
2003-06,7.6,5.5,9.3,5.2,11.2,8,8.3,6,4.2,19.3,9.6,7.6,6.5
2003-07,8.3,5.4,9.3,5.4,11.2,7.7,8.6,5.6,4.1,19.5,7.9,6.1,6.3
2003-08,8.4,5.6,9.3,5.3,11.3,7.9,7.9,5.8,4.4,19.5,7.7,6.4,6
2003-09,8.4,5.5,9.3,4.8,11.4,8.2,7.4,6.1,4.6,19.3,8,6.1,5.8
2003-10,8.4,5.4,9.3,4.5,11.4,8.9,8.6,6.2,4.6,19.1,8.3,6.3,5.6
2003-11,8.4,5.3,9.3,4.4,11.4,9.2,8.3,6.3,4.6,19.3,8.2,6.7,5.6
2003-12,8.6,5.5,9.3,4.6,11.4,9.4,7.9,6.1,5.1,19.9,8.2,6.7,5.4
2004-01,8.9,6.4,9.3,5,11.6,9.5,8.8,6.9,6.6,20.9,9.5,7.4,6.3
2004-02,8.8,6.1,9.3,5.2,11.5,9.4,8.5,6.9,6.7,21,9,7.8,6
2004-03,8.3,5.8,9.3,5.1,11.4,9.1,8.9,7.1,6.9,20.7,9.5,7.8,6
2004-04,7.5,5.4,9.3,4.9,11.3,8.8,8.2,7,6.2,19.8,10.6,7.4,5.4
2004-05,7.2,5,9.3,4.7,11,8.5,8,6.8,5.3,19.1,11.6,7.9,5.3
2004-06,7.4,5.2,9.3,4.8,10.9,8.2,7.5,6.9,5.3,18.8,8.9,8.7,5.8
2004-07,8.8,5.5,9.3,4.8,10.7,8.1,7,6.3,5.2,18.6,7.8,6.8,5.7
2004-08,9.3,5.9,9.3,4.7,10.8,8.5,6.8,6.5,5.4,18.3,8,6.8,5.4
2004-09,9.3,5.6,9.3,4.4,10.7,8.7,8.1,6.6,5.8,18.1,7.2,7.3,5.1
2004-10,8.7,5.2,9.3,4.4,10.7,9.2,8.3,6.8,5.9,18,8,6.5,5.1
2004-11,8.2,4.9,9.3,4.4,10.6,9.5,8.6,6.8,5.6,18,8.1,6.9,5.2
2004-12,8.3,5,9.3,4.5,10.3,9.3,7.9,6.7,5.8,18.4,7.7,7.2,5.1
2005-01,8.5,5.9,9.3,4.3,10.4,9.2,8.1,7.3,6.2,18.9,9.8,7.3,5.7
2005-02,8.6,5.7,9.3,4.3,10.2,9,8.6,7.5,6.6,19.2,9.2,8,5.8
2005-03,8.5,5.6,9.3,4.5,10,8.8,8.3,7.6,6.9,19.1,8.5,7.7,5.4
2005-04,8.2,5.1,9.3,4.8,9.8,8.7,7.8,7.2,5.9,18.6,10,8.1,4.9
2005-05,8.1,4.7,9.3,5,9.3,8.6,7.4,7.1,5.9,18.1,10.2,8.4,4.9
2005-06,7.9,4.6,9.3,5.3,8.9,8.3,7.5,7,5.8,17.9,8.7,9.7,5.2
2005-07,8.6,4.8,9.3,5.2,8.5,8.2,6.6,6.5,6,17.7,7.3,7.8,5.2
2005-08,8.7,4.9,9.3,5,8.4,8.7,6.4,6.6,5.5,17.5,7.2,7.4,4.9
2005-09,8.7,4.6,9.3,4.4,8.3,8.8,8.2,6.8,5.7,17.4,7.1,7.1,4.8
2005-10,8.5,4.2,9.3,4.2,8.6,9.3,8.6,6.8,6.1,17,7.2,7.6,4.6
2005-11,8.4,4,9.3,4.2,8.8,9.5,8.2,6.7,6.1,16.9,8,6.7,4.8
2005-12,8.5,4,9.3,4.4,8.8,9.5,7.7,6.4,5.7,16.8,7.6,7.6,4.6
2006-01,8.7,4.6,9.3,4.6,9,9.7,7.8,6.8,6.8,16.7,8.7,8.5,5.1
2006-02,8.7,4.5,9.3,4.7,9.1,9.6,8,6.9,7,16.3,8.4,7.6,5.1
2006-03,8.6,4.4,9.3,4.7,9,9.3,7.3,6.7,7,15.7,8.1,8.1,4.8
2006-04,8.5,4.2,9.3,4.8,8.7,9,6.9,6.3,5.8,14.9,8.6,8.3,4.5
2006-05,8.3,3.9,9.3,4.8,8.4,8.7,6.9,6.2,4.9,14.1,10.1,7.6,4.4
2006-06,8,3.7,9.3,5.2,8.2,8.4,6.1,5.9,5.7,13.6,8.1,8.7,4.8
2006-07,8.2,3.7,9.3,5.4,8.1,8.3,5.7,5.6,5.4,13.3,6.6,6.7,5
2006-08,8.1,3.8,9.3,5.4,8.1,8.7,5.9,5.6,4.7,13.2,6.9,6.5,4.6
2006-09,8.1,3.6,9.3,4.7,8.1,8.5,7,5.8,4.9,12.9,6.8,6.3,4.4
2006-10,8,3.4,9.3,4.4,8.2,8.7,7.5,5.9,5.1,12.5,7.2,6.2,4.1
2006-11,7.9,3.4,9.3,4.3,8.3,8.7,7.1,5.9,5.1,12.3,6.7,6.1,4.3
2006-12,7.9,3.7,9.3,4.5,8.3,8.6,6.2,5.4,5.3,12.1,6.4,6.3,4.3
2007-01,8,4.2,9.3,4.7,8.5,9,6.9,6,5.7,11.9,7.6,7.1,5
2007-02,8,4.3,9.6,4.9,8.4,8.9,6.6,6.2,6.3,11.4,7.5,6.6,4.9
