Date,Belgium,Denmark,Germany,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,101.9007,99.62427,100.309,101.844,102.8263,102.2856,101.1353,101.3624,99.59469,102.1154,100.6497,100.7997
2000-02,102.0789,99.96683,100.4745,102.0418,103.0722,102.4286,101.1876,101.7375,99.60316,102.3986,100.8086,100.6021
2000-03,102.2673,100.31,100.6211,102.268,103.3734,102.5461,101.2673,102.068,99.74757,102.4251,101.0151,100.4066
2000-04,102.3511,100.6105,100.7223,102.3859,103.6245,102.6167,101.3273,102.2489,99.9705,102.4347,101.1278,100.2144
2000-05,102.3445,101.0015,100.799,102.4848,103.8265,102.6591,101.3891,102.3696,100.1504,102.6128,101.1876,99.98035
2000-06,102.1756,101.2446,100.8423,102.5453,103.9595,102.6313,101.4517,102.3453,100.2225,102.7907,101.3188,99.76024
2000-07,101.8617,101.3469,100.9011,102.4789,103.9594,102.5685,101.5072,102.3098,100.2935,102.9396,101.5146,99.60818
2000-08,101.6783,101.4944,100.9563,102.461,103.9049,102.4462,101.4775,102.297,100.3731,103.0539,101.5899,99.39317
2000-09,101.6107,101.6139,100.9679,102.3277,103.8042,102.3624,101.4514,102.3623,100.2049,102.8951,101.5085,99.19779
2000-10,101.4057,101.473,100.9609,102.1257,103.6137,102.2843,101.4527,102.3389,99.89868,102.6873,101.4211,98.95007
2000-11,101.1831,101.2502,100.8959,102.0879,103.2498,102.2071,101.3898,102.2684,99.60745,102.4054,101.1385,98.57404
2000-12,101.0787,101.0393,100.7702,102.1055,102.7439,102.0512,101.2537,102.0652,99.26913,101.9978,100.5023,98.01313
2001-01,100.8474,100.8774,100.5773,101.9827,102.3748,101.7097,101.0735,101.7578,98.89761,101.2563,99.66721,97.56133
2001-02,100.437,100.7973,100.2795,101.6562,102.1069,101.3093,100.8531,101.4353,98.57738,100.0705,98.96015,97.3924
2001-03,99.86272,100.5998,99.93099,101.2978,101.7455,101.0101,100.6282,100.8707,98.34392,99.10834,98.44468,97.45092
2001-04,99.29935,100.0402,99.58727,101.0099,101.3651,100.8939,100.4253,100.1512,98.13561,98.75631,98.04874,97.55391
2001-05,98.96155,99.60928,99.33714,100.8685,101.1193,100.887,100.3027,99.62661,97.92901,98.7674,97.7554,97.66879
2001-06,98.78612,99.39551,99.15297,100.7371,100.9085,100.8316,100.2306,99.29455,97.75067,98.65913,97.6315,97.92251
2001-07,98.54481,99.35674,99.02343,100.5661,100.5379,100.6729,100.1365,99.03375,97.58911,98.43578,97.69732,98.21752
2001-08,98.28223,99.25115,98.78529,100.3273,99.96265,100.3191,100.0238,98.74805,97.49948,98.26885,97.83865,98.42665
2001-09,98.01344,98.94125,98.46439,100.1057,99.32134,99.76991,99.83551,98.18226,97.44592,98.17045,97.91045,98.2775
2001-10,97.83657,98.51711,98.23192,99.94366,98.79877,99.48521,99.59717,97.92655,97.4157,98.28241,97.86383,97.95079
2001-11,97.95782,98.28796,98.19685,99.94421,98.51995,99.59464,99.48266,98.06573,97.37463,98.53165,97.85787,98.09495
