Date,Data
2000-01-01,101.3624
2000-02-01,101.7375
2000-03-01,102.068
2000-04-01,102.2489
2000-05-01,102.3696
2000-06-01,102.3453
2000-07-01,102.3098
2000-08-01,102.297
2000-09-01,102.3623
2000-10-01,102.3389
2000-11-01,102.2684
2000-12-01,102.0652
2001-01-01,101.7578
2001-02-01,101.4353
2001-03-01,100.8707
2001-04-01,100.1512
2001-05-01,99.62661
2001-06-01,99.29455
2001-07-01,99.03375
2001-08-01,98.74805
2001-09-01,98.18226
2001-10-01,97.92655
2001-11-01,98.06573
2001-12-01,98.1441
2002-01-01,98.1898
2002-02-01,98.27711
2002-03-01,98.3439
2002-04-01,98.49785
2002-05-01,98.5732
2002-06-01,98.59286
2002-07-01,98.60746
2002-08-01,98.52173
2002-09-01,98.49053
2002-10-01,98.61105
2002-11-01,98.7315
2002-12-01,99.03226
2003-01-01,99.25511
2003-02-01,99.22388
2003-03-01,99.03221
2003-04-01,98.8011
2003-05-01,98.59667
2003-06-01,98.78116
2003-07-01,99.07081
2003-08-01,99.49787
2003-09-01,99.86429
2003-10-01,100.0333
2003-11-01,100.1279
2003-12-01,100.1046
2004-01-01,100.0531
2004-02-01,100.1336
2004-03-01,100.3206
2004-04-01,100.5787
2004-05-01,100.9668
2004-06-01,101.1058
2004-07-01,100.9889
2004-08-01,100.8763
2004-09-01,100.8991
2004-10-01,100.8809
2004-11-01,100.7769
2004-12-01,100.5556
2005-01-01,100.2679
2005-02-01,100.0465
2005-03-01,99.88013
2005-04-01,99.7323
2005-05-01,99.60481
2005-06-01,99.48042
2005-07-01,99.43315
2005-08-01,99.61578
2005-09-01,99.96488
2005-10-01,100.138
2005-11-01,100.2597
2005-12-01,100.3548
2006-01-01,100.7401
2006-02-01,101.0738
2006-03-01,101.339
2006-04-01,101.6124
2006-05-01,101.7484
2006-06-01,101.8411
2006-07-01,102.1224
2006-08-01,102.3392
2006-09-01,102.4302
2006-10-01,102.497
2006-11-01,102.6453
2006-12-01,102.712
2007-01-01,102.6823
2007-02-01,102.7593
2007-03-01,102.6241
2007-04-01,102.4537
2007-05-01,102.4405
2007-06-01,102.3292
2007-07-01,102.1488
2007-08-01,102.0846
2007-09-01,102.0422
2007-10-01,101.9512
2007-11-01,101.7911
2007-12-01,101.4592
2008-01-01,101.1364
