Date,Data
2000-01-01,102.8263
2000-02-01,103.0722
2000-03-01,103.3734
2000-04-01,103.6245
2000-05-01,103.8265
2000-06-01,103.9595
2000-07-01,103.9594
2000-08-01,103.9049
2000-09-01,103.8042
2000-10-01,103.6137
2000-11-01,103.2498
2000-12-01,102.7439
2001-01-01,102.3748
2001-02-01,102.1069
2001-03-01,101.7455
2001-04-01,101.3651
2001-05-01,101.1193
2001-06-01,100.9085
2001-07-01,100.5379
2001-08-01,99.96265
2001-09-01,99.32134
2001-10-01,98.79877
2001-11-01,98.51995
2001-12-01,98.75233
2002-01-01,99.24136
2002-02-01,99.70777
2002-03-01,100.0883
2002-04-01,100.3894
2002-05-01,100.6453
2002-06-01,100.581
2002-07-01,100.3172
2002-08-01,100.1327
2002-09-01,100.0156
2002-10-01,99.93713
2002-11-01,99.98655
2002-12-01,100.1471
2003-01-01,100.104
2003-02-01,99.83162
2003-03-01,99.52985
2003-04-01,99.39787
2003-05-01,99.33102
2003-06-01,99.28403
2003-07-01,99.37355
2003-08-01,99.42678
2003-09-01,99.53262
2003-10-01,99.82834
2003-11-01,100.1623
2003-12-01,100.261
2004-01-01,100.2671
2004-02-01,100.2673
2004-03-01,100.3925
2004-04-01,100.5689
2004-05-01,100.8021
2004-06-01,100.8936
2004-07-01,100.8484
2004-08-01,100.7838
2004-09-01,100.7429
2004-10-01,100.7416
2004-11-01,100.7203
2004-12-01,100.6879
2005-01-01,100.4581
2005-02-01,100.1087
2005-03-01,99.71358
2005-04-01,99.47829
2005-05-01,99.45884
2005-06-01,99.63692
2005-07-01,99.81469
2005-08-01,99.86386
2005-09-01,99.90387
2005-10-01,100.0747
2005-11-01,100.2122
2005-12-01,100.4603
2006-01-01,100.6705
2006-02-01,100.8663
2006-03-01,101.0323
2006-04-01,101.2214
2006-05-01,101.3529
2006-06-01,101.3797
2006-07-01,101.4055
2006-08-01,101.4272
2006-09-01,101.4508
2006-10-01,101.5238
2006-11-01,101.64
2006-12-01,101.702
2007-01-01,101.7612
2007-02-01,101.8136
2007-03-01,101.7933
2007-04-01,101.7701
2007-05-01,101.7736
2007-06-01,101.8518
2007-07-01,101.8725
2007-08-01,101.8179
2007-09-01,101.8183
2007-10-01,102.01
2007-11-01,102.1978
2007-12-01,102.2137
2008-01-01,102.1218
2008-02-01,101.8993
2008-03-01,101.5997
2008-04-01,101.1838
2008-05-01,100.7124
2008-06-01,100.2817
2008-07-01,99.81844
2008-08-01,99.29718
2008-09-01,98.50925
2008-10-01,97.44168
2008-11-01,96.24654
2008-12-01,95.2762
2009-01-01,94.9081
2009-02-01,94.78876
2009-03-01,94.91383
2009-04-01,95.40919
2009-05-01,96.01441
2009-06-01,96.53064
2009-07-01,96.92722
2009-08-01,97.35941
2009-09-01,97.84303
2009-10-01,98.21369
2009-11-01,98.47978
2009-12-01,98.64748
2010-01-01,98.70387
2010-02-01,98.76954
2010-03-01,99.07784
2010-04-01,99.33966
2010-05-01,99.37843
2010-06-01,99.41995
