Date,Data
2000-01-01,100.309
2000-02-01,100.4745
2000-03-01,100.6211
2000-04-01,100.7223
2000-05-01,100.799
2000-06-01,100.8423
2000-07-01,100.9011
2000-08-01,100.9563
2000-09-01,100.9679
2000-10-01,100.9609
2000-11-01,100.8959
2000-12-01,100.7702
2001-01-01,100.5773
2001-02-01,100.2795
2001-03-01,99.93099
2001-04-01,99.58727
2001-05-01,99.33714
2001-06-01,99.15297
2001-07-01,99.02343
2001-08-01,98.78529
2001-09-01,98.46439
2001-10-01,98.23192
2001-11-01,98.19685
2001-12-01,98.3095
2002-01-01,98.42018
2002-02-01,98.61273
2002-03-01,98.82381
2002-04-01,98.9791
2002-05-01,99.0759
2002-06-01,99.08654
2002-07-01,99.03771
2002-08-01,98.96464
2002-09-01,98.92464
2002-10-01,98.9293
2002-11-01,98.92569
2002-12-01,98.874
2003-01-01,98.8333
2003-02-01,98.82531
2003-03-01,98.76948
2003-04-01,98.70228
2003-05-01,98.6452
2003-06-01,98.63668
2003-07-01,98.70698
2003-08-01,98.91018
2003-09-01,99.14822
2003-10-01,99.35522
2003-11-01,99.50609
2003-12-01,99.58568
2004-01-01,99.67281
2004-02-01,99.74319
2004-03-01,99.80554
2004-04-01,99.88981
2004-05-01,99.9379
2004-06-01,99.97781
2004-07-01,100.0637
2004-08-01,100.1421
2004-09-01,100.1892
2004-10-01,100.2028
2004-11-01,100.1908
2004-12-01,100.1686
2005-01-01,100.0896
2005-02-01,99.92596
2005-03-01,99.73545
2005-04-01,99.6142
2005-05-01,99.56984
2005-06-01,99.60765
2005-07-01,99.73959
2005-08-01,99.89958
2005-09-01,100.0699
2005-10-01,100.2152
2005-11-01,100.3117
2005-12-01,100.4486
2006-01-01,100.6379
2006-02-01,100.8297
2006-03-01,101.0168
2006-04-01,101.2073
2006-05-01,101.3314
2006-06-01,101.4267
2006-07-01,101.5144
2006-08-01,101.6325
2006-09-01,101.8192
2006-10-01,102.0064
2006-11-01,102.1261
2006-12-01,102.1355
2007-01-01,102.0608
2007-02-01,101.9532
2007-03-01,101.8928
2007-04-01,101.8847
2007-05-01,101.9083
2007-06-01,101.9246
2007-07-01,101.8884
2007-08-01,101.8257
2007-09-01,101.7526
2007-10-01,101.6911
2007-11-01,101.6479
2007-12-01,101.5939
2008-01-01,101.5194
2008-02-01,101.4641
2008-03-01,101.3921
2008-04-01,101.2594
2008-05-01,101.0852
2008-06-01,100.815
2008-07-01,100.4829
2008-08-01,100.0586
2008-09-01,99.47503
2008-10-01,98.6172
2008-11-01,97.61276
2008-12-01,96.78535
2009-01-01,96.29666
2009-02-01,96.02265
2009-03-01,95.97174
2009-04-01,96.12428
2009-05-01,96.40122
2009-06-01,96.78178
2009-07-01,97.23781
2009-08-01,97.71732
2009-09-01,98.09956
2009-10-01,98.40833
2009-11-01,98.61771
2009-12-01,98.82477
2010-01-01,99.08717
2010-02-01,99.41579
2010-03-01,99.81761
2010-04-01,100.2608
2010-05-01,100.6603
2010-06-01,101.0102
2010-07-01,101.3015
2010-08-01,101.5007
2010-09-01,101.6344
2010-10-01,101.7313
2010-11-01,101.8057
2010-12-01,101.8778
2011-01-01,101.9353
2011-02-01,102.0248
