Date,Data
2000-01-01,102.2856
2000-02-01,102.4286
2000-03-01,102.5461
2000-04-01,102.6167
2000-05-01,102.6591
2000-06-01,102.6313
2000-07-01,102.5685
2000-08-01,102.4462
2000-09-01,102.3624
2000-10-01,102.2843
2000-11-01,102.2071
2000-12-01,102.0512
2001-01-01,101.7097
2001-02-01,101.3093
2001-03-01,101.0101
2001-04-01,100.8939
2001-05-01,100.887
2001-06-01,100.8316
2001-07-01,100.6729
2001-08-01,100.3191
2001-09-01,99.76991
2001-10-01,99.48521
2001-11-01,99.59464
2001-12-01,99.92618
2002-01-01,100.2581
2002-02-01,100.6498
2002-03-01,100.8993
2002-04-01,100.9642
2002-05-01,100.9383
2002-06-01,100.806
2002-07-01,100.6636
2002-08-01,100.5814
2002-09-01,100.7148
2002-10-01,100.7403
2002-11-01,100.7299
2002-12-01,100.72
2003-01-01,100.7659
2003-02-01,100.7568
2003-03-01,100.6407
2003-04-01,100.4331
2003-05-01,100.2135
2003-06-01,100.061
2003-07-01,100.0035
2003-08-01,100.1553
2003-09-01,100.3376
2003-10-01,100.4686
2003-11-01,100.4871
2003-12-01,100.3717
2004-01-01,100.3029
2004-02-01,100.342
2004-03-01,100.4702
2004-04-01,100.6238
2004-05-01,100.7026
2004-06-01,100.7316
2004-07-01,100.7224
2004-08-01,100.7194
2004-09-01,100.6886
2004-10-01,100.6709
2004-11-01,100.5875
2004-12-01,100.4528
2005-01-01,100.3227
2005-02-01,100.1735
2005-03-01,99.97123
2005-04-01,99.77605
2005-05-01,99.70361
2005-06-01,99.78899
2005-07-01,100.0591
2005-08-01,100.3872
2005-09-01,100.6441
2005-10-01,100.807
2005-11-01,100.9281
2005-12-01,101.0622
2006-01-01,101.2361
2006-02-01,101.4044
2006-03-01,101.562
2006-04-01,101.6961
2006-05-01,101.7792
2006-06-01,101.8158
2006-07-01,101.744
2006-08-01,101.7001
2006-09-01,101.7142
2006-10-01,101.7236
2006-11-01,101.6947
2006-12-01,101.6734
2007-01-01,101.6784
2007-02-01,101.7834
2007-03-01,101.9155
2007-04-01,101.9617
2007-05-01,101.8322
2007-06-01,101.6251
2007-07-01,101.4393
2007-08-01,101.3114
2007-09-01,101.22
2007-10-01,101.1842
2007-11-01,101.1735
2007-12-01,101.1597
2008-01-01,101.0965
2008-02-01,100.9791
2008-03-01,100.8019
2008-04-01,100.6004
2008-05-01,100.4481
2008-06-01,100.2511
2008-07-01,100.0209
2008-08-01,99.77071
2008-09-01,99.36874
2008-10-01,98.6833
2008-11-01,97.80405
2008-12-01,97.04998
2009-01-01,96.58392
2009-02-01,96.35369
2009-03-01,96.37745
2009-04-01,96.71804
2009-05-01,97.14302
2009-06-01,97.49168
2009-07-01,97.82219
2009-08-01,98.15325
2009-09-01,98.43469
2009-10-01,98.6681
2009-11-01,98.86623
2009-12-01,99.10568
2010-01-01,99.37389
2010-02-01,99.60072
2010-03-01,99.78165
2010-04-01,99.97684
2010-05-01,100.1903
2010-06-01,100.3406
2010-07-01,100.4533
2010-08-01,100.5265
2010-09-01,100.5831
2010-10-01,100.6581
2010-11-01,100.757
2010-12-01,100.9014
2011-01-01,100.9847
2011-02-01,100.959
2011-03-01,100.9324
2011-04-01,100.9088
2011-05-01,100.8145
2011-06-01,100.5969
2011-07-01,100.3187
2011-08-01,100.0298
2011-09-01,99.71362
2011-10-01,99.51633
2011-11-01,99.37009
2011-12-01,99.23568
2012-01-01,99.17345
2012-02-01,99.10129
2012-03-01,98.99242
2012-04-01,98.82709
