Date,Data
2000-01-01,101.1353
2000-02-01,101.1876
2000-03-01,101.2673
2000-04-01,101.3273
2000-05-01,101.3891
2000-06-01,101.4517
2000-07-01,101.5072
2000-08-01,101.4775
2000-09-01,101.4514
2000-10-01,101.4527
2000-11-01,101.3898
2000-12-01,101.2537
2001-01-01,101.0735
2001-02-01,100.8531
2001-03-01,100.6282
2001-04-01,100.4253
2001-05-01,100.3027
2001-06-01,100.2306
2001-07-01,100.1365
2001-08-01,100.0238
2001-09-01,99.83551
2001-10-01,99.59717
2001-11-01,99.48266
2001-12-01,99.51463
2002-01-01,99.67904
2002-02-01,99.87779
2002-03-01,99.94876
2002-04-01,99.94324
2002-05-01,99.91682
2002-06-01,99.90403
2002-07-01,99.91417
2002-08-01,99.95938
2002-09-01,99.89088
2002-10-01,99.78398
2002-11-01,99.73
2002-12-01,99.6666
2003-01-01,99.53932
2003-02-01,99.36504
2003-03-01,99.20548
2003-04-01,99.09582
2003-05-01,99.03508
2003-06-01,99.01911
2003-07-01,99.0705
2003-08-01,99.16239
2003-09-01,99.32076
2003-10-01,99.51711
2003-11-01,99.75599
2003-12-01,100.0015
2004-01-01,100.1228
2004-02-01,100.1558
2004-03-01,100.2121
2004-04-01,100.293
2004-05-01,100.4169
2004-06-01,100.5237
2004-07-01,100.5503
2004-08-01,100.5079
2004-09-01,100.4408
2004-10-01,100.3449
2004-11-01,100.297
2004-12-01,100.2741
2005-01-01,100.2316
2005-02-01,100.1573
2005-03-01,100.0831
2005-04-01,100.0208
2005-05-01,99.99042
2005-06-01,99.94403
2005-07-01,99.99615
2005-08-01,100.178
2005-09-01,100.4008
2005-10-01,100.5966
2005-11-01,100.7415
2005-12-01,100.8899
2006-01-01,101.0301
2006-02-01,101.0889
2006-03-01,101.1455
2006-04-01,101.2032
2006-05-01,101.2558
2006-06-01,101.3989
2006-07-01,101.5469
2006-08-01,101.6585
2006-09-01,101.7274
2006-10-01,101.7316
2006-11-01,101.7032
2006-12-01,101.6934
2007-01-01,101.6624
2007-02-01,101.643
2007-03-01,101.5719
2007-04-01,101.4782
2007-05-01,101.4312
2007-06-01,101.4041
2007-07-01,101.4127
2007-08-01,101.405
2007-09-01,101.4052
2007-10-01,101.4915
2007-11-01,101.565
2007-12-01,101.5862
2008-01-01,101.5632
2008-02-01,101.4378
2008-03-01,101.2318
2008-04-01,101.0491
2008-05-01,100.9748
2008-06-01,100.9814
2008-07-01,100.9259
2008-08-01,100.6818
2008-09-01,100.1481
2008-10-01,99.35582
2008-11-01,98.46313
2008-12-01,97.59558
2009-01-01,97.06261
2009-02-01,96.76545
2009-03-01,96.73009
2009-04-01,96.86678
2009-05-01,97.11277
2009-06-01,97.41872
2009-07-01,97.79453
2009-08-01,98.20312
2009-09-01,98.50735
2009-10-01,98.75277
2009-11-01,99.01701
2009-12-01,99.19516
2010-01-01,99.30394
2010-02-01,99.42651
2010-03-01,99.58831
2010-04-01,99.77279
2010-05-01,99.94394
2010-06-01,100.0309
2010-07-01,100.0639
2010-08-01,100.1031
2010-09-01,100.1589
2010-10-01,100.2457
2010-11-01,100.3404
2010-12-01,100.481
2011-01-01,100.6408
2011-02-01,100.7717
2011-03-01,100.9063
2011-04-01,100.8732
2011-05-01,100.6383
2011-06-01,100.3231
2011-07-01,100.0241
2011-08-01,99.85204
2011-09-01,99.78516
2011-10-01,99.7335
2011-11-01,99.74429
2011-12-01,99.80765
2012-01-01,99.83051
2012-02-01,99.81905
2012-03-01,99.74825
2012-04-01,99.61949
2012-05-01,99.50063
2012-06-01,99.45499
2012-07-01,99.47588
2012-08-01,99.51683
2012-09-01,99.44002
2012-10-01,99.32867
2012-11-01,99.27195
2012-12-01,99.27657
2013-01-01,99.35427
2013-02-01,99.47106
2013-03-01,99.48492
2013-04-01,99.45918
2013-05-01,99.49507
2013-06-01,99.58838
2013-07-01,99.77798
2013-08-01,100.0218
2013-09-01,100.1608
2013-10-01,100.2438
2013-11-01,100.2346
2013-12-01,100.2056
2014-01-01,100.2243
2014-02-01,100.2743
2014-03-01,100.3294
2014-04-01,100.3031
2014-05-01,100.2703
2014-06-01,100.2632
2014-07-01,100.3037
2014-08-01,100.3804
2014-09-01,100.4842
2014-10-01,100.6091
2014-11-01,100.6479
2014-12-01,100.6207
2015-01-01,100.5444
2015-02-01,100.521
2015-03-01,100.5832
2015-04-01,100.6876
2015-05-01,100.7751
2015-06-01,100.8199
2015-07-01,100.8349
2015-08-01,100.8723
2015-09-01,100.8861
2015-10-01,100.848
2015-11-01,100.8108
2015-12-01,100.7314
2016-01-01,100.6918
2016-02-01,100.6873
2016-03-01,100.7424
2016-04-01,100.8236
2016-05-01,100.9065
2016-06-01,100.9568
2016-07-01,100.8933
2016-08-01,100.7829
2016-09-01,100.782
2016-10-01,100.8469
2016-11-01,100.9345
2016-12-01,101.0451
2017-01-01,101.1501
2017-02-01,101.2347
2017-03-01,101.3012
2017-04-01,101.3144
2017-05-01,101.2893
2017-06-01,101.2929
2017-07-01,101.2697
2017-08-01,101.2995
2017-09-01,101.4203
2017-10-01,101.5531
2017-11-01,101.6723
2017-12-01,101.7197
2018-01-01,101.7612
2018-02-01,101.771
2018-03-01,101.7123
2018-04-01,101.6205
2018-05-01,101.5537
2018-06-01,101.4238
2018-07-01,101.278
2018-08-01,101.2141
2018-09-01,101.2029
2018-10-01,101.2449
2018-11-01,101.3044
2018-12-01,101.2985
2019-01-01,101.2522
2019-02-01,101.228
2019-03-01,101.203
2019-04-01,101.1391
2019-05-01,100.9928
2019-06-01,100.8403
2019-07-01,100.7938
2019-08-01,100.8001
2019-09-01,100.795
2019-10-01,100.8043
2019-11-01,100.8107
2019-12-01,100.8213
2020-01-01,100.723
2020-02-01,100.2413
2020-03-01,99.06908
2020-04-01,97.48669
2020-05-01,97.02712
2020-06-01,97.60277
2020-07-01,98.4566
2020-08-01,99.10758
2020-09-01,99.43415
2020-10-01,99.59164
2020-11-01,99.79332
2020-12-01,100.0606
2021-01-01,100.2828
2021-02-01,100.5026
2021-03-01,100.8478
2021-04-01,101.2346
2021-05-01,101.5755
2021-06-01,101.8224
2021-07-01,101.9184
2021-08-01,101.919
2021-09-01,101.9884
2021-10-01,102.0609
2021-11-01,102.0329
2021-12-01,101.8747
2022-01-01,101.7196
2022-02-01,101.6539
2022-03-01,101.6719
2022-04-01,101.6956
2022-05-01,101.6184
2022-06-01,101.4653
2022-07-01,101.2708
2022-08-01,101.0167
2022-09-01,100.8111
2022-10-01,100.7278
2022-11-01,100.7509
2022-12-01,100.7962
