Date,Data
2000-01-01,101.844
2000-02-01,102.0418
2000-03-01,102.268
2000-04-01,102.3859
2000-05-01,102.4848
2000-06-01,102.5453
2000-07-01,102.4789
2000-08-01,102.461
2000-09-01,102.3277
2000-10-01,102.1257
2000-11-01,102.0879
2000-12-01,102.1055
2001-01-01,101.9827
2001-02-01,101.6562
2001-03-01,101.2978
2001-04-01,101.0099
2001-05-01,100.8685
2001-06-01,100.7371
2001-07-01,100.5661
2001-08-01,100.3273
2001-09-01,100.1057
2001-10-01,99.94366
2001-11-01,99.94421
2001-12-01,100.0781
2002-01-01,100.0649
2002-02-01,100.0872
2002-03-01,100.1925
2002-04-01,100.4678
2002-05-01,100.7966
2002-06-01,100.8994
2002-07-01,100.9115
2002-08-01,100.8078
2002-09-01,100.607
2002-10-01,100.4558
2002-11-01,100.3168
2002-12-01,100.3167
2003-01-01,100.5504
2003-02-01,100.7849
2003-03-01,100.7582
2003-04-01,100.6749
2003-05-01,100.5424
2003-06-01,100.4906
2003-07-01,100.7078
2003-08-01,101.0184
2003-09-01,101.0802
2003-10-01,101.1786
2003-11-01,101.2178
2003-12-01,101.1549
2004-01-01,101.1387
2004-02-01,101.2169
2004-03-01,101.2742
2004-04-01,101.4265
2004-05-01,101.5307
2004-06-01,101.5247
2004-07-01,101.4027
2004-08-01,101.2999
2004-09-01,101.3379
2004-10-01,101.4323
2004-11-01,101.3531
2004-12-01,101.202
2005-01-01,101.0582
2005-02-01,100.8329
2005-03-01,100.7098
2005-04-01,100.6202
2005-05-01,100.5635
2005-06-01,100.6377
2005-07-01,100.8987
2005-08-01,101.1086
2005-09-01,101.2246
2005-10-01,101.2284
2005-11-01,101.1282
2005-12-01,101.0344
2006-01-01,100.8451
2006-02-01,100.9322
2006-03-01,101.1265
2006-04-01,101.3221
2006-05-01,101.5572
2006-06-01,101.6222
2006-07-01,101.5538
2006-08-01,101.531
2006-09-01,101.6474
2006-10-01,101.6973
2006-11-01,101.7889
2006-12-01,102.0189
2007-01-01,102.1237
2007-02-01,102.1771
2007-03-01,102.209
2007-04-01,102.0733
2007-05-01,101.8892
2007-06-01,101.7827
2007-07-01,101.6954
2007-08-01,101.5706
2007-09-01,101.4004
2007-10-01,101.1934
2007-11-01,101.2232
2007-12-01,101.0918
2008-01-01,100.6857
2008-02-01,100.2087
2008-03-01,99.81895
2008-04-01,99.43504
2008-05-01,98.96786
2008-06-01,98.58633
2008-07-01,98.31647
2008-08-01,97.85086
2008-09-01,97.11446
2008-10-01,96.19757
2008-11-01,95.3623
2008-12-01,94.7562
2009-01-01,94.55698
2009-02-01,94.41483
2009-03-01,94.51952
2009-04-01,94.93389
2009-05-01,95.33119
2009-06-01,95.74471
2009-07-01,96.28877
2009-08-01,96.80443
2009-09-01,97.08473
2009-10-01,97.28626
2009-11-01,97.37261
2009-12-01,97.46524
2010-01-01,97.65847
2010-02-01,97.92689
2010-03-01,98.36606
2010-04-01,98.70714
2010-05-01,98.84433
2010-06-01,98.96722
2010-07-01,99.0488
2010-08-01,99.07765
2010-09-01,99.09473
2010-10-01,99.26314
2010-11-01,99.47626
2010-12-01,99.6628
2011-01-01,99.67221
2011-02-01,99.56174
2011-03-01,99.40937
2011-04-01,99.3257
2011-05-01,99.25118
2011-06-01,99.25688
2011-07-01,99.12571
2011-08-01,98.95834
2011-09-01,98.7323
2011-10-01,98.56789
2011-11-01,98.3428
2011-12-01,98.2707
2012-01-01,98.4754
2012-02-01,98.56977
2012-03-01,98.57542
2012-04-01,98.53247
2012-05-01,98.43473
2012-06-01,98.23318
2012-07-01,98.09152
2012-08-01,97.95645
2012-09-01,97.99528
2012-10-01,98.11938
2012-11-01,98.32027
2012-12-01,98.46654
2013-01-01,98.57639
2013-02-01,98.73059
2013-03-01,98.72593
2013-04-01,98.72974
2013-05-01,98.85061
2013-06-01,98.99648
2013-07-01,99.12858
2013-08-01,99.23397
2013-09-01,99.25253
2013-10-01,99.24783
2013-11-01,99.42794
2013-12-01,99.69651
2014-01-01,99.8671
2014-02-01,99.92732
2014-03-01,99.86817
2014-04-01,99.90003
2014-05-01,100.0384
2014-06-01,100.2297
2014-07-01,100.4105
2014-08-01,100.4539
2014-09-01,100.423
2014-10-01,100.429
2014-11-01,100.5036
2014-12-01,100.5742
2015-01-01,100.8028
2015-02-01,101.1213
2015-03-01,101.4957
2015-04-01,101.7856
2015-05-01,101.9414
2015-06-01,101.9318
2015-07-01,101.8444
2015-08-01,101.7964
2015-09-01,101.6472
2015-10-01,101.4612
2015-11-01,101.4393
2015-12-01,101.553
2016-01-01,101.448
2016-02-01,101.3559
2016-03-01,101.3117
2016-04-01,101.2459
2016-05-01,101.1867
2016-06-01,101.2069
2016-07-01,101.1484
2016-08-01,101.0947
2016-09-01,101.2324
2016-10-01,101.4511
2016-11-01,101.5804
2016-12-01,101.6054
2017-01-01,101.7739
2017-02-01,101.9008
2017-03-01,101.7914
2017-04-01,101.6867
2017-05-01,101.6823
2017-06-01,101.7145
2017-07-01,101.6635
2017-08-01,101.7749
2017-09-01,102.0403
2017-10-01,102.3025
2017-11-01,102.5422
2017-12-01,102.5576
2018-01-01,102.4337
2018-02-01,102.2714
2018-03-01,102.1332
2018-04-01,102.0285
2018-05-01,101.7946
2018-06-01,101.5181
2018-07-01,101.2154
2018-08-01,101.0308
2018-09-01,101.1052
2018-10-01,101.2872
2018-11-01,101.3546
2018-12-01,101.1876
2019-01-01,101.0364
2019-02-01,100.9985
2019-03-01,101.0506
2019-04-01,100.9884
2019-05-01,100.9861
2019-06-01,101.0665
2019-07-01,101.1825
2019-08-01,101.215
2019-09-01,100.8974
2019-10-01,100.7093
2019-11-01,100.9122
2019-12-01,101.0867
2020-01-01,100.9157
2020-02-01,100.2669
2020-03-01,98.73176
2020-04-01,96.68933
2020-05-01,96.15044
2020-06-01,97.09921
2020-07-01,98.52519
2020-08-01,99.46688
2020-09-01,99.89386
2020-10-01,100.061
2020-11-01,100.1998
2020-12-01,100.3513
2021-01-01,100.5627
2021-02-01,100.7158
2021-03-01,101.0458
2021-04-01,101.3965
2021-05-01,101.6593
2021-06-01,101.7978
2021-07-01,102.0182
2021-08-01,102.178
2021-09-01,102.3539
2021-10-01,102.5644
2021-11-01,102.7312
2021-12-01,102.9427
2022-01-01,103.0897
2022-02-01,103.0286
2022-03-01,102.553
2022-04-01,102.0268
2022-05-01,101.7747
2022-06-01,101.5037
2022-07-01,101.0488
2022-08-01,100.7619
2022-09-01,100.6648
2022-10-01,100.6375
2022-11-01,100.5746
2022-12-01,100.6686
