Date,Belgium,Denmark,Germany,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,102.3149,99.95573,100.5345,103.8612,102.0538,102.912,102.2722,100.5189,0.0,102.1215,101.8939,102.8362
2000-02,102.2526,100.0261,100.6469,104.005,102.0285,102.8429,102.2611,100.1643,0.0,102.1573,101.9182,102.89
2000-03,102.1278,100.1646,100.7175,104.0675,102.1326,102.6584,102.2642,100.0797,0.0,101.9625,101.9427,102.8077
2000-04,101.9693,100.3782,100.7735,103.9626,102.2844,102.4992,102.2411,100.1184,0.0,101.7301,101.8945,102.7888
2000-05,101.9672,100.5384,100.8524,103.7791,102.3741,102.3496,102.1825,100.1997,0.0,101.6396,101.8074,102.7631
2000-06,102.0658,100.6321,100.7723,103.6577,102.4137,102.3565,102.1335,100.2013,0.0,101.5907,101.7576,102.6626
2000-07,102.1994,100.6416,100.7648,103.5483,102.3655,102.4455,102.0497,100.1719,0.0,101.485,101.7232,102.6285
2000-08,102.3504,100.6729,100.6898,103.3314,102.1296,102.5011,102.0344,100.1047,0.0,101.1991,101.7194,102.5931
2000-09,102.415,100.724,100.4659,103.0129,101.949,102.4638,102.075,99.94975,0.0,100.8431,101.5779,102.5424
2000-10,102.6181,100.815,100.3379,102.8551,102.0692,102.5952,102.145,99.92289,0.0,100.7015,101.404,102.4316
2000-11,102.8051,100.635,100.4085,102.9,102.3144,102.6082,102.0769,100.1421,0.0,100.8595,101.066,102.1749
2000-12,102.765,100.5597,100.5161,102.9843,102.5991,102.6291,101.8682,100.0654,0.0,101.0766,100.6248,101.636
2001-01,102.4927,100.4199,100.607,103.064,102.7102,102.5979,101.5326,99.95117,0.0,101.0888,100.1895,101.1021
2001-02,102.0723,100.2021,100.6082,103.0455,102.5442,102.541,101.1784,99.9127,0.0,100.7753,99.82027,100.7119
2001-03,101.8132,99.86533,100.567,102.9326,102.2155,102.5754,100.8955,99.9467,0.0,100.3382,99.53808,100.5434
2001-04,101.6566,99.70031,100.3999,102.6748,101.8106,102.7523,100.7048,99.91956,0.0,100.0788,99.32587,100.5097
2001-05,101.5906,100.0207,100.0882,102.5079,101.3598,103.1031,100.5807,99.9314,97.61295,99.99015,99.29709,100.6351
2001-06,101.5725,100.4809,99.72903,102.3866,101.0775,103.4352,100.396,99.87597,97.61687,99.74816,99.34104,100.7158
2001-07,101.4976,100.9257,99.48217,102.3227,100.8795,103.5685,100.3057,99.70573,97.40599,99.37558,99.20837,100.628
2001-08,101.1977,100.8291,99.33341,102.3634,100.665,103.4304,100.2527,99.53915,97.10844,99.10036,99.03398,100.3202
2001-09,100.7305,100.7054,99.28369,102.3718,100.5422,103.0827,100.2459,99.46759,97.13577,98.99905,98.87455,99.87672
2001-10,100.2897,100.6525,99.20956,102.3837,100.6586,102.7261,100.268,99.53146,97.6067,99.08003,98.99617,99.71683
2001-11,100.3206,100.7785,99.04746,102.2581,100.9118,102.4874,100.4854,99.68799,97.7997,99.34659,99.35354,99.86764
2001-12,100.8109,100.9917,98.88705,102.0918,101.1349,102.6161,100.8645,99.83385,97.63763,99.86932,99.89351,100.2326
2002-01,101.3766,101.0567,98.74891,101.9185,101.2554,102.8158,101.2142,99.94284,97.57797,100.4429,100.5946,100.5855
2002-02,101.7076,100.9863,98.66804,101.8182,101.292,102.8629,101.2412,99.93737,97.54746,100.8692,101.2388,100.7969
2002-03,101.8211,100.8953,98.63983,101.6927,101.2885,102.6998,101.0681,99.89089,97.52185,101.1514,101.5609,100.9881
2002-04,101.7896,100.8093,98.58561,101.5929,101.3049,102.3886,100.7436,99.86036,97.53558,101.2596,101.5114,101.042
2002-05,101.6461,100.6747,98.5538,101.4753,101.4483,102.1138,100.4155,99.79426,97.64503,101.2324,101.4166,101.0154
2002-06,101.3966,100.5457,98.56276,101.2442,101.4173,101.906,100.0908,99.64966,97.70668,100.9915,101.4322,100.7594
2002-07,101.2026,100.4765,98.61335,101.0407,101.2097,101.7573,99.81953,99.45831,97.95428,100.6767,101.4684,100.4168
2002-08,101.0064,100.4693,98.54541,100.9897,100.9614,101.5617,99.59984,99.33281,98.18819,100.3874,101.3161,100.1344
2002-09,100.881,100.6035,98.3332,101.1193,100.8242,101.344,99.46103,99.3811,98.38078,100.3052,101.064,99.88737
2002-10,100.8562,100.6598,97.82652,101.0426,100.885,101.1887,99.43746,99.43385,98.31767,100.2549,100.7974,99.70087
2002-11,100.829,100.6319,97.19359,100.7374,100.9457,101.0038,99.40358,99.48081,98.02933,100.2464,100.5953,99.71623
2002-12,100.6279,100.5888,96.85115,100.1967,100.8471,100.7297,99.21314,99.44498,97.8541,100.2569,100.3151,99.71365
2003-01,100.2932,100.441,96.82877,99.9329,100.4629,100.5772,98.86337,99.27406,97.8528,100.2007,100.0497,99.53126
2003-02,100.0052,100.1449,96.89993,99.92621,99.96333,100.5012,98.62745,99.06284,97.85913,100.0725,99.81252,99.36949
2003-03,99.95124,99.95116,97.08482,100.0875,99.59484,100.3799,98.56534,98.80876,97.85546,100.0414,99.54784,99.45448
2003-04,100.2621,100.0558,97.34863,100.4355,99.52112,100.3575,98.62947,98.64049,98.00808,100.0426,99.50959,99.89809
2003-05,100.5787,100.3699,97.64725,100.7935,99.5598,100.4321,98.72685,98.53545,98.33802,100.0767,99.73234,100.3355
2003-06,100.6581,100.5967,97.97103,101.0386,99.61327,100.5578,98.71283,98.57471,98.54763,100.1315,100.1546,100.495
2003-07,100.6219,100.6034,98.19988,101.1127,99.62989,100.5437,98.71317,98.68453,98.54357,100.3021,100.5662,100.4974
2003-08,100.6625,100.6783,98.20238,101.1478,99.57809,100.4883,98.87776,98.78752,98.35211,100.4667,100.8663,100.406
2003-09,100.8455,100.7777,98.16429,101.107,99.53945,100.5005,99.0475,98.95235,98.10229,100.6156,100.9352,100.3698
2003-10,101.0104,100.8952,98.18248,100.9772,99.62334,100.5144,99.15388,99.04855,97.73895,100.6861,100.646,100.5213
2003-11,101.2702,100.9618,98.22607,100.9805,99.81326,100.4372,99.28074,99.08345,97.54295,100.7591,100.3063,100.8201
2003-12,101.4564,101.0514,98.15672,100.9926,100.1027,100.2958,99.39871,99.14066,97.66243,100.9118,100.2385,101.13
2004-01,101.6006,101.173,98.10789,100.9951,100.3874,100.1535,99.46985,99.1721,97.68459,101.03,100.4675,101.4157
2004-02,101.6502,101.201,98.189,101.0634,100.4235,100.0113,99.66237,99.21767,97.57726,101.0387,100.6183,101.2995
2004-03,101.5778,101.319,98.18823,101.1646,100.2834,99.97714,99.6864,99.30455,97.68757,101.0143,100.4526,101.1279
2004-04,101.5272,101.5472,98.14501,101.2602,100.0733,99.9809,99.64304,99.28059,98.10031,100.9456,100.313,100.9529
2004-05,101.5143,101.5646,98.12008,101.2047,100.0456,100.0488,99.63862,99.1773,98.71484,100.8351,100.2687,100.8728
2004-06,101.4984,101.5294,98.14259,101.02,100.0949,100.2195,99.66899,99.07806,99.12361,100.8059,100.396,101.0138
2004-07,101.3744,101.4969,98.1582,100.8938,100.1981,100.2896,99.78304,99.03106,99.28754,100.8286,100.5969,101.1278
2004-08,101.3017,101.495,98.218,100.7668,100.3094,100.3634,99.77747,98.97552,99.52249,100.8271,100.7828,101.1025
2004-09,101.145,101.5163,98.28983,100.7724,100.395,100.4889,99.64693,98.9444,99.64876,100.7713,100.8157,100.981
2004-10,100.996,101.5603,98.27547,100.9085,100.4311,100.6645,99.44497,98.89497,99.67159,100.7164,100.7475,100.8897
2004-11,100.959,101.6326,98.30392,101.0033,100.374,100.7134,99.28428,98.8957,99.65484,100.7443,100.7301,100.9554
2004-12,101.0275,101.7407,98.45749,101.034,100.3428,100.6949,99.2205,99.05456,99.6982,100.9414,100.8007,101.0942
2005-01,101.1601,101.8423,98.66647,100.9472,100.2652,100.7224,99.34052,99.25866,99.74587,101.1402,100.7852,101.0791
