Date,Data
2000-01-01,102.3149
2000-02-01,102.2526
2000-03-01,102.1278
2000-04-01,101.9693
2000-05-01,101.9672
2000-06-01,102.0658
2000-07-01,102.1994
2000-08-01,102.3504
2000-09-01,102.415
2000-10-01,102.6181
2000-11-01,102.8051
2000-12-01,102.765
2001-01-01,102.4927
2001-02-01,102.0723
2001-03-01,101.8132
2001-04-01,101.6566
2001-05-01,101.5906
2001-06-01,101.5725
2001-07-01,101.4976
2001-08-01,101.1977
2001-09-01,100.7305
2001-10-01,100.2897
2001-11-01,100.3206
2001-12-01,100.8109
2002-01-01,101.3766
2002-02-01,101.7076
2002-03-01,101.8211
2002-04-01,101.7896
2002-05-01,101.6461
2002-06-01,101.3966
2002-07-01,101.2026
2002-08-01,101.0064
2002-09-01,100.881
2002-10-01,100.8562
2002-11-01,100.829
2002-12-01,100.6279
2003-01-01,100.2932
2003-02-01,100.0052
2003-03-01,99.95124
2003-04-01,100.2621
2003-05-01,100.5787
2003-06-01,100.6581
2003-07-01,100.6219
2003-08-01,100.6625
2003-09-01,100.8455
2003-10-01,101.0104
2003-11-01,101.2702
2003-12-01,101.4564
2004-01-01,101.6006
2004-02-01,101.6502
2004-03-01,101.5778
2004-04-01,101.5272
2004-05-01,101.5143
2004-06-01,101.4984
2004-07-01,101.3744
2004-08-01,101.3017
2004-09-01,101.145
2004-10-01,100.996
2004-11-01,100.959
2004-12-01,101.0275
2005-01-01,101.1601
2005-02-01,101.2505
2005-03-01,101.1515
2005-04-01,100.8377
2005-05-01,100.5047
2005-06-01,100.2979
2005-07-01,100.1774
2005-08-01,100.1637
2005-09-01,100.2248
2005-10-01,100.5423
2005-11-01,100.8859
2005-12-01,101.1728
2006-01-01,101.3386
2006-02-01,101.3238
2006-03-01,101.2586
2006-04-01,101.1856
2006-05-01,101.1246
2006-06-01,101.1654
2006-07-01,101.2167
2006-08-01,101.2188
2006-09-01,101.3455
2006-10-01,101.5542
2006-11-01,101.6339
2006-12-01,101.5823
2007-01-01,101.5447
2007-02-01,101.535
2007-03-01,101.5116
2007-04-01,101.5434
2007-05-01,101.5408
2007-06-01,101.4382
2007-07-01,101.2162
2007-08-01,100.9455
2007-09-01,100.7167
2007-10-01,100.4626
2007-11-01,100.1279
2007-12-01,99.98232
2008-01-01,99.88235
2008-02-01,99.8658
2008-03-01,99.76393
2008-04-01,99.49116
2008-05-01,99.12739
2008-06-01,98.82027
2008-07-01,98.75897
2008-08-01,98.95477
2008-09-01,99.12683
2008-10-01,99.07198
2008-11-01,98.98011
2008-12-01,98.92353
2009-01-01,99.04634
2009-02-01,99.07498
2009-03-01,99.17049
2009-04-01,99.37326
2009-05-01,99.62465
2009-06-01,99.91513
2009-07-01,100.15
2009-08-01,100.4437
2009-09-01,100.6318
2009-10-01,100.6791
2009-11-01,100.6475
2009-12-01,100.4539
2010-01-01,100.3109
2010-02-01,100.2384
2010-03-01,100.3036
2010-04-01,100.3428
2010-05-01,100.2278
2010-06-01,100.3138
2010-07-01,100.5601
2010-08-01,100.8343
2010-09-01,100.9776
2010-10-01,101.038
2010-11-01,101.0099
2010-12-01,100.8318
2011-01-01,100.6103
2011-02-01,100.5047
2011-03-01,100.3251
2011-04-01,100.2424
2011-05-01,100.2464
2011-06-01,100.1893
2011-07-01,100.0939
2011-08-01,99.99625
2011-09-01,99.94334
2011-10-01,99.93488
2011-11-01,99.72264
2011-12-01,99.46247
2012-01-01,99.18549
2012-02-01,99.11674
2012-03-01,99.38673
2012-04-01,99.72955
2012-05-01,99.89549
2012-06-01,100.0102
2012-07-01,100.0188
2012-08-01,99.94158
2012-09-01,99.74842
2012-10-01,99.43609
2012-11-01,99.14332
2012-12-01,99.0732
2013-01-01,99.22037
2013-02-01,99.38264
2013-03-01,99.42342
2013-04-01,99.51881
2013-05-01,99.62945
2013-06-01,99.73654
2013-07-01,99.94579
2013-08-01,100.4388
2013-09-01,101.0297
2013-10-01,101.4523
2013-11-01,101.6859
2013-12-01,101.7467
2014-01-01,101.6887
2014-02-01,101.523
2014-03-01,101.2373
2014-04-01,101.0391
2014-05-01,100.998
2014-06-01,101.0297
2014-07-01,100.9757
2014-08-01,100.7473
2014-09-01,100.4577
2014-10-01,100.104
2014-11-01,99.83765
2014-12-01,99.88914
2015-01-01,100.2101
2015-02-01,100.539
2015-03-01,100.7042
2015-04-01,100.8017
2015-05-01,100.8552
2015-06-01,100.7763
2015-07-01,100.6039
2015-08-01,100.4078
2015-09-01,100.3046
2015-10-01,100.3422
2015-11-01,100.4467
2015-12-01,100.5604
2016-01-01,100.518
2016-02-01,100.3617
2016-03-01,100.1689
2016-04-01,100.053
2016-05-01,100.0439
2016-06-01,100.1646
2016-07-01,100.3239
2016-08-01,100.4491
2016-09-01,100.4431
2016-10-01,100.4112
2016-11-01,100.5101
2016-12-01,100.5904
2017-01-01,100.7216
2017-02-01,100.7997
2017-03-01,100.8645
2017-04-01,100.9046
2017-05-01,100.9291
2017-06-01,101.0054
2017-07-01,101.1958
2017-08-01,101.3448
2017-09-01,101.5318
2017-10-01,101.6496
2017-11-01,101.6268
2017-12-01,101.5434
2018-01-01,101.4792
2018-02-01,101.3815
2018-03-01,101.2862
2018-04-01,101.1031
2018-05-01,100.8672
2018-06-01,100.6103
