Date,Data
2000-01-01,99.95573
2000-02-01,100.0261
2000-03-01,100.1646
2000-04-01,100.3782
2000-05-01,100.5384
2000-06-01,100.6321
2000-07-01,100.6416
2000-08-01,100.6729
2000-09-01,100.724
2000-10-01,100.815
2000-11-01,100.635
2000-12-01,100.5597
2001-01-01,100.4199
2001-02-01,100.2021
2001-03-01,99.86533
2001-04-01,99.70031
2001-05-01,100.0207
2001-06-01,100.4809
2001-07-01,100.9257
2001-08-01,100.8291
2001-09-01,100.7054
2001-10-01,100.6525
2001-11-01,100.7785
2001-12-01,100.9917
2002-01-01,101.0567
2002-02-01,100.9863
2002-03-01,100.8953
2002-04-01,100.8093
2002-05-01,100.6747
2002-06-01,100.5457
2002-07-01,100.4765
2002-08-01,100.4693
2002-09-01,100.6035
2002-10-01,100.6598
2002-11-01,100.6319
2002-12-01,100.5888
2003-01-01,100.441
2003-02-01,100.1449
2003-03-01,99.95116
2003-04-01,100.0558
2003-05-01,100.3699
2003-06-01,100.5967
2003-07-01,100.6034
2003-08-01,100.6783
2003-09-01,100.7777
2003-10-01,100.8952
2003-11-01,100.9618
2003-12-01,101.0514
2004-01-01,101.173
2004-02-01,101.201
2004-03-01,101.319
2004-04-01,101.5472
2004-05-01,101.5646
2004-06-01,101.5294
2004-07-01,101.4969
2004-08-01,101.495
2004-09-01,101.5163
2004-10-01,101.5603
2004-11-01,101.6326
2004-12-01,101.7407
2005-01-01,101.8423
2005-02-01,101.8783
2005-03-01,101.7923
2005-04-01,101.5748
2005-05-01,101.3703
2005-06-01,101.3105
2005-07-01,101.3968
2005-08-01,101.5801
2005-09-01,101.7146
2005-10-01,101.8388
2005-11-01,101.8792
2005-12-01,101.9905
2006-01-01,102.1318
2006-02-01,102.0761
2006-03-01,101.9553
2006-04-01,101.8108
2006-05-01,101.675
2006-06-01,101.5535
2006-07-01,101.4606
2006-08-01,101.5004
2006-09-01,101.6167
2006-10-01,101.7951
2006-11-01,101.8461
2006-12-01,101.7709
2007-01-01,101.7111
2007-02-01,101.6804
2007-03-01,101.6649
2007-04-01,101.6135
2007-05-01,101.5946
2007-06-01,101.6256
2007-07-01,101.591
2007-08-01,101.5342
2007-09-01,101.47
2007-10-01,101.401
2007-11-01,101.1604
2007-12-01,100.8029
2008-01-01,100.4228
2008-02-01,100.2481
2008-03-01,100.1744
2008-04-01,99.9996
2008-05-01,99.77995
2008-06-01,99.44035
2008-07-01,99.19551
2008-08-01,99.08275
2008-09-01,99.14633
2008-10-01,99.36864
2008-11-01,99.78822
2008-12-01,100.0151
2009-01-01,100.0621
2009-02-01,100.1175
2009-03-01,100.2766
2009-04-01,100.587
2009-05-01,100.8692
2009-06-01,100.9712
2009-07-01,101.0714
2009-08-01,101.1122
2009-09-01,101.1645
2009-10-01,101.1438
2009-11-01,101.1019
2009-12-01,101.1662
2010-01-01,101.2992
2010-02-01,101.3959
2010-03-01,101.3929
2010-04-01,101.3729
2010-05-01,101.2255
2010-06-01,101.0701
2010-07-01,101.121
2010-08-01,101.1165
2010-09-01,101.1156
2010-10-01,101.1189
2010-11-01,101.1103
2010-12-01,100.9923
2011-01-01,100.8578
2011-02-01,100.7647
2011-03-01,100.7493
2011-04-01,100.7987
2011-05-01,100.8254
2011-06-01,100.7394
2011-07-01,100.4816
2011-08-01,100.1907
2011-09-01,99.95676
2011-10-01,99.54702
2011-11-01,99.20503
2011-12-01,99.1928
2012-01-01,99.44701
2012-02-01,99.85343
2012-03-01,100.2147
2012-04-01,100.3077
2012-05-01,100.2083
2012-06-01,100.1578
2012-07-01,100.2189
2012-08-01,100.2047
2012-09-01,100.1626
2012-10-01,100.1259
2012-11-01,100.1967
2012-12-01,100.1385
2013-01-01,100.1128
2013-02-01,100.1916
2013-03-01,100.2229
2013-04-01,100.2554
2013-05-01,100.3665
2013-06-01,100.6294
2013-07-01,100.8206
2013-08-01,101.0043
2013-09-01,101.1395
2013-10-01,101.1985
2013-11-01,101.1534
2013-12-01,101.1181
2014-01-01,101.071
2014-02-01,100.971
2014-03-01,100.9458
2014-04-01,101.0086
2014-05-01,101.2448
2014-06-01,101.5472
2014-07-01,101.7633
2014-08-01,101.776
2014-09-01,101.6305
2014-10-01,101.5621
2014-11-01,101.516
2014-12-01,101.5791
2015-01-01,101.6832
2015-02-01,101.8442
2015-03-01,102.0383
2015-04-01,102.0403
2015-05-01,101.8959
2015-06-01,101.6771
2015-07-01,101.4856
2015-08-01,101.2683
2015-09-01,101.049
2015-10-01,100.9844
2015-11-01,101.0184
2015-12-01,100.9671
2016-01-01,100.7871
2016-02-01,100.7079
2016-03-01,100.6855
2016-04-01,100.7233
2016-05-01,100.6934
2016-06-01,100.6819
2016-07-01,100.6351
2016-08-01,100.5935
2016-09-01,100.4961
2016-10-01,100.4039
2016-11-01,100.3347
2016-12-01,100.3759
2017-01-01,100.6726
2017-02-01,100.963
2017-03-01,101.129
2017-04-01,101.1679
2017-05-01,101.1271
2017-06-01,101.1865
2017-07-01,101.3159
2017-08-01,101.3366
2017-09-01,101.4177
2017-10-01,101.5302
2017-11-01,101.5683
2017-12-01,101.5189
2018-01-01,101.5044
2018-02-01,101.4689
2018-03-01,101.334
2018-04-01,101.2155
2018-05-01,101.2966
