Date,Data
2000-01-01,102.1215
2000-02-01,102.1573
2000-03-01,101.9625
2000-04-01,101.7301
2000-05-01,101.6396
2000-06-01,101.5907
2000-07-01,101.485
2000-08-01,101.1991
2000-09-01,100.8431
2000-10-01,100.7015
2000-11-01,100.8595
2000-12-01,101.0766
2001-01-01,101.0888
2001-02-01,100.7753
2001-03-01,100.3382
2001-04-01,100.0788
2001-05-01,99.99015
2001-06-01,99.74816
2001-07-01,99.37558
2001-08-01,99.10036
2001-09-01,98.99905
2001-10-01,99.08003
2001-11-01,99.34659
2001-12-01,99.86932
2002-01-01,100.4429
2002-02-01,100.8692
2002-03-01,101.1514
2002-04-01,101.2596
2002-05-01,101.2324
2002-06-01,100.9915
2002-07-01,100.6767
2002-08-01,100.3874
2002-09-01,100.3052
2002-10-01,100.2549
2002-11-01,100.2464
2002-12-01,100.2569
2003-01-01,100.2007
2003-02-01,100.0725
2003-03-01,100.0414
2003-04-01,100.0426
2003-05-01,100.0767
2003-06-01,100.1315
2003-07-01,100.3021
2003-08-01,100.4667
2003-09-01,100.6156
2003-10-01,100.6861
2003-11-01,100.7591
2003-12-01,100.9118
2004-01-01,101.03
2004-02-01,101.0387
2004-03-01,101.0143
2004-04-01,100.9456
2004-05-01,100.8351
2004-06-01,100.8059
2004-07-01,100.8286
2004-08-01,100.8271
2004-09-01,100.7713
2004-10-01,100.7164
2004-11-01,100.7443
2004-12-01,100.9414
2005-01-01,101.1402
2005-02-01,101.3367
2005-03-01,101.376
2005-04-01,101.1017
2005-05-01,100.6617
2005-06-01,100.2836
2005-07-01,100.3312
2005-08-01,100.4539
2005-09-01,100.4608
2005-10-01,100.62
2005-11-01,100.7302
2005-12-01,100.8066
2006-01-01,100.8547
2006-02-01,100.8328
2006-03-01,100.6423
2006-04-01,100.533
2006-05-01,100.6032
2006-06-01,100.6401
2006-07-01,100.51
2006-08-01,100.4675
2006-09-01,100.5555
2006-10-01,100.7252
2006-11-01,100.9777
2006-12-01,101.0798
