Date,Data
2000-01-01,102.0538
2000-02-01,102.0285
2000-03-01,102.1326
2000-04-01,102.2844
2000-05-01,102.3741
2000-06-01,102.4137
2000-07-01,102.3655
2000-08-01,102.1296
2000-09-01,101.949
2000-10-01,102.0692
2000-11-01,102.3144
2000-12-01,102.5991
2001-01-01,102.7102
2001-02-01,102.5442
2001-03-01,102.2155
2001-04-01,101.8106
2001-05-01,101.3598
2001-06-01,101.0775
2001-07-01,100.8795
2001-08-01,100.665
2001-09-01,100.5422
2001-10-01,100.6586
2001-11-01,100.9118
2001-12-01,101.1349
2002-01-01,101.2554
2002-02-01,101.292
2002-03-01,101.2885
2002-04-01,101.3049
2002-05-01,101.4483
2002-06-01,101.4173
2002-07-01,101.2097
2002-08-01,100.9614
2002-09-01,100.8242
2002-10-01,100.885
2002-11-01,100.9457
2002-12-01,100.8471
2003-01-01,100.4629
2003-02-01,99.96333
2003-03-01,99.59484
2003-04-01,99.52112
2003-05-01,99.5598
2003-06-01,99.61327
2003-07-01,99.62989
2003-08-01,99.57809
2003-09-01,99.53945
2003-10-01,99.62334
2003-11-01,99.81326
2003-12-01,100.1027
2004-01-01,100.3874
2004-02-01,100.4235
2004-03-01,100.2834
2004-04-01,100.0733
2004-05-01,100.0456
2004-06-01,100.0949
2004-07-01,100.1981
2004-08-01,100.3094
2004-09-01,100.395
2004-10-01,100.4311
2004-11-01,100.374
2004-12-01,100.3428
2005-01-01,100.2652
2005-02-01,100.1828
2005-03-01,99.99998
2005-04-01,99.64791
2005-05-01,99.405
2005-06-01,99.50761
2005-07-01,99.59662
2005-08-01,99.74062
2005-09-01,99.68791
2005-10-01,99.29912
2005-11-01,99.12159
2005-12-01,99.35038
2006-01-01,99.62139
2006-02-01,99.71613
2006-03-01,99.70256
2006-04-01,99.67563
2006-05-01,99.44134
2006-06-01,99.42232
2006-07-01,99.68401
2006-08-01,99.92618
2006-09-01,100.1273
2006-10-01,100.3301
2006-11-01,100.4125
2006-12-01,100.4617
2007-01-01,100.5272
2007-02-01,100.6262
2007-03-01,100.7883
2007-04-01,101.1207
2007-05-01,101.592
2007-06-01,101.8088
2007-07-01,101.6705
2007-08-01,101.2622
2007-09-01,100.7463
2007-10-01,100.2211
2007-11-01,99.6603
2007-12-01,99.24617
2008-01-01,98.80442
2008-02-01,98.54786
2008-03-01,98.28259
2008-04-01,97.91162
2008-05-01,97.4531
2008-06-01,97.08176
2008-07-01,97.03822
2008-08-01,97.20417
2008-09-01,97.33802
2008-10-01,97.34832
2008-11-01,97.43449
2008-12-01,97.39004
2009-01-01,97.3127
2009-02-01,97.23702
2009-03-01,97.34897
2009-04-01,97.75958
2009-05-01,98.11843
2009-06-01,98.38372
2009-07-01,98.51833
2009-08-01,98.63639
2009-09-01,99.0609
2009-10-01,99.51917
2009-11-01,99.87159
2009-12-01,99.98283
2010-01-01,99.8911
2010-02-01,99.5322
2010-03-01,99.10578
2010-04-01,98.74787
2010-05-01,98.40807
2010-06-01,98.26237
2010-07-01,98.36662
2010-08-01,98.6099
2010-09-01,98.83
2010-10-01,99.09182
2010-11-01,99.24758
2010-12-01,99.00455
2011-01-01,98.62042
2011-02-01,98.2952
2011-03-01,98.06105
2011-04-01,97.97028
2011-05-01,97.99995
2011-06-01,97.97793
2011-07-01,97.85525
2011-08-01,97.56336
2011-09-01,97.43889
2011-10-01,97.41719
2011-11-01,97.2392
2011-12-01,97.15954
2012-01-01,97.38323
2012-02-01,97.8707
2012-03-01,98.44363
2012-04-01,98.81915
2012-05-01,98.9979
2012-06-01,98.80624
2012-07-01,98.32145
2012-08-01,97.8438
2012-09-01,97.4203
2012-10-01,97.24
2012-11-01,97.26119
2012-12-01,97.28191
2013-01-01,97.22073
2013-02-01,97.12352
2013-03-01,96.95009
2013-04-01,96.75372
2013-05-01,96.55256
2013-06-01,96.66335
2013-07-01,97.13371
2013-08-01,97.68623
2013-09-01,98.01704
2013-10-01,98.03944
2013-11-01,97.85521
2013-12-01,97.84197
2014-01-01,97.93137
2014-02-01,98.00669
2014-03-01,98.03313
2014-04-01,97.9276
2014-05-01,97.77928
2014-06-01,97.68073
2014-07-01,97.71137
2014-08-01,97.70654
2014-09-01,97.66624
2014-10-01,97.75988
2014-11-01,98.00969
2014-12-01,98.38926
2015-01-01,98.79338
2015-02-01,99.18021
2015-03-01,99.38678
2015-04-01,99.40114
2015-05-01,99.2382
2015-06-01,99.11752
2015-07-01,99.10464
2015-08-01,99.28658
2015-09-01,99.51019
2015-10-01,99.69444
2015-11-01,99.82647
2015-12-01,99.85973
2016-01-01,99.8016
2016-02-01,99.54281
2016-03-01,99.30003
2016-04-01,99.24307
2016-05-01,99.29844
2016-06-01,99.23364
2016-07-01,99.26088
2016-08-01,99.41538
2016-09-01,99.66546
2016-10-01,99.92273
2016-11-01,100.1765
2016-12-01,100.3187
2017-01-01,100.3023
2017-02-01,100.2185
2017-03-01,100.2311
2017-04-01,100.4399
2017-05-01,100.814
2017-06-01,101.2024
2017-07-01,101.1518
2017-08-01,100.8639
2017-09-01,100.6421
2017-10-01,100.7123
2017-11-01,101.0327
2017-12-01,101.2241
2018-01-01,101.1004
2018-02-01,100.7518
2018-03-01,100.4489
2018-04-01,100.1672
2018-05-01,99.91798
2018-06-01,99.70032
2018-07-01,99.55801
2018-08-01,99.33056
2018-09-01,99.0151
2018-10-01,98.8291
2018-11-01,98.56483
2018-12-01,98.46178
2019-01-01,98.83942
2019-02-01,99.26666
2019-03-01,99.55717
2019-04-01,99.75391
2019-05-01,100.0034
2019-06-01,100.2217
2019-07-01,100.4216
2019-08-01,100.5215
2019-09-01,100.6125
2019-10-01,100.6115
2019-11-01,100.4994
2019-12-01,100.2124
2020-01-01,99.97398
2020-02-01,99.51072
2020-03-01,98.56547
2020-04-01,97.69009
2020-05-01,97.79035
2020-06-01,98.44778
2020-07-01,98.94508
2020-08-01,99.119
2020-09-01,99.02766
2020-10-01,98.66685
2020-11-01,98.3909
2020-12-01,98.58695
2021-01-01,98.68797
2021-02-01,98.89862
2021-03-01,99.43536
2021-04-01,100.096
2021-05-01,100.9314
2021-06-01,101.5568
2021-07-01,101.5526
2021-08-01,101.2938
2021-09-01,101.1583
2021-10-01,100.8518
2021-11-01,100.5319
2021-12-01,100.1812
2022-01-01,99.73461
2022-02-01,98.96368
2022-03-01,97.75824
2022-04-01,97.11703
2022-05-01,96.83859
2022-06-01,96.65666
2022-07-01,96.62852
2022-08-01,96.71279
2022-09-01,96.66031
2022-10-01,96.75361
2022-11-01,96.87089
2022-12-01,96.8046
