Date,Data
2000-01-01,102.912
2000-02-01,102.8429
2000-03-01,102.6584
2000-04-01,102.4992
2000-05-01,102.3496
2000-06-01,102.3565
2000-07-01,102.4455
2000-08-01,102.5011
2000-09-01,102.4638
2000-10-01,102.5952
2000-11-01,102.6082
2000-12-01,102.6291
2001-01-01,102.5979
2001-02-01,102.541
2001-03-01,102.5754
2001-04-01,102.7523
2001-05-01,103.1031
2001-06-01,103.4352
2001-07-01,103.5685
2001-08-01,103.4304
2001-09-01,103.0827
2001-10-01,102.7261
2001-11-01,102.4874
2001-12-01,102.6161
2002-01-01,102.8158
2002-02-01,102.8629
2002-03-01,102.6998
2002-04-01,102.3886
2002-05-01,102.1138
2002-06-01,101.906
2002-07-01,101.7573
2002-08-01,101.5617
2002-09-01,101.344
2002-10-01,101.1887
2002-11-01,101.0038
2002-12-01,100.7297
2003-01-01,100.5772
2003-02-01,100.5012
2003-03-01,100.3799
2003-04-01,100.3575
2003-05-01,100.4321
2003-06-01,100.5578
2003-07-01,100.5437
2003-08-01,100.4883
2003-09-01,100.5005
2003-10-01,100.5144
2003-11-01,100.4372
2003-12-01,100.2958
2004-01-01,100.1535
2004-02-01,100.0113
2004-03-01,99.97714
2004-04-01,99.9809
2004-05-01,100.0488
2004-06-01,100.2195
2004-07-01,100.2896
2004-08-01,100.3634
2004-09-01,100.4889
2004-10-01,100.6645
2004-11-01,100.7134
2004-12-01,100.6949
2005-01-01,100.7224
2005-02-01,100.7947
2005-03-01,100.7688
2005-04-01,100.6077
2005-05-01,100.2463
2005-06-01,99.93905
2005-07-01,99.87451
2005-08-01,99.94862
2005-09-01,100.0961
2005-10-01,100.3501
2005-11-01,100.4805
2005-12-01,100.5147
2006-01-01,100.4998
2006-02-01,100.6289
2006-03-01,100.829
2006-04-01,100.9519
2006-05-01,101.0278
2006-06-01,101.0095
2006-07-01,101.1224
2006-08-01,101.2169
2006-09-01,101.3216
2006-10-01,101.2559
2006-11-01,101.2988
2006-12-01,101.4275
2007-01-01,101.3015
2007-02-01,101.1739
2007-03-01,101.0307
2007-04-01,100.745
2007-05-01,100.4332
2007-06-01,100.1543
2007-07-01,100.0611
2007-08-01,100.0119
2007-09-01,99.98429
2007-10-01,99.91079
2007-11-01,99.73293
2007-12-01,99.52826
2008-01-01,99.34129
2008-02-01,99.28141
2008-03-01,99.30951
2008-04-01,99.45806
2008-05-01,99.5361
2008-06-01,99.24756
2008-07-01,98.94049
2008-08-01,99.1217
2008-09-01,99.50963
2008-10-01,99.707
2008-11-01,99.61356
2008-12-01,99.49551
2009-01-01,99.46518
2009-02-01,99.49237
2009-03-01,99.5414
2009-04-01,99.73069
2009-05-01,99.93688
2009-06-01,100.1659
2009-07-01,100.4268
2009-08-01,100.6897
2009-09-01,100.9447
2009-10-01,101.2067
2009-11-01,101.366
2009-12-01,101.1942
2010-01-01,100.7443
2010-02-01,100.2301
2010-03-01,99.9147
2010-04-01,99.69113
2010-05-01,99.31767
2010-06-01,98.98831
2010-07-01,98.87897
2010-08-01,98.96979
2010-09-01,99.07445
2010-10-01,99.09621
2010-11-01,99.13685
2010-12-01,99.15452
2011-01-01,98.89655
2011-02-01,98.62892
2011-03-01,98.35352
2011-04-01,98.12907
2011-05-01,98.05308
2011-06-01,98.13933
2011-07-01,98.04693
2011-08-01,97.87474
2011-09-01,97.69333
2011-10-01,97.55708
2011-11-01,97.60551
2011-12-01,97.45235
2012-01-01,97.33798
2012-02-01,97.40192
2012-03-01,97.21015
2012-04-01,96.51837
2012-05-01,95.99757
2012-06-01,95.89762
2012-07-01,96.16776
2012-08-01,96.47659
2012-09-01,96.52889
2012-10-01,96.47744
2012-11-01,96.28353
2012-12-01,96.14208
2013-01-01,96.19514
2013-02-01,96.35319
2013-03-01,96.50883
2013-04-01,96.80583
2013-05-01,97.0564
2013-06-01,97.37825
2013-07-01,97.5171
2013-08-01,97.61884
2013-09-01,97.69049
2013-10-01,97.52512
2013-11-01,97.51081
2013-12-01,97.51509
2014-01-01,97.61982
2014-02-01,98.01012
2014-03-01,98.65615
2014-04-01,99.29646
2014-05-01,99.61918
2014-06-01,99.42231
2014-07-01,98.93147
2014-08-01,98.51641
2014-09-01,98.35455
2014-10-01,98.23233
2014-11-01,98.1607
2014-12-01,98.23048
2015-01-01,98.73734
2015-02-01,99.57835
2015-03-01,100.092
2015-04-01,100.1387
2015-05-01,99.96033
2015-06-01,99.78723
2015-07-01,99.72257
2015-08-01,100.1024
2015-09-01,100.7331
2015-10-01,101.2586
2015-11-01,101.5172
2015-12-01,101.4429
2016-01-01,101.314
2016-02-01,101.1868
2016-03-01,100.9982
2016-04-01,100.799
2016-05-01,100.5425
2016-06-01,100.4175
2016-07-01,100.277
2016-08-01,99.94998
2016-09-01,99.70264
2016-10-01,99.68437
2016-11-01,99.77496
2016-12-01,99.84299
2017-01-01,99.89551
2017-02-01,99.87642
2017-03-01,99.85427
2017-04-01,99.66769
2017-05-01,99.42785
2017-06-01,99.30483
2017-07-01,99.55392
2017-08-01,100.1583
2017-09-01,100.7934
2017-10-01,101.1833
2017-11-01,101.3464
2017-12-01,101.3917
2018-01-01,101.33
2018-02-01,101.3211
2018-03-01,101.336
2018-04-01,101.3256
2018-05-01,101.179
2018-06-01,101.268
2018-07-01,101.3922
2018-08-01,101.4914
2018-09-01,101.6273
2018-10-01,101.6717
2018-11-01,101.5699
2018-12-01,101.4039
2019-01-01,101.227
2019-02-01,101.016
2019-03-01,100.822
2019-04-01,100.6877
2019-05-01,100.5742
2019-06-01,100.4957
2019-07-01,100.5258
2019-08-01,100.4497
2019-09-01,100.4272
2019-10-01,100.4557
2019-11-01,100.4989
2019-12-01,100.6453
2020-01-01,100.5578
2020-02-01,99.94144
2020-03-01,98.95099
2020-04-01,98.48695
2020-05-01,98.62422
2020-06-01,99.28971
2020-07-01,99.72465
2020-08-01,99.98073
2020-09-01,100.0315
2020-10-01,99.7565
2020-11-01,99.58419
2020-12-01,99.88643
2021-01-01,100.2434
2021-02-01,100.5826
2021-03-01,100.9282
2021-04-01,101.5159
2021-05-01,102.3137
2021-06-01,102.9412
2021-07-01,103.1528
2021-08-01,103.0644
2021-09-01,102.9947
2021-10-01,102.8869
2021-11-01,102.5913
2021-12-01,102.134
2022-01-01,101.2914
2022-02-01,100.1278
2022-03-01,98.69066
2022-04-01,97.96026
2022-05-01,97.60452
2022-06-01,97.2697
2022-07-01,96.9628
2022-08-01,96.95943
2022-09-01,97.09666
2022-10-01,97.6036
2022-11-01,98.5106
2022-12-01,99.14222
