Date,Data
2000-01-01,101.8939
2000-02-01,101.9182
2000-03-01,101.9427
2000-04-01,101.8945
2000-05-01,101.8074
2000-06-01,101.7576
2000-07-01,101.7232
2000-08-01,101.7194
2000-09-01,101.5779
2000-10-01,101.404
2000-11-01,101.066
2000-12-01,100.6248
2001-01-01,100.1895
2001-02-01,99.82027
2001-03-01,99.53808
2001-04-01,99.32587
2001-05-01,99.29709
2001-06-01,99.34104
2001-07-01,99.20837
2001-08-01,99.03398
2001-09-01,98.87455
2001-10-01,98.99617
2001-11-01,99.35354
2001-12-01,99.89351
2002-01-01,100.5946
2002-02-01,101.2388
2002-03-01,101.5609
2002-04-01,101.5114
2002-05-01,101.4166
2002-06-01,101.4322
2002-07-01,101.4684
2002-08-01,101.3161
2002-09-01,101.064
2002-10-01,100.7974
2002-11-01,100.5953
2002-12-01,100.3151
2003-01-01,100.0497
2003-02-01,99.81252
2003-03-01,99.54784
2003-04-01,99.50959
2003-05-01,99.73234
2003-06-01,100.1546
2003-07-01,100.5662
2003-08-01,100.8663
2003-09-01,100.9352
2003-10-01,100.646
2003-11-01,100.3063
2003-12-01,100.2385
2004-01-01,100.4675
2004-02-01,100.6183
2004-03-01,100.4526
2004-04-01,100.313
2004-05-01,100.2687
2004-06-01,100.396
2004-07-01,100.5969
2004-08-01,100.7828
2004-09-01,100.8157
2004-10-01,100.7475
2004-11-01,100.7301
2004-12-01,100.8007
2005-01-01,100.7852
2005-02-01,100.6813
2005-03-01,100.5043
2005-04-01,100.2488
2005-05-01,100.1794
2005-06-01,100.2641
2005-07-01,100.4136
2005-08-01,100.5669
2005-09-01,100.6267
2005-10-01,100.7314
2005-11-01,100.9117
2005-12-01,101.156
2006-01-01,101.4001
2006-02-01,101.3968
2006-03-01,101.3214
2006-04-01,101.2653
2006-05-01,101.2831
2006-06-01,101.1931
2006-07-01,101.1272
2006-08-01,101.1949
2006-09-01,101.2946
2006-10-01,101.329
2006-11-01,101.2193
2006-12-01,101.1537
2007-01-01,101.1588
2007-02-01,101.307
