Date,Belgium,Denmark,Germany,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,1.6061,1.6061,1.6061,1.6061,1.6061,1.6061,1.6061,1.6061,1.6061,1.6061,1.6061,1.6061
2000-02,1.6058,1.6058,1.6058,1.6058,1.6058,1.6058,1.6058,1.6058,1.6058,1.6058,1.6058,1.6058
2000-03,1.5916,1.5916,1.5916,1.5916,1.5916,1.5916,1.5916,1.5916,1.5916,1.5916,1.5916,1.5916
2000-04,1.5662,1.5662,1.5662,1.5662,1.5662,1.5662,1.5662,1.5662,1.5662,1.5662,1.5662,1.5662
2000-05,1.5768,1.5768,1.5768,1.5768,1.5768,1.5768,1.5768,1.5768,1.5768,1.5768,1.5768,1.5768
2000-06,1.5569,1.5569,1.5569,1.5569,1.5569,1.5569,1.5569,1.5569,1.5569,1.5569,1.5569,1.5569
2000-07,1.5475,1.5475,1.5475,1.5475,1.5475,1.5475,1.5475,1.5475,1.5475,1.5475,1.5475,1.5475
2000-08,1.5476,1.5476,1.5476,1.5476,1.5476,1.5476,1.5476,1.5476,1.5476,1.5476,1.5476,1.5476
2000-09,1.5241,1.5241,1.5241,1.5241,1.5241,1.5241,1.5241,1.5241,1.5241,1.5241,1.5241,1.5241
2000-10,1.5264,1.5264,1.5264,1.5264,1.5264,1.5264,1.5264,1.5264,1.5264,1.5264,1.5264,1.5264
2000-11,1.5087,1.5087,1.5087,1.5087,1.5087,1.5087,1.5087,1.5087,1.5087,1.5087,1.5087,1.5087
2000-12,1.5179,1.5179,1.5179,1.5179,1.5179,1.5179,1.5179,1.5179,1.5179,1.5179,1.5179,1.5179
2001-01,1.5317,1.5317,1.5317,1.5317,1.5317,1.5317,1.5317,1.5317,1.5317,1.5317,1.5317,1.5317
2001-02,1.5419,1.5419,1.5419,1.5419,1.5419,1.5419,1.5419,1.5419,1.5419,1.5419,1.5419,1.5419
2001-03,1.529,1.529,1.529,1.529,1.529,1.529,1.529,1.529,1.529,1.529,1.529,1.529
2001-04,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54
2001-05,1.5197,1.5197,1.5197,1.5197,1.5197,1.5197,1.5197,1.5197,1.5197,1.5197,1.5197,1.5197
2001-06,1.5249,1.5249,1.5249,1.5249,1.5249,1.5249,1.5249,1.5249,1.5249,1.5249,1.5249,1.5249
2001-07,1.5128,1.5128,1.5128,1.5128,1.5128,1.5128,1.5128,1.5128,1.5128,1.5128,1.5128,1.5128
2001-08,1.5163,1.5163,1.5163,1.5163,1.5163,1.5163,1.5163,1.5163,1.5163,1.5163,1.5163,1.5163
2001-09,1.477,1.477,1.477,1.477,1.477,1.477,1.477,1.477,1.477,1.477,1.477,1.477
2001-10,1.4712,1.4712,1.4712,1.4712,1.4712,1.4712,1.4712,1.4712,1.4712,1.4712,1.4712,1.4712
2001-11,1.4715,1.4715,1.4715,1.4715,1.4715,1.4715,1.4715,1.4715,1.4715,1.4715,1.4715,1.4715
2001-12,1.4785,1.4785,1.4785,1.4785,1.4785,1.4785,1.4785,1.4785,1.4785,1.4785,1.4785,1.4785
2002-01,1.4766,1.4766,1.4766,1.4766,1.4766,1.4766,1.4766,1.4766,1.4766,1.4766,1.4766,1.4766
2002-02,1.4748,1.4748,1.4748,1.4748,1.4748,1.4748,1.4748,1.4748,1.4748,1.4748,1.4748,1.4748
2002-03,1.4663,1.4663,1.4663,1.4663,1.4663,1.4663,1.4663,1.4663,1.4663,1.4663,1.4663,1.4663
2002-04,1.4558,1.4558,1.4558,1.4558,1.4558,1.4558,1.4558,1.4558,1.4558,1.4558,1.4558,1.4558
2002-05,1.4663,1.4663,1.4663,1.4663,1.4663,1.4663,1.4663,1.4663,1.4663,1.4663,1.4663,1.4663
2002-06,1.4685,1.4685,1.4685,1.4685,1.4685,1.4685,1.4685,1.4685,1.4685,1.4685,1.4685,1.4685
2002-07,1.4519,1.4519,1.4519,1.4519,1.4519,1.4519,1.4519,1.4519,1.4519,1.4519,1.4519,1.4519
2002-08,1.4721,1.4721,1.4721,1.4721,1.4721,1.4721,1.4721,1.4721,1.4721,1.4721,1.4721,1.4721
