Date,Belgium,Denmark,Germany,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,0.9695,0.9695,0.9695,0.9695,0.9695,0.9695,0.9695,0.9695,0.9695,0.9695,0.9695,0.9695
2000-02,0.9647,0.9647,0.9647,0.9647,0.9647,0.9647,0.9647,0.9647,0.9647,0.9647,0.9647,0.9647
2000-03,0.9562,0.9562,0.9562,0.9562,0.9562,0.9562,0.9562,0.9562,0.9562,0.9562,0.9562,0.9562
2000-04,0.9123,0.9123,0.9123,0.9123,0.9123,0.9123,0.9123,0.9123,0.9123,0.9123,0.9123,0.9123
2000-05,0.9379,0.9379,0.9379,0.9379,0.9379,0.9379,0.9379,0.9379,0.9379,0.9379,0.9379,0.9379
2000-06,0.9526,0.9526,0.9526,0.9526,0.9526,0.9526,0.9526,0.9526,0.9526,0.9526,0.9526,0.9526
2000-07,0.9263,0.9263,0.9263,0.9263,0.9263,0.9263,0.9263,0.9263,0.9263,0.9263,0.9263,0.9263
2000-08,0.8888,0.8888,0.8888,0.8888,0.8888,0.8888,0.8888,0.8888,0.8888,0.8888,0.8888,0.8888
2000-09,0.8839,0.8839,0.8839,0.8839,0.8839,0.8839,0.8839,0.8839,0.8839,0.8839,0.8839,0.8839
2000-10,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493
2000-11,0.8724,0.8724,0.8724,0.8724,0.8724,0.8724,0.8724,0.8724,0.8724,0.8724,0.8724,0.8724
2000-12,0.9424,0.9424,0.9424,0.9424,0.9424,0.9424,0.9424,0.9424,0.9424,0.9424,0.9424,0.9424
2001-01,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365
2001-02,0.9234,0.9234,0.9234,0.9234,0.9234,0.9234,0.9234,0.9234,0.9234,0.9234,0.9234,0.9234
2001-03,0.8778,0.8778,0.8778,0.8778,0.8778,0.8778,0.8778,0.8778,0.8778,0.8778,0.8778,0.8778
2001-04,0.8881,0.8881,0.8881,0.8881,0.8881,0.8881,0.8881,0.8881,0.8881,0.8881,0.8881,0.8881
2001-05,0.8459,0.8459,0.8459,0.8459,0.8459,0.8459,0.8459,0.8459,0.8459,0.8459,0.8459,0.8459
2001-06,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
2001-07,0.8762,0.8762,0.8762,0.8762,0.8762,0.8762,0.8762,0.8762,0.8762,0.8762,0.8762,0.8762
2001-08,0.9124,0.9124,0.9124,0.9124,0.9124,0.9124,0.9124,0.9124,0.9124,0.9124,0.9124,0.9124
2001-09,0.9117,0.9117,0.9117,0.9117,0.9117,0.9117,0.9117,0.9117,0.9117,0.9117,0.9117,0.9117
2001-10,0.8998,0.8998,0.8998,0.8998,0.8998,0.8998,0.8998,0.8998,0.8998,0.8998,0.8998,0.8998
2001-11,0.8965,0.8965,0.8965,0.8965,0.8965,0.8965,0.8965,0.8965,0.8965,0.8965,0.8965,0.8965
2001-12,0.8909,0.8909,0.8909,0.8909,0.8909,0.8909,0.8909,0.8909,0.8909,0.8909,0.8909,0.8909
2002-01,0.8585,0.8585,0.8585,0.8585,0.8585,0.8585,0.8585,0.8585,0.8585,0.8585,0.8585,0.8585
2002-02,0.8686,0.8686,0.8686,0.8686,0.8686,0.8686,0.8686,0.8686,0.8686,0.8686,0.8686,0.8686
2002-03,0.8718,0.8718,0.8718,0.8718,0.8718,0.8718,0.8718,0.8718,0.8718,0.8718,0.8718,0.8718
2002-04,0.9002,0.9002,0.9002,0.9002,0.9002,0.9002,0.9002,0.9002,0.9002,0.9002,0.9002,0.9002
2002-05,0.9339,0.9339,0.9339,0.9339,0.9339,0.9339,0.9339,0.9339,0.9339,0.9339,0.9339,0.9339
2002-06,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918
2002-07,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775
2002-08,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982
2002-09,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868
2002-10,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907
2002-11,0.9946,0.9946,0.9946,0.9946,0.9946,0.9946,0.9946,0.9946,0.9946,0.9946,0.9946,0.9946
2002-12,1.0501,1.0501,1.0501,1.0501,1.0501,1.0501,1.0501,1.0501,1.0501,1.0501,1.0501,1.0501
2003-01,1.0769,1.0769,1.0769,1.0769,1.0769,1.0769,1.0769,1.0769,1.0769,1.0769,1.0769,1.0769
2003-02,1.0798,1.0798,1.0798,1.0798,1.0798,1.0798,1.0798,1.0798,1.0798,1.0798,1.0798,1.0798
2003-03,1.0924,1.0924,1.0924,1.0924,1.0924,1.0924,1.0924,1.0924,1.0924,1.0924,1.0924,1.0924
2003-04,1.1183,1.1183,1.1183,1.1183,1.1183,1.1183,1.1183,1.1183,1.1183,1.1183,1.1183,1.1183
2003-05,1.1787,1.1787,1.1787,1.1787,1.1787,1.1787,1.1787,1.1787,1.1787,1.1787,1.1787,1.1787
2003-06,1.1511,1.1511,1.1511,1.1511,1.1511,1.1511,1.1511,1.1511,1.1511,1.1511,1.1511,1.1511
2003-07,1.1231,1.1231,1.1231,1.1231,1.1231,1.1231,1.1231,1.1231,1.1231,1.1231,1.1231,1.1231
2003-08,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098
2003-09,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166
2003-10,1.1584,1.1584,1.1584,1.1584,1.1584,1.1584,1.1584,1.1584,1.1584,1.1584,1.1584,1.1584
2003-11,1.1994,1.1994,1.1994,1.1994,1.1994,1.1994,1.1994,1.1994,1.1994,1.1994,1.1994,1.1994
2003-12,1.2588,1.2588,1.2588,1.2588,1.2588,1.2588,1.2588,1.2588,1.2588,1.2588,1.2588,1.2588
2004-01,1.2469,1.2469,1.2469,1.2469,1.2469,1.2469,1.2469,1.2469,1.2469,1.2469,1.2469,1.2469
2004-02,1.249,1.249,1.249,1.249,1.249,1.249,1.249,1.249,1.249,1.249,1.249,1.249
2004-03,1.2315,1.2315,1.2315,1.2315,1.2315,1.2315,1.2315,1.2315,1.2315,1.2315,1.2315,1.2315
2004-04,1.1982,1.1982,1.1982,1.1982,1.1982,1.1982,1.1982,1.1982,1.1982,1.1982,1.1982,1.1982
2004-05,1.2186,1.2186,1.2186,1.2186,1.2186,1.2186,1.2186,1.2186,1.2186,1.2186,1.2186,1.2186
2004-06,1.2187,1.2187,1.2187,1.2187,1.2187,1.2187,1.2187,1.2187,1.2187,1.2187,1.2187,1.2187
2004-07,1.202,1.202,1.202,1.202,1.202,1.202,1.202,1.202,1.202,1.202,1.202,1.202
2004-08,1.2188,1.2188,1.2188,1.2188,1.2188,1.2188,1.2188,1.2188,1.2188,1.2188,1.2188,1.2188
2004-09,1.2432,1.2432,1.2432,1.2432,1.2432,1.2432,1.2432,1.2432,1.2432,1.2432,1.2432,1.2432
2004-10,1.2785,1.2785,1.2785,1.2785,1.2785,1.2785,1.2785,1.2785,1.2785,1.2785,1.2785,1.2785
2004-11,1.3293,1.3293,1.3293,1.3293,1.3293,1.3293,1.3293,1.3293,1.3293,1.3293,1.3293,1.3293
2004-12,1.3558,1.3558,1.3558,1.3558,1.3558,1.3558,1.3558,1.3558,1.3558,1.3558,1.3558,1.3558
2005-01,1.3034,1.3034,1.3034,1.3034,1.3034,1.3034,1.3034,1.3034,1.3034,1.3034,1.3034,1.3034
2005-02,1.3237,1.3237,1.3237,1.3237,1.3237,1.3237,1.3237,1.3237,1.3237,1.3237,1.3237,1.3237
2005-03,1.2963,1.2963,1.2963,1.2963,1.2963,1.2963,1.2963,1.2963,1.2963,1.2963,1.2963,1.2963
2005-04,1.2873,1.2873,1.2873,1.2873,1.2873,1.2873,1.2873,1.2873,1.2873,1.2873,1.2873,1.2873
2005-05,1.231,1.231,1.231,1.231,1.231,1.231,1.231,1.231,1.231,1.231,1.231,1.231
2005-06,1.2102,1.2102,1.2102,1.2102,1.2102,1.2102,1.2102,1.2102,1.2102,1.2102,1.2102,1.2102
2005-07,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213
2005-08,1.2344,1.2344,1.2344,1.2344,1.2344,1.2344,1.2344,1.2344,1.2344,1.2344,1.2344,1.2344
2005-09,1.203,1.203,1.203,1.203,1.203,1.203,1.203,1.203,1.203,1.203,1.203,1.203
2005-10,1.1988,1.1988,1.1988,1.1988,1.1988,1.1988,1.1988,1.1988,1.1988,1.1988,1.1988,1.1988
2005-11,1.1789,1.1789,1.1789,1.1789,1.1789,1.1789,1.1789,1.1789,1.1789,1.1789,1.1789,1.1789
2005-12,1.1843,1.1843,1.1843,1.1843,1.1843,1.1843,1.1843,1.1843,1.1843,1.1843,1.1843,1.1843
2006-01,1.2155,1.2155,1.2155,1.2155,1.2155,1.2155,1.2155,1.2155,1.2155,1.2155,1.2155,1.2155
2006-02,1.1921,1.1921,1.1921,1.1921,1.1921,1.1921,1.1921,1.1921,1.1921,1.1921,1.1921,1.1921
2006-03,1.2119,1.2119,1.2119,1.2119,1.2119,1.2119,1.2119,1.2119,1.2119,1.2119,1.2119,1.2119
2006-04,1.2637,1.2637,1.2637,1.2637,1.2637,1.2637,1.2637,1.2637,1.2637,1.2637,1.2637,1.2637
2006-05,1.2812,1.2812,1.2812,1.2812,1.2812,1.2812,1.2812,1.2812,1.2812,1.2812,1.2812,1.2812
2006-06,1.2789,1.2789,1.2789,1.2789,1.2789,1.2789,1.2789,1.2789,1.2789,1.2789,1.2789,1.2789
2006-07,1.2763,1.2763,1.2763,1.2763,1.2763,1.2763,1.2763,1.2763,1.2763,1.2763,1.2763,1.2763
2006-08,1.2807,1.2807,1.2807,1.2807,1.2807,1.2807,1.2807,1.2807,1.2807,1.2807,1.2807,1.2807
2006-09,1.2672,1.2672,1.2672,1.2672,1.2672,1.2672,1.2672,1.2672,1.2672,1.2672,1.2672,1.2672
2006-10,1.2763,1.2763,1.2763,1.2763,1.2763,1.2763,1.2763,1.2763,1.2763,1.2763,1.2763,1.2763
2006-11,1.3241,1.3241,1.3241,1.3241,1.3241,1.3241,1.3241,1.3241,1.3241,1.3241,1.3241,1.3241
2006-12,1.3199,1.3199,1.3199,1.3199,1.3199,1.3199,1.3199,1.3199,1.3199,1.3199,1.3199,1.3199
2007-01,1.3034,1.3034,1.3034,1.3034,1.3034,1.3034,1.3034,1.3034,1.3034,1.3034,1.3034,1.3034
2007-02,1.3235,1.3235,1.3235,1.3235,1.3235,1.3235,1.3235,1.3235,1.3235,1.3235,1.3235,1.3235
2007-03,1.3358,1.3358,1.3358,1.3358,1.3358,1.3358,1.3358,1.3358,1.3358,1.3358,1.3358,1.3358
2007-04,1.3647,1.3647,1.3647,1.3647,1.3647,1.3647,1.3647,1.3647,1.3647,1.3647,1.3647,1.3647
2007-05,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453
2007-06,1.3542,1.3542,1.3542,1.3542,1.3542,1.3542,1.3542,1.3542,1.3542,1.3542,1.3542,1.3542
