Date,Belgium,Denmark,Germany,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,72.66,76.2,78.5,69.93,77.43,73.2,72.83,74.28,67.6,75.22,78.83,74.09
2000-02,74.14,76.6,78.6,70.06,77.53,73.5,73.24,74.85,68.2,75.8,79.2,74.09
2000-03,74.49,77.1,78.6,70.38,77.92,73.7,74.07,74.92,68.8,76.3,79.59,74.09
2000-04,74.63,77.3,78.6,70.64,77.92,73.7,74.34,74.78,69.1,76.44,79.49,74.09
2000-05,74.84,77.6,78.4,70.77,78.08,74.0,74.55,74.71,69.5,76.8,79.96,74.09
2000-06,75.12,77.8,78.9,70.97,78.29,74.2,74.55,75.0,70.1,77.09,79.93,74.09
2000-07,74.35,77.5,79.2,71.42,78.15,74.4,74.34,74.78,70.5,76.73,79.47,74.09
2000-08,75.47,77.3,79.0,71.68,78.32,74.4,74.62,74.85,70.3,76.8,79.52,74.09
2000-09,76.04,78.0,79.2,71.94,78.74,74.6,75.31,75.14,71.0,77.59,80.2,74.09
2000-10,75.9,78.2,79.1,72.07,78.67,74.8,75.58,75.35,71.6,77.66,80.39,74.09
2000-11,76.04,78.2,79.1,72.26,78.85,75.0,75.51,75.64,71.8,77.59,80.45,74.09
2000-12,75.83,78.1,80.0,72.46,78.82,75.1,75.17,75.93,72.0,77.45,80.31,74.09
2001-01,74.64,78.0,79.5,71.94,78.47,75.0,76.21,75.96,72.6,77.37,80.06,74.09
2001-02,75.98,78.4,80.0,71.94,78.69,74.6,76.89,76.21,72.6,77.84,80.35,74.09
2001-03,76.12,78.8,80.0,72.52,79.07,75.3,77.77,76.33,73.0,78.23,81.02,74.09
2001-04,76.8,79.3,80.3,73.17,79.48,75.9,78.37,76.71,73.6,78.62,81.8,74.09
2001-05,77.2,79.7,80.7,73.43,79.99,76.1,78.63,76.86,74.5,79.32,82.45,74.09
2001-06,77.34,79.6,80.8,73.63,80.05,76.3,78.34,76.96,74.4,79.38,82.28,74.09
