Date,Data
2000-01-01,1.14974
2000-02-01,1.63934
2000-03-01,1.93989
2000-04-01,1.85792
2000-05-01,1.7453
2000-06-01,2.73224
2000-07-01,2.81421
2000-08-01,2.73
2000-09-01,3.0303
2000-10-01,2.80043
2000-11-01,3.09699
2000-12-01,2.5904
2001-01-01,3.00767
2001-02-01,2.71903
2001-03-01,2.61739
2001-04-01,3.2034
2001-05-01,3.32163
2001-06-01,2.7244
2001-07-01,2.74225
2001-08-01,2.54275
2001-09-01,2.54225
2001-10-01,2.45168
2001-11-01,1.97482
2001-12-01,1.98452
2002-01-01,2.16963
2002-02-01,1.86641
2002-03-01,1.86275
2002-04-01,1.7561
2002-05-01,1.85005
2002-06-01,1.74927
2002-07-01,1.5534
2002-08-01,1.94553
2002-09-01,1.64889
2002-10-01,1.74419
2002-11-01,1.74588
2002-12-01,1.8393
2003-01-01,1.73745
2003-02-01,1.73578
2003-03-01,1.82868
2003-04-01,1.34228
2003-05-01,1.05163
2003-06-01,1.14613
2003-07-01,1.14723
2003-08-01,1.24046
2003-09-01,1.4313
2003-10-01,1.04762
2003-11-01,1.3346
2003-12-01,1.23574
2004-01-01,1.13852
2004-02-01,1.4218
2004-03-01,1.51229
2004-04-01,1.60833
2004-05-01,2.08136
2004-06-01,2.26629
2004-07-01,2.17391
2004-08-01,2.26202
2004-09-01,2.06961
2004-10-01,2.63902
2004-11-01,2.63406
2004-12-01,2.9108
2005-01-01,2.90807
2005-02-01,2.83342
2005-03-01,2.96525
2005-04-01,2.75932
2005-05-01,2.38563
2005-06-01,2.3138
2005-07-01,2.4008
2005-08-01,2.02328
2005-09-01,2.22713
2005-10-01,1.95318
2005-11-01,1.4622
2005-12-01,1.40292
2006-01-01,1.20968
2006-02-01,1.20603
2006-03-01,1.0
2006-04-01,1.70341
2006-05-01,1.7017
2006-06-01,1.49701
2006-07-01,1.4985
2006-08-01,1.7982
2006-09-01,1.39581
2006-10-01,1.19522
2006-11-01,1.5984
2006-12-01,1.49254
2007-01-01,1.59363
2007-02-01,1.58888
2007-03-01,1.78218
2007-04-01,1.7734
2007-05-01,1.9685
2007-06-01,1.96657
2007-07-01,2.06693
2007-08-01,1.6683
2007-09-01,2.0649
2007-10-01,2.75591
2007-11-01,3.14651
2007-12-01,3.62745
2008-01-01,3.23529
2008-02-01,3.22581
2008-03-01,3.50195
2008-04-01,3.29138
2008-05-01,3.66795
2008-06-01,3.85728
2008-07-01,3.76085
2008-08-01,3.66795
2008-09-01,3.75723
2008-10-01,3.06513
2008-11-01,2.28789
2008-12-01,1.3245
2009-01-01,1.23457
2009-02-01,1.32576
2009-03-01,0.75188
2009-04-01,0.65605
2009-05-01,0.27933
2009-06-01,-0.09285
2009-07-01,-0.27881
2009-08-01,0.27933
2009-09-01,0.09285
2009-10-01,0.18587
2009-11-01,0.65238
2009-12-01,1.02708
2010-01-01,1.21951
2010-02-01,1.02804
2010-03-01,1.95896
2010-04-01,2.04842
2010-05-01,1.85701
2010-06-01,1.95167
2010-07-01,1.86393
2010-08-01,1.67131
2010-09-01,1.85529
2010-10-01,2.13358
2010-11-01,1.85185
2010-12-01,2.31054
2011-01-01,2.50232
2011-02-01,3.02177
2011-03-01,3.09295
2011-04-01,3.31033
2011-05-01,3.31597
2011-06-01,3.31597
2011-07-01,3.4937
2011-08-01,3.50468
2011-09-01,3.62081
2011-10-01,3.43792
2011-11-01,3.6315
2011-12-01,3.17404
2012-01-01,2.77228
2012-02-01,2.55654
2012-03-01,2.42954
2012-04-01,2.32108
2012-05-01,2.1256
2012-06-01,2.22222
2012-07-01,2.12972
2012-08-01,2.22222
2012-09-01,2.6949
2012-10-01,2.78846
2012-11-01,2.78578
2012-12-01,2.78044
2013-01-01,2.6975
2013-02-01,2.49281
2013-03-01,2.27704
2013-04-01,1.98488
2013-05-01,2.27058
2013-06-01,2.17391
2013-07-01,1.99052
2013-08-01,1.79584
2013-09-01,1.68697
2013-10-01,1.40318
2013-11-01,1.40187
2013-12-01,1.86567
2014-01-01,1.59475
2014-02-01,1.49673
2014-03-01,1.66976
2014-04-01,1.66821
2014-05-01,1.75763
2014-06-01,1.85014
2014-07-01,1.7658
2014-08-01,1.67131
2014-09-01,1.56682
2014-10-01,1.56827
2014-11-01,1.65899
2014-12-01,1.00733
2015-01-01,0.73869
2015-02-01,0.85894
2015-03-01,0.9572
2015-04-01,1.0669
2015-05-01,0.99244
2015-06-01,1.00121
2015-07-01,1.15044
2015-08-01,0.94835
2015-09-01,0.70874
2015-10-01,0.69971
2015-11-01,0.61744
2015-12-01,1.0187
2016-01-01,1.21704
2016-02-01,1.01112
2016-03-01,0.7
2016-04-01,0.499
2016-05-01,0.59761
2016-06-01,0.59701
2016-07-01,0.5994
2016-08-01,0.6006
2016-09-01,0.89731
2016-10-01,1.29741
2016-11-01,1.29611
2016-12-01,1.39027
2017-01-01,2.00401
2017-02-01,2.2022
2017-03-01,1.88679
2017-04-01,2.0854
2017-05-01,1.88119
2017-06-01,1.87933
2017-07-01,1.9861
2017-08-01,2.08955
2017-09-01,2.37154
2017-10-01,2.16749
2017-11-01,2.26378
2017-12-01,2.15475
2018-01-01,1.76817
2018-02-01,1.76298
2018-03-01,1.85185
2018-04-01,1.84825
2018-05-01,1.94364
2018-06-01,2.03884
2018-07-01,2.14216
2018-08-01,2.24172
2018-09-01,2.02703
2018-10-01,2.21794
2018-11-01,2.21367
2018-12-01,1.91755
2019-01-01,1.83398
2019-02-01,1.53994
2019-03-01,1.81818
2019-04-01,1.7192
2019-05-01,1.71592
2019-06-01,1.61751
2019-07-01,1.42993
2019-08-01,1.52526
2019-09-01,1.2299
2019-10-01,1.13208
2019-11-01,1.12994
2019-12-01,1.69332
2020-01-01,1.99052
2020-02-01,2.09302
2020-03-01,1.53436
2020-04-01,1.43903
2020-05-01,0.64079
2020-06-01,1.05283
2020-07-01,1.636
2020-08-01,1.33749
2020-09-01,1.26821
2020-10-01,1.28103
2020-11-01,1.19312
2020-12-01,1.13807
2021-01-01,0.80402
2021-02-01,1.20482
2021-03-01,2.002
2021-04-01,1.9019
2021-05-01,2.81974
2021-06-01,2.80561
2021-07-01,2.9
2021-08-01,3.20641
2021-09-01,3.29341
2021-10-01,3.68526
2021-11-01,4.27861
2021-12-01,4.25322
2022-01-01,4.98505
2022-02-01,5.75397
2022-03-01,6.77135
2022-04-01,7.17092
2022-05-01,7.73751
2022-06-01,8.67446
2022-07-01,9.42663
2022-08-01,9.32039
2022-09-01,10.62802
2022-10-01,11.04707
2022-11-01,10.5916
2022-12-01,10.1518
