Date,Data
2000-01-01,0.44805
2000-02-01,0.93123
2000-03-01,1.03253
2000-04-01,0.7204
2000-05-01,1.00897
2000-06-01,0.8415
2000-07-01,0.80254
2000-08-01,0.87233
2000-09-01,0.87003
2000-10-01,0.97285
2000-11-01,1.30711
2000-12-01,0.97715
2001-01-01,1.50493
2001-02-01,1.39361
2001-03-01,1.65591
2001-04-01,2.63026
2001-05-01,2.83593
2001-06-01,2.70632
2001-07-01,2.66923
2001-08-01,2.85187
2001-09-01,2.98832
2001-10-01,2.48677
2001-11-01,2.46632
2001-12-01,2.65925
2002-01-01,2.71303
2002-02-01,2.589
2002-03-01,2.70985
2002-04-01,2.26685
2002-05-01,1.83848
2002-06-01,1.83743
2002-07-01,1.9967
2002-08-01,1.80493
2002-09-01,1.72318
2002-10-01,2.32982
2002-11-01,2.04294
2002-12-01,2.08194
2003-01-01,2.66369
2003-02-01,3.32158
2003-03-01,2.96953
2003-04-01,2.16165
2003-05-01,1.77971
2003-06-01,1.6469
2003-07-01,1.65644
2003-08-01,1.56738
2003-09-01,1.5337
2003-10-01,1.27456
2003-11-01,1.31043
2003-12-01,1.2724
2004-01-01,0.72474
2004-02-01,-0.39871
2004-03-01,-0.16081
2004-04-01,0.21518
2004-05-01,0.58167
2004-06-01,0.42126
2004-07-01,0.61782
2004-08-01,0.52765
2004-09-01,0.53102
2004-10-01,0.76013
2004-11-01,0.39164
2004-12-01,0.28
2005-01-01,-0.02518
2005-02-01,0.68881
2005-03-01,0.13244
2005-04-01,0.25766
2005-05-01,0.07853
2005-06-01,0.55215
2005-07-01,0.33035
2005-08-01,0.64351
2005-09-01,0.59959
2005-10-01,0.48039
2005-11-01,0.81601
2005-12-01,0.8842
2006-01-01,0.61175
2006-02-01,0.60888
2006-03-01,1.12243
2006-04-01,1.48487
2006-05-01,1.57303
2006-06-01,1.50829
2006-07-01,1.71075
2006-08-01,1.58243
2006-09-01,1.47941
2006-10-01,1.31034
2006-11-01,1.6827
2006-12-01,1.6358
2007-01-01,1.93855
2007-02-01,1.97579
2007-03-01,1.92301
2007-04-01,1.92389
2007-05-01,1.65754
2007-06-01,1.8512
2007-07-01,1.86495
2007-08-01,1.76876
2007-09-01,2.18851
2007-10-01,2.71961
2007-11-01,3.25385
2007-12-01,3.45285
2008-01-01,3.19638
2008-02-01,3.10351
2008-03-01,3.40929
2008-04-01,3.34035
2008-05-01,3.85864
2008-06-01,4.18348
2008-07-01,4.13486
2008-08-01,4.34332
2008-09-01,4.37222
2008-10-01,3.98503
2008-11-01,2.47168
2008-12-01,0.90105
2009-01-01,1.27839
2009-02-01,0.88373
2009-03-01,0.21465
2009-04-01,-0.07012
2009-05-01,-0.71844
2009-06-01,-0.95008
2009-07-01,-1.20414
2009-08-01,-1.16895
2009-09-01,-1.87164
2009-10-01,-1.78034
2009-11-01,-0.9932
2009-12-01,0.57527
2010-01-01,0.31221
2010-02-01,0.89277
2010-03-01,0.84672
2010-04-01,0.70507
2010-05-01,1.15247
2010-06-01,0.92577
2010-07-01,1.08115
2010-08-01,0.87787
2010-09-01,1.41631
2010-10-01,1.48607
2010-11-01,1.84636
2010-12-01,2.3378
2011-01-01,2.45641
2011-02-01,2.46499
2011-03-01,2.91375
2011-04-01,3.34141
2011-05-01,3.34183
2011-06-01,3.07967
2011-07-01,3.34828
2011-08-01,3.37463
2011-09-01,3.22783
2011-10-01,2.90236
2011-11-01,2.80441
2011-12-01,2.28765
2012-01-01,1.86183
2012-02-01,1.91546
2012-03-01,1.51237
2012-04-01,1.30041
2012-05-01,1.02878
2012-06-01,1.01838
2012-07-01,0.67496
2012-08-01,0.74543
2012-09-01,0.4467
2012-10-01,0.3733
2012-11-01,-0.10823
2012-12-01,-0.05401
2013-01-01,0.0481
2013-02-01,-0.16883
2013-03-01,-0.04765
2013-04-01,-0.46277
2013-05-01,-0.21889
2013-06-01,-0.14629
2013-07-01,0.10216
2013-08-01,0.09249
2013-09-01,0.07624
2013-10-01,-0.0604
2013-11-01,0.12109
2013-12-01,0.13668
2014-01-01,-0.19551
2014-02-01,-0.22017
2014-03-01,-0.62609
2014-04-01,-0.04458
2014-05-01,-0.15578
2014-06-01,0.22612
2014-07-01,0.03827
2014-08-01,-0.15613
2014-09-01,-0.38089
2014-10-01,-0.12087
2014-11-01,-0.20369
2014-12-01,-0.31425
2015-01-01,-0.20553
2015-02-01,0.07355
2015-03-01,0.16311
2015-04-01,-0.23257
2015-05-01,0.0605
2015-06-01,-0.43534
2015-07-01,-0.07651
2015-08-01,-0.17233
2015-09-01,0.06691
2015-10-01,0.08598
2015-11-01,0.06059
2015-12-01,0.05095
2016-01-01,0.76589
2016-02-01,0.38667
2016-03-01,0.80143
2016-04-01,0.79193
2016-05-01,0.62691
2016-06-01,1.02448
2016-07-01,1.05287
2016-08-01,1.14127
2016-09-01,0.90747
2016-10-01,1.18044
2016-11-01,1.38645
2016-12-01,1.74087
2017-01-01,1.39559
2017-02-01,1.77946
2017-03-01,1.26069
2017-04-01,1.86922
2017-05-01,1.74884
2017-06-01,1.71542
2017-07-01,2.19746
2017-08-01,2.14931
2017-09-01,2.11732
2017-10-01,1.69182
2017-11-01,1.86734
2017-12-01,1.73611
2018-01-01,1.57795
2018-02-01,1.60761
2018-03-01,1.9019
2018-04-01,1.72918
2018-05-01,1.90216
2018-06-01,2.06541
2018-07-01,2.05135
2018-08-01,1.99579
2018-09-01,2.32371
2018-10-01,2.26978
2018-11-01,1.96272
2018-12-01,2.04163
2019-01-01,1.87591
2019-02-01,1.89307
2019-03-01,1.85106
2019-04-01,2.14308
2019-05-01,2.16251
2019-06-01,1.78017
2019-07-01,1.65592
2019-08-01,1.44404
2019-09-01,1.45256
2019-10-01,1.60861
2019-11-01,1.80387
2019-12-01,1.75069
2020-01-01,1.29657
2020-02-01,1.04223
2020-03-01,0.63896
2020-04-01,-0.36216
2020-05-01,-0.01194
2020-06-01,0.70858
2020-07-01,0.5271
2020-08-01,0.80146
2020-09-01,0.39292
2020-10-01,0.27675
2020-11-01,0.19027
2020-12-01,0.49159
2021-01-01,1.58344
2021-02-01,1.35737
2021-03-01,1.68608
2021-04-01,2.24392
2021-05-01,1.83034
2021-06-01,1.33001
2021-07-01,1.38045
2021-08-01,2.05299
2021-09-01,2.51134
2021-10-01,2.81034
2021-11-01,3.273
2021-12-01,3.86928
2022-01-01,3.68837
2022-02-01,4.29191
2022-03-01,5.9669
2022-04-01,6.36073
2022-05-01,7.26601
2022-06-01,8.681
2022-07-01,8.48844
2022-08-01,9.83168
2022-09-01,10.83762
2022-10-01,10.85325
2022-11-01,11.46453
2022-12-01,12.33864
