Date,Belgium,Denmark,Germany,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97
2000-02,28.09,28.09,28.09,28.09,28.09,28.09,28.09,28.09,28.09,28.09,28.09,28.09
2000-03,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77
2000-04,23.89,23.89,23.89,23.89,23.89,23.89,23.89,23.89,23.89,23.89,23.89,23.89
2000-05,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31
2000-06,30.57,30.57,30.57,30.57,30.57,30.57,30.57,30.57,30.57,30.57,30.57,30.57
2000-07,26.93,26.93,26.93,26.93,26.93,26.93,26.93,26.93,26.93,26.93,26.93,26.93
2000-08,31.72,31.72,31.72,31.72,31.72,31.72,31.72,31.72,31.72,31.72,31.72,31.72
2000-09,29.84,29.84,29.84,29.84,29.84,29.84,29.84,29.84,29.84,29.84,29.84,29.84
2000-10,30.76,30.76,30.76,30.76,30.76,30.76,30.76,30.76,30.76,30.76,30.76,30.76
2000-11,31.88,31.88,31.88,31.88,31.88,31.88,31.88,31.88,31.88,31.88,31.88,31.88
2000-12,23.87,23.87,23.87,23.87,23.87,23.87,23.87,23.87,23.87,23.87,23.87,23.87
2001-01,26.66,26.66,26.66,26.66,26.66,26.66,26.66,26.66,26.66,26.66,26.66,26.66
2001-02,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57
2001-03,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74
2001-04,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89
2001-05,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34
2001-06,26.08,26.08,26.08,26.08,26.08,26.08,26.08,26.08,26.08,26.08,26.08,26.08
2001-07,24.69,24.69,24.69,24.69,24.69,24.69,24.69,24.69,24.69,24.69,24.69,24.69
2001-08,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41
2001-09,23.26,23.26,23.26,23.26,23.26,23.26,23.26,23.26,23.26,23.26,23.26,23.26
2001-10,20.37,20.37,20.37,20.37,20.37,20.37,20.37,20.37,20.37,20.37,20.37,20.37
2001-11,19.14,19.14,19.14,19.14,19.14,19.14,19.14,19.14,19.14,19.14,19.14,19.14
2001-12,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9
2002-01,19.18,19.18,19.18,19.18,19.18,19.18,19.18,19.18,19.18,19.18,19.18,19.18
2002-02,21.33,21.33,21.33,21.33,21.33,21.33,21.33,21.33,21.33,21.33,21.33,21.33
2002-03,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92
2002-04,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47
2002-05,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.45
2002-06,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58
2002-07,25.44,25.44,25.44,25.44,25.44,25.44,25.44,25.44,25.44,25.44,25.44,25.44
2002-08,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47
2002-09,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75
2002-10,25.72,25.72,25.72,25.72,25.72,25.72,25.72,25.72,25.72,25.72,25.72,25.72
2002-11,25.16,25.16,25.16,25.16,25.16,25.16,25.16,25.16,25.16,25.16,25.16,25.16
2002-12,28.66,28.66,28.66,28.66,28.66,28.66,28.66,28.66,28.66,28.66,28.66,28.66
2003-01,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1
2003-02,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79
2003-03,27.18,27.18,27.18,27.18,27.18,27.18,27.18,27.18,27.18,27.18,27.18,27.18
2003-04,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68
2003-05,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32
2003-06,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33
2003-07,28.37,28.37,28.37,28.37,28.37,28.37,28.37,28.37,28.37,28.37,28.37,28.37
2003-08,29.49,29.49,29.49,29.49,29.49,29.49,29.49,29.49,29.49,29.49,29.49,29.49
2003-09,27.61,27.61,27.61,27.61,27.61,27.61,27.61,27.61,27.61,27.61,27.61,27.61
2003-10,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7
2003-11,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45
2003-12,30.17,30.17,30.17,30.17,30.17,30.17,30.17,30.17,30.17,30.17,30.17,30.17
2004-01,29.18,29.18,29.18,29.18,29.18,29.18,29.18,29.18,29.18,29.18,29.18,29.18
2004-02,32.23,32.23,32.23,32.23,32.23,32.23,32.23,32.23,32.23,32.23,32.23,32.23
2004-03,31.51,31.51,31.51,31.51,31.51,31.51,31.51,31.51,31.51,31.51,31.51,31.51
2004-04,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48
2004-05,36.58,36.58,36.58,36.58,36.58,36.58,36.58,36.58,36.58,36.58,36.58,36.58
2004-06,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5
2004-07,40.03,40.03,40.03,40.03,40.03,40.03,40.03,40.03,40.03,40.03,40.03,40.03
2004-08,39.61,39.61,39.61,39.61,39.61,39.61,39.61,39.61,39.61,39.61,39.61,39.61
2004-09,46.38,46.38,46.38,46.38,46.38,46.38,46.38,46.38,46.38,46.38,46.38,46.38
2004-10,48.98,48.98,48.98,48.98,48.98,48.98,48.98,48.98,48.98,48.98,48.98,48.98
2004-11,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51
2004-12,40.46,40.46,40.46,40.46,40.46,40.46,40.46,40.46,40.46,40.46,40.46,40.46
2005-01,45.92,45.92,45.92,45.92,45.92,45.92,45.92,45.92,45.92,45.92,45.92,45.92
2005-02,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06
2005-03,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29
2005-04,51.09,51.09,51.09,51.09,51.09,51.09,51.09,51.09,51.09,51.09,51.09,51.09
2005-05,50.73,50.73,50.73,50.73,50.73,50.73,50.73,50.73,50.73,50.73,50.73,50.73
2005-06,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58
2005-07,59.37,59.37,59.37,59.37,59.37,59.37,59.37,59.37,59.37,59.37,59.37,59.37
2005-08,67.02,67.02,67.02,67.02,67.02,67.02,67.02,67.02,67.02,67.02,67.02,67.02
2005-09,63.48,63.48,63.48,63.48,63.48,63.48,63.48,63.48,63.48,63.48,63.48,63.48
2005-10,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1
2005-11,55.05,55.05,55.05,55.05,55.05,55.05,55.05,55.05,55.05,55.05,55.05,55.05
2005-12,58.98,58.98,58.98,58.98,58.98,58.98,58.98,58.98,58.98,58.98,58.98,58.98
2006-01,65.99,65.99,65.99,65.99,65.99,65.99,65.99,65.99,65.99,65.99,65.99,65.99
2006-02,61.76,61.76,61.76,61.76,61.76,61.76,61.76,61.76,61.76,61.76,61.76,61.76
2006-03,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91
2006-04,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
2006-05,70.41,70.41,70.41,70.41,70.41,70.41,70.41,70.41,70.41,70.41,70.41,70.41
2006-06,73.51,73.51,73.51,73.51,73.51,73.51,73.51,73.51,73.51,73.51,73.51,73.51
2006-07,75.15,75.15,75.15,75.15,75.15,75.15,75.15,75.15,75.15,75.15,75.15,75.15
2006-08,70.25,70.25,70.25,70.25,70.25,70.25,70.25,70.25,70.25,70.25,70.25,70.25
2006-09,62.48,62.48,62.48,62.48,62.48,62.48,62.48,62.48,62.48,62.48,62.48,62.48
2006-10,59.03,59.03,59.03,59.03,59.03,59.03,59.03,59.03,59.03,59.03,59.03,59.03
2006-11,64.26,64.26,64.26,64.26,64.26,64.26,64.26,64.26,64.26,64.26,64.26,64.26
2006-12,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86
2007-01,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4
2007-02,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89
2007-03,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1
2007-04,67.65,67.65,67.65,67.65,67.65,67.65,67.65,67.65,67.65,67.65,67.65,67.65
2007-05,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04
2007-06,71.41,71.41,71.41,71.41,71.41,71.41,71.41,71.41,71.41,71.41,71.41,71.41
2007-07,77.05,77.05,77.05,77.05,77.05,77.05,77.05,77.05,77.05,77.05,77.05,77.05
