Date,Data
2000-01-01,14992.53
2000-02-01,16302.55
2000-03-01,16685.79
2000-04-01,17734.5
2000-05-01,15833.28
2000-06-01,15205.1
2000-07-01,13936.4
2000-08-01,14128.9
2000-09-01,13043.65
2000-10-01,13438.66
2000-11-01,13087.05
2000-12-01,13033.74
2001-01-01,11076.69
2001-02-01,8098.07
2001-03-01,8342.77
2001-04-01,10663.12
2001-05-01,10081.43
2001-06-01,8398.53
2001-07-01,7898.26
2001-08-01,6317.08
2001-09-01,6143.71
2001-10-01,7522.54
2001-11-01,8234.13
2001-12-01,8805.01
2002-01-01,8484.76
2002-02-01,8177.53
2002-03-01,8155.96
2002-04-01,6849.2
2002-05-01,6351.52
2002-06-01,6051.87
2002-07-01,5338.3
2002-08-01,5525.36
2002-09-01,5200.23
2002-10-01,6048.64
2002-11-01,6790.33
2002-12-01,5725.36
2003-01-01,5267.69
2003-02-01,5002.44
2003-03-01,4984.15
2003-04-01,5589.24
2003-05-01,5602.82
2003-06-01,5521.61
2003-07-01,5552.13
2003-08-01,5973.78
2003-09-01,5633.85
2003-10-01,6189.31
2003-11-01,6341.78
2003-12-01,6027.01
2004-01-01,6696.49
2004-02-01,7001.11
2004-03-01,6725.47
2004-04-01,5766.16
2004-05-01,5599.11
2004-06-01,5856.23
2004-07-01,5426.49
2004-08-01,5438.67
2004-09-01,5782.64
2004-10-01,6104.4
2004-11-01,6390.48
2004-12-01,6228.11
2005-01-01,6314.22
2005-02-01,6679.89
2005-03-01,6594.54
2005-04-01,6509.33
2005-05-01,6990.17
2005-06-01,7241.04
2005-07-01,7353.84
2005-08-01,7357.47
2005-09-01,7869.94
2005-10-01,7525.63
2005-11-01,7724.02
2005-12-01,8166.9
2006-01-01,8452.09
2006-02-01,8883.22
2006-03-01,9404.89
2006-04-01,9472.33
2006-05-01,8770.91
2006-06-01,8617.97
2006-07-01,8584.78
2006-08-01,8899.87
2006-09-01,8856.39
2006-10-01,9198.06
2006-11-01,9248.03
2006-12-01,9625.37
2007-01-01,10054.05
2007-02-01,9985.26
2007-03-01,10313.0
2007-04-01,10818.23
2007-05-01,11443.58
2007-06-01,11346.87
2007-07-01,11280.69
2007-08-01,11637.31
2007-09-01,12290.15
2007-10-01,12525.87
2007-11-01,11910.56
2007-12-01,11598.42
2008-01-01,10518.03
2008-02-01,10656.4
2008-03-01,9757.66
2008-04-01,9729.21
2008-05-01,9783.65
2008-06-01,8576.92
2008-07-01,8480.36
2008-08-01,8502.66
2008-09-01,6936.73
2008-10-01,6156.12
2008-11-01,5599.92
2008-12-01,5403.52
2009-01-01,5105.65
2009-02-01,4395.43
2009-03-01,4601.24
2009-04-01,5606.79
2009-05-01,5791.54
2009-06-01,5607.68
2009-07-01,5751.47
2009-08-01,6230.62
2009-09-01,6368.82
2009-10-01,5952.96
2009-11-01,6104.17
2009-12-01,6456.13
2010-01-01,6704.05
2010-02-01,6680.45
2010-03-01,7297.79
2010-04-01,6997.54
2010-05-01,6490.4
2010-06-01,6251.04
2010-07-01,6637.69
2010-08-01,6527.67
2010-09-01,7095.68
2010-10-01,7227.84
2010-11-01,7071.95
2010-12-01,7661.9
2011-01-01,7786.88
2011-02-01,7471.45
2011-03-01,7519.83
2011-04-01,7518.94
2011-05-01,7131.87
2011-06-01,6716.62
2011-07-01,6156.58
2011-08-01,5767.82
2011-09-01,5271.79
2011-10-01,5728.4
2011-11-01,5575.2
2011-12-01,5355.06
2012-01-01,5764.72
2012-02-01,6135.0
2012-03-01,6035.35
2012-04-01,5650.41
2012-05-01,4986.13
2012-06-01,5073.44
2012-07-01,5225.1
2012-08-01,5334.57
2012-09-01,5465.55
2012-10-01,5501.69
2012-11-01,5670.27
2012-12-01,5801.29
