Date,Belgium,Denmark,Germany,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,0.0,73.9,84.96467,74.0,82.6,79.6,73.3,84.89748,81.4,94.8,82.84931,70.49313
2000-02,0.0,74.2,85.22318,74.3,83.1,79.9,74.1,85.09087,81.8,96.7,82.9589,71.24764
2000-03,0.0,74.6,85.39552,74.9,83.5,80.3,74.7,85.28426,82.1,97.4,82.73972,71.6249
2000-04,0.0,74.8,85.56787,75.3,83.8,80.3,75.2,85.38096,82.6,97.8,82.63013,71.46322
2000-05,0.0,75.4,85.91255,75.8,84.3,80.6,76.3,85.76773,83.2,97.7,83.0685,71.73269
2000-06,0.0,75.8,86.08489,75.8,84.7,80.9,76.5,86.15451,84.0,98.0,83.39726,72.32552
2000-07,0.0,76.0,86.34341,76.4,85.0,81.1,77.0,86.15451,84.5,98.4,83.50685,72.16383
2000-08,0.0,76.3,86.51575,76.2,85.3,81.2,77.6,86.44459,84.7,97.9,83.83562,71.94827
2000-09,0.0,76.8,87.03278,77.5,86.1,81.8,79.0,87.41153,85.3,98.7,84.38356,72.59499
2000-10,0.0,77.1,87.11895,78.2,86.8,81.9,79.5,87.41153,85.8,99.1,85.0411,72.70277
2000-11,0.0,77.0,87.11895,78.2,86.9,81.9,79.5,87.41153,85.7,99.1,85.58904,72.70277
2000-12,0.0,76.1,86.86044,77.9,86.5,81.7,78.1,87.12145,84.8,98.5,85.26028,72.37941
2001-01,75.0,76.5,86.86044,77.1,86.4,81.7,77.7,86.83137,84.2,98.1,85.0411,72.64888
2001-02,74.8,77.0,87.03278,77.4,86.6,81.8,78.1,86.73467,84.0,96.5,84.71233,72.64888
2001-03,74.6,77.6,87.20512,77.5,86.5,81.8,78.1,86.54128,83.7,95.9,84.60274,72.4872
2001-04,74.8,77.9,87.37746,77.5,86.8,82.1,78.3,86.73467,83.7,96.1,85.15069,73.08003
2001-05,75.1,78.0,87.5498,77.9,87.0,82.2,78.8,86.73467,83.7,96.1,84.82191,73.56508
2001-06,75.0,78.6,87.5498,77.8,87.3,82.3,78.4,86.83137,83.1,95.7,85.0411,73.18782
2001-07,73.7,78.3,87.29129,77.9,87.1,82.1,77.6,86.63798,83.0,94.9,85.15069,72.4333
2001-08,73.3,78.3,87.20512,77.5,86.9,82.0,77.1,86.34789,83.7,94.4,84.9315,72.54109
2001-09,73.6,78.3,87.29129,77.5,86.7,82.0,77.2,86.34789,84.1,93.9,85.15069,73.08003
2001-10,72.5,78.1,87.03278,77.3,86.4,81.7,76.3,85.96112,83.6,93.3,85.36987,72.05605
2001-11,71.5,77.9,86.86044,77.0,86.1,81.6,75.6,85.67104,82.9,92.1,84.60274,71.51711
2001-12,70.9,77.8,86.6881,77.3,86.2,81.4,75.0,85.28426,82.5,91.9,84.38356,70.92428
2002-01,71.3,78.3,86.9466,76.9,86.3,81.8,74.8,85.38096,82.5,92.0,84.49315,70.97817
2002-02,71.2,77.9,86.9466,77.0,86.4,81.8,74.8,84.99418,82.6,91.9,84.27397,71.13985
2002-03,72.0,78.4,87.20512,77.6,86.8,82.1,75.4,85.47765,82.9,92.1,84.27397,71.57101
2002-04,73.5,78.7,87.37746,77.7,87.2,82.3,76.5,85.57434,83.1,92.3,84.38356,72.10995
2002-05,73.6,78.5,87.37746,77.8,87.2,82.3,76.4,85.57434,83.3,91.6,84.71233,71.94827
2002-06,73.2,78.7,87.29129,77.5,87.0,82.1,76.0,85.38096,83.5,91.6,84.49315,72.00216
2002-07,73.2,78.5,87.29129,78.0,87.2,82.2,76.4,85.28426,83.9,91.2,84.27397,72.00216
2002-08,73.6,78.8,87.37746,77.8,87.2,82.4,77.0,85.38096,84.3,91.0,84.71233,72.05605
2002-09,75.2,78.8,87.46363,78.1,87.3,82.7,77.6,85.67104,84.6,91.1,84.38356,72.75667
2002-10,76.1,79.1,87.5498,78.1,87.4,82.7,77.5,85.57434,84.6,90.7,84.27397,73.08003
2002-11,74.9,78.8,87.29129,77.7,87.0,82.4,76.5,85.18757,83.9,90.4,83.83562,72.54109
2002-12,75.5,78.8,87.37746,77.9,87.3,82.7,77.0,85.18757,83.9,90.4,83.72603,72.21773
2003-01,72.6,79.1,87.63597,78.2,87.5,83.0,77.8,85.57434,84.4,90.5,84.16438,73.13393
2003-02,73.7,79.2,87.89449,78.4,87.9,83.3,78.7,86.15451,85.0,90.2,84.71233,74.15791
2003-03,73.9,79.2,87.98066,78.6,88.1,83.3,78.5,86.15451,85.9,90.3,84.71233,74.75074
2003-04,72.9,78.3,87.72215,78.6,87.4,82.9,77.0,85.18757,85.3,88.8,84.16438,73.45729
2003-05,71.5,78.3,87.46363,78.0,86.9,82.6,76.2,85.18757,84.8,88.5,83.17809,73.18782
2003-06,71.6,78.2,87.37746,77.4,86.8,82.6,76.0,85.18757,85.0,88.2,82.84931,73.45729
2003-07,71.7,78.7,87.29129,78.1,87.1,82.7,75.9,84.99418,85.4,88.1,82.84931,73.51118
2003-08,72.1,78.8,87.29129,77.7,87.3,82.8,76.3,84.99418,85.5,88.3,82.9589,73.83455
2003-09,72.3,78.3,87.37746,78.5,87.3,82.8,76.3,84.89748,85.9,88.1,82.84931,73.88844
2003-10,72.6,78.7,87.37746,78.1,87.3,83.0,76.5,84.89748,86.5,88.0,82.30137,74.48127
2003-11,73.0,78.8,87.37746,78.4,87.5,83.0,76.8,84.99418,86.9,88.1,82.19178,74.2118
2003-12,72.7,78.1,87.29129,78.6,87.3,82.9,76.2,84.89748,86.9,88.0,81.9726,74.2118
2004-01,73.3,78.3,87.29129,78.3,87.5,83.1,76.5,85.38096,87.4,88.1,82.08219,74.85853
2004-02,73.4,78.3,87.37746,78.7,87.6,83.2,76.7,85.38096,87.9,88.0,82.41096,75.0741
2004-03,74.6,78.7,87.80832,79.7,88.0,83.9,77.7,85.67104,89.2,88.4,83.0685,75.61304
