Date,Belgium,Denmark,Germany,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,63.36635,29.00437,86.16582,90.96918,98.18359,144.1319,126.7168,52.22748,37.42764,168.4524,63.49685,62.86602
2000-02,59.25803,30.30514,95.00121,99.52238,105.3725,163.1723,130.1151,49.94258,40.91359,186.8952,71.26452,59.92387
2000-03,58.84153,32.45818,99.83437,103.1049,109.6896,171.7711,135.2574,50.26763,42.32998,201.3462,76.19941,61.62468
2000-04,60.86184,31.236,92.57018,97.02731,105.852,157.5129,129.8487,51.01256,38.63022,186.2153,69.66547,64.01819
2000-05,60.88674,31.8918,90.46495,93.01632,107.8977,160.9872,130.7838,51.02002,37.18262,193.2414,70.37416,63.33833
2000-06,61.51429,32.26035,90.39555,91.24404,110.947,163.849,133.062,51.10954,37.79189,195.2344,69.38798,64.33157
2000-07,63.36939,33.18173,89.34293,92.1908,110.7003,167.0109,133.1152,50.17065,37.70879,186.268,69.55367,64.67895
2000-08,66.01561,35.25753,88.97086,93.64934,111.967,165.8924,135.3163,52.39266,35.6067,157.3232,66.47136,65.96814
2000-09,64.76791,36.49055,87.19337,95.541,111.9686,166.7135,135.085,52.24026,34.35727,166.1511,67.38168,66.10835
2000-10,64.36908,37.34011,82.56457,92.05476,105.3168,161.3617,132.0456,50.25697,30.69032,144.9426,61.06933,64.02615
2000-11,65.38557,35.47297,81.7915,87.1729,105.4762,169.1019,132.7956,49.72837,31.70116,155.437,59.03508,63.94636
2000-12,63.59655,33.81314,76.86002,82.50945,100.8238,158.5365,125.5406,48.48042,33.28617,162.2772,56.8032,63.89025
2001-01,61.87188,35.51633,77.22632,86.51581,99.78284,156.3684,124.3433,48.97172,33.29037,141.3042,56.22227,64.42542
2001-02,62.64534,35.64235,76.47831,86.14192,97.40707,151.5658,122.2615,51.83849,31.71488,109.3558,54.01634,64.176
2001-03,59.72075,32.61942,70.57133,82.52055,90.1658,138.9981,113.1194,52.03565,28.35942,100.7941,48.74606,59.7594
2001-04,59.65748,31.62216,70.48458,84.12717,91.85268,143.5498,112.8517,52.21895,28.96539,107.0656,46.84158,60.09292
2001-05,58.92052,33.05165,72.59945,85.40247,95.85862,144.2442,117.7052,52.28503,29.31186,124.4895,50.30319,63.83125
2001-06,59.83569,33.33484,70.97619,82.31973,91.24416,136.5974,114.2312,52.92659,27.87567,105.7227,47.75988,62.47472
2001-07,60.78316,32.92293,68.39285,76.27362,86.31496,132.1443,108.6571,52.80616,25.55446,88.92118,45.37029,60.79872
2001-08,60.29904,32.09505,64.60268,75.81088,84.85224,130.5322,105.556,52.4662,24.2499,83.46908,44.69554,59.8657
2001-09,54.79095,27.9055,53.48083,66.7533,71.22739,107.0034,89.75757,49.59516,23.69608,70.70357,38.58082,54.59542
2001-10,55.07593,27.78626,55.64197,69.46864,73.33598,110.3981,90.67163,47.59908,24.52627,81.64747,40.24774,55.06464
2001-11,56.41118,28.04099,59.63264,75.58137,78.01146,115.0026,95.83777,47.62039,27.11355,96.55726,43.96888,56.99183
2001-12,56.92978,27.95698,60.74888,76.95477,78.71862,116.1578,95.82515,49.12198,26.7322,100.5473,45.80948,57.73238
2002-01,58.30643,28.48271,62.08489,74.38196,79.00004,117.0126,96.75744,49.75608,29.84613,99.27182,44.69154,57.62083
2002-02,58.52044,28.79842,59.86592,73.05761,76.41946,113.6489,95.69196,51.80759,29.49924,96.60756,43.05057,56.41106
2002-03,58.83235,29.74147,63.73899,76.87425,81.21696,121.5584,101.4707,53.1376,29.143,98.73758,45.16667,59.49042
2002-04,60.50978,28.76183,62.64397,76.64288,80.50818,122.218,101.3376,55.41503,28.89074,88.3754,42.96673,58.18821
2002-05,60.30441,28.47593,59.85628,75.57119,78.11144,117.0485,97.12475,56.1216,29.42684,78.35944,40.09003,57.0232
2002-06,55.65951,27.13046,54.31367,69.63985,70.79169,106.5378,87.74719,54.14576,29.12328,69.54119,35.80993,53.90807
2002-07,50.46426,25.56547,49.32436,63.6937,62.83196,98.24298,76.51348,52.26691,25.92157,66.35729,32.64377,48.25622
2002-08,48.67375,24.37581,45.62287,61.08294,61.03434,96.79765,72.30907,49.78699,25.13179,63.51255,30.68738,48.70765
2002-09,45.66006,23.50457,40.29811,57.92153,55.69793,90.55453,66.08588,48.7703,25.11923,63.45094,28.68907,46.76304
2002-10,43.1452,22.17941,37.23088,56.48798,53.45279,86.27762,64.64889,47.03318,25.66837,66.44199,27.27767,45.54277
2002-11,45.29103,22.62249,40.22485,61.28654,57.48641,92.76529,68.13271,48.79481,27.24659,74.32146,31.2204,47.87475
2002-12,44.32628,22.45854,38.59581,60.88396,56.35672,92.50199,65.92045,50.5948,27.86059,72.54532,30.5696,47.52485
2003-01,43.3736,22.69972,36.67373,60.64427,54.84589,90.022,63.23294,51.57846,27.84532,67.43886,29.43769,47.3499
2003-02,39.59827,20.94504,33.06863,57.52173,50.73352,86.63869,56.49944,51.64986,26.60943,60.64826,27.67893,44.37599
2003-03,37.23127,20.95182,31.58996,57.39771,48.53165,83.93863,53.08993,51.68716,26.54552,60.10012,27.41941,44.24553
2003-04,41.55531,23.12112,35.17,61.92512,51.73661,89.03839,57.50603,52.93298,27.34255,63.37979,28.62519,46.62976
2003-05,43.08878,24.10076,36.39034,61.86219,53.55896,91.99181,57.38546,56.97097,28.46058,65.10538,29.66527,49.36493
2003-06,44.52224,25.30261,39.18766,65.99349,56.33199,96.39812,60.61272,57.51768,30.08268,66.37732,30.84509,52.29276
2003-07,44.64574,25.43133,40.98829,67.31136,56.91606,95.32357,61.71744,58.33615,33.04101,66.2224,32.18262,52.14394
2003-08,46.63079,27.23885,42.4631,68.88836,58.97385,96.58044,64.52412,58.28074,37.32335,65.92118,33.85554,52.26897
2003-09,47.4041,29.31466,43.39233,69.20857,60.80991,98.29542,66.04102,59.48606,39.09353,69.09518,35.11921,53.80064
2003-10,47.92348,29.90813,43.40968,68.40527,60.81502,98.22433,64.75404,60.46652,39.70853,70.46984,35.41266,55.20531
2003-11,49.11064,29.79838,46.01037,70.77725,62.63467,101.7257,66.55973,62.78871,38.23267,74.39709,36.4208,56.13243
2003-12,49.45126,29.18323,47.69532,73.24178,63.89473,104.0496,66.67469,65.57768,39.29368,72.60363,36.90591,58.51985
2004-01,52.8262,31.20212,50.06466,77.07323,66.3772,105.7908,69.54025,70.96807,42.31043,77.51701,39.00005,61.47464
2004-02,55.50713,32.69801,50.18226,78.86771,67.63,106.323,70.65199,74.67569,44.08532,81.30112,40.77277,62.40279
2004-03,55.04503,32.65736,48.62262,78.01906,67.38299,105.3738,69.56128,76.49167,45.4156,81.43166,40.75082,61.57739
2004-04,56.52643,31.94736,49.86609,80.46045,68.79276,108.4726,70.9534,80.71296,47.41249,72.84572,41.94262,61.8445
2004-05,55.29437,30.9501,47.48711,77.11302,66.46671,106.0786,67.91961,77.79077,44.79163,65.83566,39.63088,59.72372
2004-06,56.1767,31.8647,48.68238,78.45496,67.85228,107.89,69.52763,79.87531,45.1861,67.52827,40.50527,61.33126
2004-07,56.23126,32.60858,47.50061,77.98019,66.76049,106.9152,68.11448,82.66748,45.53069,65.39825,40.03414,60.38981
2004-08,57.23149,32.60316,45.9294,75.93398,65.60526,104.1712,66.35085,82.68027,45.67309,63.31688,39.47517,59.49894
2004-09,60.27592,33.5435,47.64905,78.74741,67.48566,107.8987,68.47617,83.87174,47.95739,67.54842,40.92849,61.34568
2004-10,62.80355,34.09768,48.32766,81.236,68.06032,110.7677,68.62338,86.84509,48.31168,70.61722,41.90069,61.89985
2004-11,65.10752,34.61799,49.97405,83.88932,69.65716,114.8174,70.18935,91.2646,48.67455,74.6506,43.32607,64.97321
2004-12,67.45141,35.27108,51.29464,87.21176,70.15225,119.1043,71.43005,97.11538,50.08557,73.80877,43.94093,66.84936
2005-01,68.90534,36.12336,51.82673,89.1099,71.6784,122.7159,73.17827,100.5523,49.44448,73.39174,44.39609,66.09673
2005-02,71.73615,38.02708,53.03743,93.32728,74.36838,126.1795,77.02518,105.5452,52.35322,77.67204,45.83144,67.847
2005-03,72.6595,39.3563,53.24178,92.6378,75.58381,125.664,77.57334,108.7445,52.42727,78.71403,46.73577,68.08076
2005-04,72.82729,40.15573,52.37231,91.48559,74.97421,125.4793,75.56577,107.9207,51.40473,77.30143,46.97134,66.29041
2005-05,71.97398,39.74789,52.04265,92.72017,75.27122,123.7911,74.72741,107.2343,50.09062,80.36576,46.34849,66.47942
2005-06,73.16098,42.3047,54.81299,96.28323,78.19746,126.9499,78.90237,118.1249,53.22997,84.62392,48.44662,67.7982
2005-07,75.11312,43.93879,56.88544,99.4761,81.40564,130.5705,82.06234,122.8662,56.29217,86.7259,50.90608,69.14153
2005-08,77.48923,45.85471,58.80945,100.7829,83.10596,132.5326,82.43526,127.3849,59.38691,86.50007,51.80642,70.08316
2005-09,78.68144,46.69614,59.70398,104.9845,84.38403,135.9606,83.46708,133.4211,63.07279,90.15718,52.66084,71.01159
2005-10,79.13818,45.14742,59.60951,105.7573,83.93516,131.6987,82.69882,129.9564,62.1591,89.13028,52.96228,69.05574
2005-11,80.49631,46.15551,61.13445,104.7985,84.99443,132.4669,85.43259,133.5841,63.80412,90.89275,54.89672,71.1132
