Date,Belgium,Denmark,Germany,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,3.3431,3.716429,3.3431,3.3431,3.3431,3.3431,3.3431,3.3431,17.34,3.3431,3.57,5.95
2000-02,3.5368,3.933214,3.5368,3.5368,3.5368,3.5368,3.5368,3.5368,18.59,3.5368,3.9,6.01
2000-03,3.747,4.184783,3.747,3.747,3.747,3.747,3.747,3.747,18.3,3.747,4.06,6.14
2000-04,3.9253,4.3245,3.9253,3.9253,3.9253,3.9253,3.9253,3.9253,18.52,3.9253,3.99,6.28
2000-05,4.362,4.701304,4.362,4.362,4.362,4.362,4.362,4.362,18.42,4.362,3.96,6.71
2000-06,4.5017,5.141136,4.5017,4.5017,4.5017,4.5017,4.5017,4.5017,18.6,4.5017,3.94,6.73
2000-07,4.5829,5.775476,4.5829,4.5829,4.5829,4.5829,4.5829,4.5829,18.54,4.5829,4.03,6.67
2000-08,4.7771,5.6575,4.7771,4.7771,4.7771,4.7771,4.7771,4.7771,19.63,4.7771,4.0,6.61
2000-09,4.8528,6.097857,4.8528,4.8528,4.8528,4.8528,4.8528,4.8528,19.51,4.8528,3.94,6.6
2000-10,5.0413,5.552955,5.0413,5.0413,5.0413,5.0413,5.0413,5.0413,19.82,5.0413,3.99,6.67
2000-11,5.092,5.496136,5.092,5.092,5.092,5.092,5.092,5.092,19.78,5.092,4.0,6.65
2000-12,4.9392,5.385119,4.9392,4.9392,4.9392,4.9392,4.9392,4.9392,19.45,4.9392,4.07,6.45
2001-01,4.7707,5.343544,4.7707,4.7707,4.7707,4.7707,4.7707,4.7707,18.86,4.7707,4.07,5.62
2001-02,4.7558,5.272,4.7558,4.7558,4.7558,4.7558,4.7558,4.7558,18.29,4.7558,4.1,5.26
2001-03,4.7086,5.162159,4.7086,4.7086,4.7086,4.7086,4.7086,4.7086,17.37,4.7086,4.06,4.89
2001-04,4.682,5.112024,4.682,4.682,4.682,4.682,4.682,4.682,17.15,4.682,3.94,4.53
2001-05,4.6367,5.10913,4.6367,4.6367,4.6367,4.6367,4.6367,4.6367,17.16,4.6367,4.01,4.02
2001-06,4.4536,4.964167,4.4536,4.4536,4.4536,4.4536,4.4536,4.4536,16.09,4.4536,4.17,3.74
2001-07,4.4671,4.932386,4.4671,4.4671,4.4671,4.4671,4.4671,4.4671,15.49,4.4671,4.31,3.66
2001-08,4.3535,4.807717,4.3535,4.3535,4.3535,4.3535,4.3535,4.3535,15.42,4.3535,4.28,3.48
2001-09,3.9829,4.433375,3.9829,3.9829,3.9829,3.9829,3.9829,3.9829,14.56,3.9829,4.01,2.87
2001-10,3.5999,3.959565,3.5999,3.5999,3.5999,3.5999,3.5999,3.5999,13.84,3.5999,3.7,2.31
2001-11,3.3857,3.701023,3.3857,3.3857,3.3857,3.3857,3.3857,3.3857,12.45,3.3857,3.71,2.03
2001-12,3.3449,3.634881,3.3449,3.3449,3.3449,3.3449,3.3449,3.3449,11.91,3.3449,3.74,1.83
2002-01,3.3388,3.632935,3.3388,3.3388,3.3388,3.3388,3.3388,3.3388,10.64,3.3388,3.87,1.74
2002-02,3.3571,3.604625,3.3571,3.3571,3.3571,3.3571,3.3571,3.3571,10.22,3.3571,4.09,1.82
2002-03,3.3908,3.640476,3.3908,3.3908,3.3908,3.3908,3.3908,3.3908,10.34,3.3908,4.25,1.91
2002-04,3.4069,3.666818,3.4069,3.4069,3.4069,3.4069,3.4069,3.4069,10.1,3.4069,4.29,1.87
2002-05,3.4671,3.725543,3.4671,3.4671,3.4671,3.4671,3.4671,3.4671,9.6,3.4671,4.28,1.82
2002-06,3.464,3.733125,3.464,3.464,3.464,3.464,3.464,3.464,8.97,3.464,4.26,1.81
2002-07,3.41,3.677826,3.41,3.41,3.41,3.41,3.41,3.41,8.69,3.41,4.19,1.79
2002-08,3.3519,3.578977,3.3519,3.3519,3.3519,3.3519,3.3519,3.3519,8.33,3.3519,4.17,1.73
2002-09,3.3101,3.452262,3.3101,3.3101,3.3101,3.3101,3.3101,3.3101,7.73,3.3101,4.07,1.76
2002-10,3.2613,3.435865,3.2613,3.2613,3.2613,3.2613,3.2613,3.2613,7.02,3.2613,3.91,1.73
2002-11,3.1241,3.310833,3.1241,3.1241,3.1241,3.1241,3.1241,3.1241,6.76,3.1241,3.67,1.39
2002-12,2.941,3.065341,2.941,2.941,2.941,2.941,2.941,2.941,6.87,2.941,3.65,1.34
2003-01,2.8318,2.974783,2.8318,2.8318,2.8318,2.8318,2.8318,2.8318,6.47,2.8318,3.61,1.29
2003-02,2.6875,2.83425,2.6875,2.6875,2.6875,2.6875,2.6875,2.6875,6.27,2.6875,3.4,1.27
2003-03,2.53,2.66631,2.53,2.53,2.53,2.53,2.53,2.53,5.98,2.53,3.42,1.23
2003-04,2.5333,2.671364,2.5333,2.5333,2.5333,2.5333,2.5333,2.5333,5.91,2.5333,3.18,1.24
2003-05,2.4005,2.535227,2.4005,2.4005,2.4005,2.4005,2.4005,2.4005,5.4,2.4005,2.81,1.22
2003-06,2.1519,2.217381,2.1519,2.1519,2.1519,2.1519,2.1519,2.1519,5.32,2.1519,2.68,1.04
2003-07,2.13,2.177935,2.13,2.13,2.13,2.13,2.13,2.13,5.24,2.13,2.71,1.05
2003-08,2.1404,2.185,2.1404,2.1404,2.1404,2.1404,2.1404,2.1404,5.14,2.1404,2.71,1.08
2003-09,2.1473,2.186023,2.1473,2.1473,2.1473,2.1473,2.1473,2.1473,5.24,2.1473,2.73,1.08
2003-10,2.1436,2.195544,2.1436,2.1436,2.1436,2.1436,2.1436,2.1436,5.86,2.1436,2.72,1.1
2003-11,2.159,2.212625,2.159,2.159,2.159,2.159,2.159,2.159,5.83,2.159,2.7,1.11
2003-12,2.1463,2.223804,2.1463,2.1463,2.1463,2.1463,2.1463,2.1463,5.6,2.1463,2.6,1.1
2004-01,2.0895,2.194205,2.0895,2.0895,2.0895,2.0895,2.0895,2.0895,5.46,2.0895,2.46,1.06
2004-02,2.0705,2.17925,2.0705,2.0705,2.0705,2.0705,2.0705,2.0705,5.5,2.0705,2.36,1.05
2004-03,2.0288,2.144674,2.0288,2.0288,2.0288,2.0288,2.0288,2.0288,5.49,2.0288,2.02,1.05
2004-04,2.0488,2.168636,2.0488,2.0488,2.0488,2.0488,2.0488,2.0488,5.85,2.0488,1.99,1.08
2004-05,2.0859,2.195952,2.0859,2.0859,2.0859,2.0859,2.0859,2.0859,6.0,2.0859,1.98,1.2
2004-06,2.1127,2.209886,2.1127,2.1127,2.1127,2.1127,2.1127,2.1127,6.05,2.1127,1.99,1.46
2004-07,2.116,2.218295,2.116,2.116,2.116,2.116,2.116,2.116,6.41,2.116,1.99,1.57
2004-08,2.1143,2.20875,2.1143,2.1143,2.1143,2.1143,2.1143,2.1143,7.0,2.1143,2.0,1.68
2004-09,2.1186,2.210795,2.1186,2.1186,2.1186,2.1186,2.1186,2.1186,6.91,2.1186,1.99,1.86
2004-10,2.1473,2.205714,2.1473,2.1473,2.1473,2.1473,2.1473,2.1473,6.84,2.1473,1.99,2.04
2004-11,2.1703,2.206364,2.1703,2.1703,2.1703,2.1703,2.1703,2.1703,6.77,2.1703,2.0,2.26
2004-12,2.1732,2.198044,2.1732,2.1732,2.1732,2.1732,2.1732,2.1732,6.64,2.1732,2.0,2.45
2005-01,2.1454,2.195833,2.1454,2.1454,2.1454,2.1454,2.1454,2.1454,6.61,2.1454,1.97,2.61
2005-02,2.1383,2.189375,2.1383,2.1383,2.1383,2.1383,2.1383,2.1383,6.31,2.1383,1.97,2.77
2005-03,2.1372,2.186196,2.1372,2.1372,2.1372,2.1372,2.1372,2.1372,5.91,2.1372,1.99,2.97
2005-04,2.1372,2.180948,2.1372,2.1372,2.1372,2.1372,2.1372,2.1372,5.59,2.1372,1.9,3.09
2005-05,2.1256,2.17585,2.1256,2.1256,2.1256,2.1256,2.1256,2.1256,5.44,2.1256,1.65,3.22
2005-06,2.111,2.160909,2.111,2.111,2.111,2.111,2.111,2.111,4.9,2.111,1.48,3.38
2005-07,2.1194,2.162781,2.1194,2.1194,2.1194,2.1194,2.1194,2.1194,4.67,2.1194,1.48,3.57
2005-08,2.1325,2.172909,2.1325,2.1325,2.1325,2.1325,2.1325,2.1325,4.6,2.1325,1.47,3.77
2005-09,2.1391,2.176586,2.1391,2.1391,2.1391,2.1391,2.1391,2.1391,4.5,2.1391,1.49,3.87
2005-10,2.1966,2.217781,2.1966,2.1966,2.1966,2.1966,2.1966,2.1966,4.62,2.1966,1.51,4.13
2005-11,2.3609,2.390768,2.3609,2.3609,2.3609,2.3609,2.3609,2.3609,4.63,2.3609,1.69,4.31
2005-12,2.4729,2.481,2.4729,2.4729,2.4729,2.4729,2.4729,2.4729,4.6,2.4729,1.83,4.45
2006-01,2.5117,2.524641,2.5117,2.5117,2.5117,2.5117,2.5117,2.5117,4.4,2.5117,1.93,4.56
2006-02,2.6004,2.65741,2.6004,2.6004,2.6004,2.6004,2.6004,2.6004,4.16,2.6004,1.96,4.72
2006-03,2.7226,2.847674,2.7226,2.7226,2.7226,2.7226,2.7226,2.7226,4.17,2.7226,2.05,4.88
2006-04,2.7938,2.917925,2.7938,2.7938,2.7938,2.7938,2.7938,2.7938,4.13,2.7938,2.11,5.03
2006-05,2.889,2.978157,2.889,2.889,2.889,2.889,2.889,2.889,4.15,2.889,2.21,5.15
2006-06,2.9857,3.078627,2.9857,2.9857,2.9857,2.9857,2.9857,2.9857,4.21,2.9857,2.28,5.35
2006-07,3.1022,3.204438,3.1022,3.1022,3.1022,3.1022,3.1022,3.1022,4.18,3.1022,2.43,5.46
2006-08,3.2265,3.331083,3.2265,3.2265,3.2265,3.2265,3.2265,3.2265,4.19,3.2265,2.54,5.38
2006-09,3.3354,3.446348,3.3354,3.3354,3.3354,3.3354,3.3354,3.3354,4.22,3.3354,2.74,5.34
2006-10,3.502,3.614545,3.502,3.502,3.502,3.502,3.502,3.502,4.2,3.502,2.9,5.33
2006-11,3.5972,3.724468,3.5972,3.5972,3.5972,3.5972,3.5972,3.5972,4.2,3.5972,3.0,5.32
2006-12,3.6842,3.84041,3.6842,3.6842,3.6842,3.6842,3.6842,3.6842,4.2,3.6842,3.21,5.32
2007-01,3.7519,3.918978,3.7519,3.7519,3.7519,3.7519,3.7519,3.7519,4.19,3.7519,3.29,5.32
2007-02,3.8182,3.994925,3.8182,3.8182,3.8182,3.8182,3.8182,3.8182,4.22,3.8182,3.26,5.31
2007-03,3.8909,4.072577,3.8909,3.8909,3.8909,3.8909,3.8909,3.8909,4.24,3.8909,3.34,5.3
2007-04,3.9753,4.161752,3.9753,3.9753,3.9753,3.9753,3.9753,3.9753,4.4,3.9753,3.4,5.31
2007-05,4.0714,4.282243,4.0714,4.0714,4.0714,4.0714,4.0714,4.0714,4.44,4.0714,3.45,5.31
2007-06,4.1478,4.371905,4.1478,4.1478,4.1478,4.1478,4.1478,4.1478,4.445,4.1478,3.53,5.33
2007-07,4.2162,4.415759,4.2162,4.2162,4.2162,4.2162,4.2162,4.2162,4.81,4.2162,3.58,5.32
