Date,Belgium,Denmark,Germany,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,5.321,5.321,5.321,5.321,5.321,5.321,5.321,5.321,5.321,5.321,5.321,5.321
2000-02,5.108,5.108,5.108,5.108,5.108,5.108,5.108,5.108,5.108,5.108,5.108,5.108
2000-03,5.062,5.062,5.062,5.062,5.062,5.062,5.062,5.062,5.062,5.062,5.062,5.062
2000-04,5.015,5.015,5.015,5.015,5.015,5.015,5.015,5.015,5.015,5.015,5.015,5.015
2000-05,4.987,4.987,4.987,4.987,4.987,4.987,4.987,4.987,4.987,4.987,4.987,4.987
2000-06,5.083,5.083,5.083,5.083,5.083,5.083,5.083,5.083,5.083,5.083,5.083,5.083
2000-07,5.091,5.091,5.091,5.091,5.091,5.091,5.091,5.091,5.091,5.091,5.091,5.091
2000-08,5.022,5.022,5.022,5.022,5.022,5.022,5.022,5.022,5.022,5.022,5.022,5.022
2000-09,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948
2000-10,4.796,4.796,4.796,4.796,4.796,4.796,4.796,4.796,4.796,4.796,4.796,4.796
2000-11,4.733,4.733,4.733,4.733,4.733,4.733,4.733,4.733,4.733,4.733,4.733,4.733
2000-12,4.635,4.635,4.635,4.635,4.635,4.635,4.635,4.635,4.635,4.635,4.635,4.635
2001-01,4.858,4.858,4.858,4.858,4.858,4.858,4.858,4.858,4.858,4.858,4.858,4.858
2001-02,4.515,4.515,4.515,4.515,4.515,4.515,4.515,4.515,4.515,4.515,4.515,4.515
2001-03,4.315,4.315,4.315,4.315,4.315,4.315,4.315,4.315,4.315,4.315,4.315,4.315
2001-04,4.358,4.358,4.358,4.358,4.358,4.358,4.358,4.358,4.358,4.358,4.358,4.358
2001-05,4.428,4.428,4.428,4.428,4.428,4.428,4.428,4.428,4.428,4.428,4.428,4.428
2001-06,4.327,4.327,4.327,4.327,4.327,4.327,4.327,4.327,4.327,4.327,4.327,4.327
2001-07,4.243,4.243,4.243,4.243,4.243,4.243,4.243,4.243,4.243,4.243,4.243,4.243
2001-08,4.193,4.193,4.193,4.193,4.193,4.193,4.193,4.193,4.193,4.193,4.193,4.193
2001-09,4.675,4.675,4.675,4.675,4.675,4.675,4.675,4.675,4.675,4.675,4.675,4.675
2001-10,4.239,4.239,4.239,4.239,4.239,4.239,4.239,4.239,4.239,4.239,4.239,4.239
2001-11,4.157,4.157,4.157,4.157,4.157,4.157,4.157,4.157,4.157,4.157,4.157,4.157
2001-12,4.588,4.588,4.588,4.588,4.588,4.588,4.588,4.588,4.588,4.588,4.588,4.588
2002-01,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23
2002-02,4.517,4.517,4.517,4.517,4.517,4.517,4.517,4.517,4.517,4.517,4.517,4.517
2002-03,4.656,4.656,4.656,4.656,4.656,4.656,4.656,4.656,4.656,4.656,4.656,4.656
2002-04,4.555,4.555,4.555,4.555,4.555,4.555,4.555,4.555,4.555,4.555,4.555,4.555
2002-05,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052
2002-06,4.855,4.855,4.855,4.855,4.855,4.855,4.855,4.855,4.855,4.855,4.855,4.855
2002-07,4.612,4.612,4.612,4.612,4.612,4.612,4.612,4.612,4.612,4.612,4.612,4.612
2002-08,4.452,4.452,4.452,4.452,4.452,4.452,4.452,4.452,4.452,4.452,4.452,4.452
2002-09,4.548,4.548,4.548,4.548,4.548,4.548,4.548,4.548,4.548,4.548,4.548,4.548
2002-10,4.514,4.514,4.514,4.514,4.514,4.514,4.514,4.514,4.514,4.514,4.514,4.514
2002-11,4.427,4.427,4.427,4.427,4.427,4.427,4.427,4.427,4.427,4.427,4.427,4.427
2002-12,4.812,4.812,4.812,4.812,4.812,4.812,4.812,4.812,4.812,4.812,4.812,4.812
2003-01,4.866,4.866,4.866,4.866,4.866,4.866,4.866,4.866,4.866,4.866,4.866,4.866
2003-02,4.592,4.592,4.592,4.592,4.592,4.592,4.592,4.592,4.592,4.592,4.592,4.592
2003-03,4.475,4.475,4.475,4.475,4.475,4.475,4.475,4.475,4.475,4.475,4.475,4.475
2003-04,4.652,4.652,4.652,4.652,4.652,4.652,4.652,4.652,4.652,4.652,4.652,4.652
2003-05,4.539,4.539,4.539,4.539,4.539,4.539,4.539,4.539,4.539,4.539,4.539,4.539
2003-06,4.564,4.564,4.564,4.564,4.564,4.564,4.564,4.564,4.564,4.564,4.564,4.564
2003-07,5.123,5.123,5.123,5.123,5.123,5.123,5.123,5.123,5.123,5.123,5.123,5.123
2003-08,5.122,5.122,5.122,5.122,5.122,5.122,5.122,5.122,5.122,5.122,5.122,5.122
2003-09,5.142,5.142,5.142,5.142,5.142,5.142,5.142,5.142,5.142,5.142,5.142,5.142
2003-10,5.068,5.068,5.068,5.068,5.068,5.068,5.068,5.068,5.068,5.068,5.068,5.068
2003-11,5.373,5.373,5.373,5.373,5.373,5.373,5.373,5.373,5.373,5.373,5.373,5.373
2003-12,5.965,5.965,5.965,5.965,5.965,5.965,5.965,5.965,5.965,5.965,5.965,5.965
2004-01,6.256,6.256,6.256,6.256,6.256,6.256,6.256,6.256,6.256,6.256,6.256,6.256
2004-02,6.715,6.715,6.715,6.715,6.715,6.715,6.715,6.715,6.715,6.715,6.715,6.715
2004-03,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95
2004-04,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079
2004-05,6.118,6.118,6.118,6.118,6.118,6.118,6.118,6.118,6.118,6.118,6.118,6.118
2004-06,5.795,5.795,5.795,5.795,5.795,5.795,5.795,5.795,5.795,5.795,5.795,5.795
2004-07,6.575,6.575,6.575,6.575,6.575,6.575,6.575,6.575,6.575,6.575,6.575,6.575
2004-08,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
2004-09,6.938,6.938,6.938,6.938,6.938,6.938,6.938,6.938,6.938,6.938,6.938,6.938
2004-10,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32
2004-11,7.758,7.758,7.758,7.758,7.758,7.758,7.758,7.758,7.758,7.758,7.758,7.758
2004-12,6.837,6.837,6.837,6.837,6.837,6.837,6.837,6.837,6.837,6.837,6.837,6.837
2005-01,6.762,6.762,6.762,6.762,6.762,6.762,6.762,6.762,6.762,6.762,6.762,6.762
2005-02,7.395,7.395,7.395,7.395,7.395,7.395,7.395,7.395,7.395,7.395,7.395,7.395
2005-03,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21
