Date,Belgium,Denmark,Germany,Spain,France,Italy,Netherlands,Austria,Poland,Finland,Sweden,United States
2000-01,1394.46,1394.46,1394.46,1394.46,1394.46,1394.46,1394.46,1394.46,1394.46,1394.46,1394.46,1394.46
2000-02,1366.42,1366.42,1366.42,1366.42,1366.42,1366.42,1366.42,1366.42,1366.42,1366.42,1366.42,1366.42
2000-03,1498.58,1498.58,1498.58,1498.58,1498.58,1498.58,1498.58,1498.58,1498.58,1498.58,1498.58,1498.58
2000-04,1452.43,1452.43,1452.43,1452.43,1452.43,1452.43,1452.43,1452.43,1452.43,1452.43,1452.43,1452.43
2000-05,1420.6,1420.6,1420.6,1420.6,1420.6,1420.6,1420.6,1420.6,1420.6,1420.6,1420.6,1420.6
2000-06,1454.6,1454.6,1454.6,1454.6,1454.6,1454.6,1454.6,1454.6,1454.6,1454.6,1454.6,1454.6
2000-07,1430.83,1430.83,1430.83,1430.83,1430.83,1430.83,1430.83,1430.83,1430.83,1430.83,1430.83,1430.83
2000-08,1517.68,1517.68,1517.68,1517.68,1517.68,1517.68,1517.68,1517.68,1517.68,1517.68,1517.68,1517.68
2000-09,1436.51,1436.51,1436.51,1436.51,1436.51,1436.51,1436.51,1436.51,1436.51,1436.51,1436.51,1436.51
2000-10,1429.4,1429.4,1429.4,1429.4,1429.4,1429.4,1429.4,1429.4,1429.4,1429.4,1429.4,1429.4
2000-11,1314.95,1314.95,1314.95,1314.95,1314.95,1314.95,1314.95,1314.95,1314.95,1314.95,1314.95,1314.95
2000-12,1320.28,1320.28,1320.28,1320.28,1320.28,1320.28,1320.28,1320.28,1320.28,1320.28,1320.28,1320.28
2001-01,1366.01,1366.01,1366.01,1366.01,1366.01,1366.01,1366.01,1366.01,1366.01,1366.01,1366.01,1366.01
2001-02,1239.94,1239.94,1239.94,1239.94,1239.94,1239.94,1239.94,1239.94,1239.94,1239.94,1239.94,1239.94
2001-03,1160.33,1160.33,1160.33,1160.33,1160.33,1160.33,1160.33,1160.33,1160.33,1160.33,1160.33,1160.33
2001-04,1249.46,1249.46,1249.46,1249.46,1249.46,1249.46,1249.46,1249.46,1249.46,1249.46,1249.46,1249.46
2001-05,1255.82,1255.82,1255.82,1255.82,1255.82,1255.82,1255.82,1255.82,1255.82,1255.82,1255.82,1255.82
2001-06,1224.38,1224.38,1224.38,1224.38,1224.38,1224.38,1224.38,1224.38,1224.38,1224.38,1224.38,1224.38
2001-07,1211.23,1211.23,1211.23,1211.23,1211.23,1211.23,1211.23,1211.23,1211.23,1211.23,1211.23,1211.23
2001-08,1133.58,1133.58,1133.58,1133.58,1133.58,1133.58,1133.58,1133.58,1133.58,1133.58,1133.58,1133.58
2001-09,1040.94,1040.94,1040.94,1040.94,1040.94,1040.94,1040.94,1040.94,1040.94,1040.94,1040.94,1040.94
2001-10,1059.78,1059.78,1059.78,1059.78,1059.78,1059.78,1059.78,1059.78,1059.78,1059.78,1059.78,1059.78
2001-11,1139.45,1139.45,1139.45,1139.45,1139.45,1139.45,1139.45,1139.45,1139.45,1139.45,1139.45,1139.45
2001-12,1148.08,1148.08,1148.08,1148.08,1148.08,1148.08,1148.08,1148.08,1148.08,1148.08,1148.08,1148.08
2002-01,1130.2,1130.2,1130.2,1130.2,1130.2,1130.2,1130.2,1130.2,1130.2,1130.2,1130.2,1130.2
2002-02,1106.73,1106.73,1106.73,1106.73,1106.73,1106.73,1106.73,1106.73,1106.73,1106.73,1106.73,1106.73
2002-03,1147.39,1147.39,1147.39,1147.39,1147.39,1147.39,1147.39,1147.39,1147.39,1147.39,1147.39,1147.39
2002-04,1076.92,1076.92,1076.92,1076.92,1076.92,1076.92,1076.92,1076.92,1076.92,1076.92,1076.92,1076.92
2002-05,1067.14,1067.14,1067.14,1067.14,1067.14,1067.14,1067.14,1067.14,1067.14,1067.14,1067.14,1067.14
2002-06,989.82,989.82,989.82,989.82,989.82,989.82,989.82,989.82,989.82,989.82,989.82,989.82
2002-07,911.62,911.62,911.62,911.62,911.62,911.62,911.62,911.62,911.62,911.62,911.62,911.62
2002-08,916.07,916.07,916.07,916.07,916.07,916.07,916.07,916.07,916.07,916.07,916.07,916.07
2002-09,815.28,815.28,815.28,815.28,815.28,815.28,815.28,815.28,815.28,815.28,815.28,815.28
2002-10,885.76,885.76,885.76,885.76,885.76,885.76,885.76,885.76,885.76,885.76,885.76,885.76
2002-11,936.31,936.31,936.31,936.31,936.31,936.31,936.31,936.31,936.31,936.31,936.31,936.31
2002-12,879.82,879.82,879.82,879.82,879.82,879.82,879.82,879.82,879.82,879.82,879.82,879.82
2003-01,855.7,855.7,855.7,855.7,855.7,855.7,855.7,855.7,855.7,855.7,855.7,855.7
2003-02,841.15,841.15,841.15,841.15,841.15,841.15,841.15,841.15,841.15,841.15,841.15,841.15
2003-03,848.18,848.18,848.18,848.18,848.18,848.18,848.18,848.18,848.18,848.18,848.18,848.18
2003-04,916.92,916.92,916.92,916.92,916.92,916.92,916.92,916.92,916.92,916.92,916.92,916.92
2003-05,963.59,963.59,963.59,963.59,963.59,963.59,963.59,963.59,963.59,963.59,963.59,963.59
2003-06,974.5,974.5,974.5,974.5,974.5,974.5,974.5,974.5,974.5,974.5,974.5,974.5
2003-07,993.32,993.32,993.32,993.32,993.32,993.32,993.32,993.32,993.32,993.32,993.32,993.32
2003-08,1008.01,1008.01,1008.01,1008.01,1008.01,1008.01,1008.01,1008.01,1008.01,1008.01,1008.01,1008.01
2003-09,995.97,995.97,995.97,995.97,995.97,995.97,995.97,995.97,995.97,995.97,995.97,995.97
2003-10,1050.71,1050.71,1050.71,1050.71,1050.71,1050.71,1050.71,1050.71,1050.71,1050.71,1050.71,1050.71
2003-11,1058.2,1058.2,1058.2,1058.2,1058.2,1058.2,1058.2,1058.2,1058.2,1058.2,1058.2,1058.2
2003-12,1111.92,1111.92,1111.92,1111.92,1111.92,1111.92,1111.92,1111.92,1111.92,1111.92,1111.92,1111.92
2004-01,1131.13,1131.13,1131.13,1131.13,1131.13,1131.13,1131.13,1131.13,1131.13,1131.13,1131.13,1131.13
2004-02,1144.94,1144.94,1144.94,1144.94,1144.94,1144.94,1144.94,1144.94,1144.94,1144.94,1144.94,1144.94
2004-03,1126.21,1126.21,1126.21,1126.21,1126.21,1126.21,1126.21,1126.21,1126.21,1126.21,1126.21,1126.21
2004-04,1107.3,1107.3,1107.3,1107.3,1107.3,1107.3,1107.3,1107.3,1107.3,1107.3,1107.3,1107.3
2004-05,1120.68,1120.68,1120.68,1120.68,1120.68,1120.68,1120.68,1120.68,1120.68,1120.68,1120.68,1120.68
2004-06,1140.84,1140.84,1140.84,1140.84,1140.84,1140.84,1140.84,1140.84,1140.84,1140.84,1140.84,1140.84
2004-07,1101.72,1101.72,1101.72,1101.72,1101.72,1101.72,1101.72,1101.72,1101.72,1101.72,1101.72,1101.72
2004-08,1104.24,1104.24,1104.24,1104.24,1104.24,1104.24,1104.24,1104.24,1104.24,1104.24,1104.24,1104.24
2004-09,1114.58,1114.58,1114.58,1114.58,1114.58,1114.58,1114.58,1114.58,1114.58,1114.58,1114.58,1114.58
2004-10,1130.2,1130.2,1130.2,1130.2,1130.2,1130.2,1130.2,1130.2,1130.2,1130.2,1130.2,1130.2
2004-11,1173.82,1173.82,1173.82,1173.82,1173.82,1173.82,1173.82,1173.82,1173.82,1173.82,1173.82,1173.82
