Date,Data
2000-01-01,102.1154
2000-02-01,102.3986
2000-03-01,102.4251
2000-04-01,102.4347
2000-05-01,102.6128
2000-06-01,102.7907
2000-07-01,102.9396
2000-08-01,103.0539
2000-09-01,102.8951
2000-10-01,102.6873
2000-11-01,102.4054
2000-12-01,101.9978
2001-01-01,101.2563
2001-02-01,100.0705
2001-03-01,99.10834
2001-04-01,98.75631
2001-05-01,98.7674
2001-06-01,98.65913
2001-07-01,98.43578
2001-08-01,98.26885
2001-09-01,98.17045
2001-10-01,98.28241
2001-11-01,98.53165
2001-12-01,98.83909
2002-01-01,99.11476
2002-02-01,99.16431
2002-03-01,99.37583
2002-04-01,99.52441
2002-05-01,99.30933
2002-06-01,99.22894
2002-07-01,99.31396
2002-08-01,99.46752
2002-09-01,99.62457
2002-10-01,99.5983
2002-11-01,99.59541
2002-12-01,99.26447
2003-01-01,98.81419
2003-02-01,98.64155
2003-03-01,98.68206
2003-04-01,98.85746
2003-05-01,98.94352
2003-06-01,98.74602
2003-07-01,98.88549
2003-08-01,99.19201
2003-09-01,99.51289
2003-10-01,99.71178
2003-11-01,99.9435
2003-12-01,100.1039
2004-01-01,100.1937
2004-02-01,100.1281
2004-03-01,100.1046
2004-04-01,100.1803
2004-05-01,100.3866
2004-06-01,100.7303
2004-07-01,100.8648
2004-08-01,100.8773
2004-09-01,100.8176
2004-10-01,100.793
2004-11-01,100.829
2004-12-01,100.8333
2005-01-01,100.6664
2005-02-01,100.4581
2005-03-01,100.2705
2005-04-01,100.153
2005-05-01,100.3154
2005-06-01,100.9393
2005-07-01,101.5727
2005-08-01,101.7743
2005-09-01,101.8093
2005-10-01,101.8823
2005-11-01,101.8578
2005-12-01,101.7222
2006-01-01,101.7611
2006-02-01,101.8086
2006-03-01,101.8956
2006-04-01,102.1115
2006-05-01,102.333
2006-06-01,102.6044
2006-07-01,102.7328
2006-08-01,102.6278
2006-09-01,102.6162
2006-10-01,102.6759
2006-11-01,102.6465
2006-12-01,102.704
2007-01-01,102.825
2007-02-01,103.0654
2007-03-01,103.3168
2007-04-01,103.3418
2007-05-01,103.2248
2007-06-01,103.0416
2007-07-01,102.8388
2007-08-01,102.6187
2007-09-01,102.3432
2007-10-01,102.1384
2007-11-01,102.0669
2007-12-01,101.9801
2008-01-01,101.6361
2008-02-01,100.9699
2008-03-01,100.483
2008-04-01,100.214
2008-05-01,100.0266
2008-06-01,99.74149
2008-07-01,99.41486
2008-08-01,98.90607
2008-09-01,98.2039
2008-10-01,97.15636
2008-11-01,95.77557
2008-12-01,94.9034
2009-01-01,94.59787
2009-02-01,94.40945
2009-03-01,94.38944
2009-04-01,94.60606
2009-05-01,94.93541
2009-06-01,95.47117
2009-07-01,96.25636
2009-08-01,96.85455
2009-09-01,97.33686
2009-10-01,97.66844
2009-11-01,97.89844
2009-12-01,98.33254
2010-01-01,98.72242
2010-02-01,99.00804
2010-03-01,99.30968
2010-04-01,99.74926
2010-05-01,100.1334
2010-06-01,100.2779
2010-07-01,100.4023
2010-08-01,100.5123
2010-09-01,100.5195
2010-10-01,100.59
2010-11-01,100.7242
2010-12-01,100.8703
2011-01-01,100.927
2011-02-01,100.8267
2011-03-01,100.7999
2011-04-01,100.6502
2011-05-01,100.4534
2011-06-01,100.0962
2011-07-01,99.56458
2011-08-01,99.02608
2011-09-01,98.75026
2011-10-01,98.70004
2011-11-01,98.59361
2011-12-01,98.55047
2012-01-01,98.67844
2012-02-01,98.90289
2012-03-01,98.94574
2012-04-01,98.81906
2012-05-01,98.56831
2012-06-01,98.58236
2012-07-01,98.68312
2012-08-01,98.66154
2012-09-01,98.51289
2012-10-01,98.29034
2012-11-01,98.0855
2012-12-01,98.05242
2013-01-01,98.26101
2013-02-01,98.54681
2013-03-01,98.66908
2013-04-01,98.78878
2013-05-01,98.84229
2013-06-01,98.71188
2013-07-01,98.41663
2013-08-01,98.09016
2013-09-01,97.89383
2013-10-01,97.97661
2013-11-01,98.25891
2013-12-01,98.41093
2014-01-01,98.45644
2014-02-01,98.60543
2014-03-01,98.70453
2014-04-01,98.79073
2014-05-01,98.80895
2014-06-01,98.70923
2014-07-01,98.6576
2014-08-01,98.57057
2014-09-01,98.36536
2014-10-01,98.32192
2014-11-01,98.31038
2014-12-01,98.33863
2015-01-01,98.50281
2015-02-01,98.60758
2015-03-01,98.62843
2015-04-01,98.561
2015-05-01,98.41551
2015-06-01,98.39119
2015-07-01,98.33421
2015-08-01,98.26622
2015-09-01,98.38017
2015-10-01,98.54307
2015-11-01,98.457
2015-12-01,98.38232
2016-01-01,98.47518
2016-02-01,98.61769
2016-03-01,98.70705
2016-04-01,98.51301
2016-05-01,98.24545
2016-06-01,98.15266
2016-07-01,98.28461
2016-08-01,98.69282
2016-09-01,99.19138
2016-10-01,99.36127
2016-11-01,99.53371
2016-12-01,99.84113
2017-01-01,100.1669
2017-02-01,100.4492
2017-03-01,100.6908
2017-04-01,100.8458
2017-05-01,100.9893
2017-06-01,101.0565
2017-07-01,101.0807
2017-08-01,101.1567
2017-09-01,101.3705
2017-10-01,101.6477
2017-11-01,101.89
2017-12-01,102.0808
2018-01-01,102.1038
2018-02-01,102.0256
2018-03-01,101.8742
2018-04-01,101.7781
2018-05-01,101.7515
2018-06-01,101.8511
2018-07-01,101.8516
2018-08-01,101.6501
2018-09-01,101.3725
2018-10-01,101.0406
2018-11-01,100.666
2018-12-01,100.3375
2019-01-01,100.1685
2019-02-01,99.96788
2019-03-01,99.86775
2019-04-01,99.71421
2019-05-01,99.54946
2019-06-01,99.29169
2019-07-01,99.20547
2019-08-01,99.21219
2019-09-01,99.08334
2019-10-01,98.90734
2019-11-01,98.82117
2019-12-01,98.80443
2020-01-01,98.81137
2020-02-01,98.71122
2020-03-01,98.06737
2020-04-01,96.92501
2020-05-01,96.25639
2020-06-01,96.20043
2020-07-01,96.54803
2020-08-01,96.79798
2020-09-01,97.12331
2020-10-01,97.61711
2020-11-01,98.1811
2020-12-01,98.93324
2021-01-01,99.55202
2021-02-01,99.991
2021-03-01,100.5933
2021-04-01,101.2709
2021-05-01,101.9102
2021-06-01,102.4128
2021-07-01,102.7284
2021-08-01,103.0398
2021-09-01,103.1871
2021-10-01,103.2124
2021-11-01,103.0594
2021-12-01,102.8079
2022-01-01,102.7047
2022-02-01,102.6508
2022-03-01,102.3816
2022-04-01,102.0702
2022-05-01,101.6803
2022-06-01,101.1707
2022-07-01,100.61
2022-08-01,100.0754
2022-09-01,99.5866
2022-10-01,99.15176
2022-11-01,98.87437
2022-12-01,98.83807
