Date,Data
2000-01-01,99.59469
2000-02-01,99.60316
2000-03-01,99.74757
2000-04-01,99.9705
2000-05-01,100.1504
2000-06-01,100.2225
2000-07-01,100.2935
2000-08-01,100.3731
2000-09-01,100.2049
2000-10-01,99.89868
2000-11-01,99.60745
2000-12-01,99.26913
2001-01-01,98.89761
2001-02-01,98.57738
2001-03-01,98.34392
2001-04-01,98.13561
2001-05-01,97.92901
2001-06-01,97.75067
2001-07-01,97.58911
2001-08-01,97.49948
2001-09-01,97.44592
2001-10-01,97.4157
2001-11-01,97.37463
2001-12-01,97.32177
2002-01-01,97.28145
2002-02-01,97.35609
2002-03-01,97.71739
2002-04-01,98.11435
2002-05-01,98.27305
2002-06-01,98.16276
2002-07-01,98.15643
2002-08-01,98.4043
2002-09-01,98.79121
2002-10-01,99.13061
2002-11-01,99.34247
2002-12-01,99.40853
2003-01-01,99.40599
2003-02-01,99.34323
2003-03-01,99.21146
2003-04-01,99.09659
2003-05-01,99.11454
2003-06-01,99.2806
2003-07-01,99.516
2003-08-01,99.80108
2003-09-01,99.96445
2003-10-01,100.1346
2003-11-01,100.1835
2003-12-01,100.2442
2004-01-01,100.269
2004-02-01,100.3369
2004-03-01,100.5309
2004-04-01,100.7225
2004-05-01,100.7952
2004-06-01,100.8458
2004-07-01,100.8413
2004-08-01,100.7653
2004-09-01,100.794
2004-10-01,100.7833
2004-11-01,100.7058
2004-12-01,100.5397
2005-01-01,100.3212
2005-02-01,100.2122
2005-03-01,100.1056
2005-04-01,100.0773
2005-05-01,100.1251
2005-06-01,100.1967
2005-07-01,100.2649
2005-08-01,100.4029
2005-09-01,100.5937
2005-10-01,100.6166
2005-11-01,100.6175
2005-12-01,100.6195
2006-01-01,100.5218
2006-02-01,100.4419
2006-03-01,100.5182
2006-04-01,100.7201
2006-05-01,101.066
2006-06-01,101.4466
2006-07-01,101.7938
2006-08-01,102.0448
2006-09-01,102.2607
2006-10-01,102.4739
2006-11-01,102.6199
2006-12-01,102.6182
2007-01-01,102.4479
2007-02-01,102.3697
2007-03-01,102.483
2007-04-01,102.6563
2007-05-01,102.8071
2007-06-01,102.8513
2007-07-01,102.7487
2007-08-01,102.5814
2007-09-01,102.4851
2007-10-01,102.4719
2007-11-01,102.5027
2007-12-01,102.5737
2008-01-01,102.6364
2008-02-01,102.6008
2008-03-01,102.4685
2008-04-01,102.2216
2008-05-01,101.9789
2008-06-01,101.7277
2008-07-01,101.4189
2008-08-01,101.0955
2008-09-01,100.6611
2008-10-01,100.0068
2008-11-01,99.07767
2008-12-01,97.98637
2009-01-01,96.93577
2009-02-01,96.25434
