Date,Data
2000-01-01,100.6497
2000-02-01,100.8086
2000-03-01,101.0151
2000-04-01,101.1278
2000-05-01,101.1876
2000-06-01,101.3188
2000-07-01,101.5146
2000-08-01,101.5899
2000-09-01,101.5085
2000-10-01,101.4211
2000-11-01,101.1385
2000-12-01,100.5023
2001-01-01,99.66721
2001-02-01,98.96015
2001-03-01,98.44468
2001-04-01,98.04874
2001-05-01,97.7554
2001-06-01,97.6315
2001-07-01,97.69732
2001-08-01,97.83865
2001-09-01,97.91045
2001-10-01,97.86383
2001-11-01,97.85787
2001-12-01,97.88256
2002-01-01,97.90596
2002-02-01,98.01903
2002-03-01,98.22858
2002-04-01,98.47137
2002-05-01,98.78582
2002-06-01,99.16817
2002-07-01,99.28621
2002-08-01,99.29744
2002-09-01,99.25089
2002-10-01,99.04753
2002-11-01,98.91066
2002-12-01,99.02422
2003-01-01,99.21774
2003-02-01,99.44598
2003-03-01,99.44009
2003-04-01,99.17133
2003-05-01,98.77229
2003-06-01,98.31126
2003-07-01,98.16312
2003-08-01,98.35454
2003-09-01,98.57093
2003-10-01,98.74176
2003-11-01,98.86659
2003-12-01,99.02782
2004-01-01,99.09639
2004-02-01,99.13544
2004-03-01,99.23297
2004-04-01,99.46271
2004-05-01,99.73012
2004-06-01,99.98049
2004-07-01,100.2705
2004-08-01,100.4896
2004-09-01,100.5643
2004-10-01,100.3943
2004-11-01,100.3009
2004-12-01,100.137
2005-01-01,99.93163
2005-02-01,99.60201
2005-03-01,99.17296
2005-04-01,98.83815
2005-05-01,98.75361
2005-06-01,98.77937
2005-07-01,98.87468
2005-08-01,99.14292
2005-09-01,99.28429
2005-10-01,99.38685
2005-11-01,99.48854
2005-12-01,99.7854
2006-01-01,100.0496
2006-02-01,100.1377
2006-03-01,100.1782
2006-04-01,100.2296
2006-05-01,100.2962
2006-06-01,100.4742
2006-07-01,100.6171
2006-08-01,100.7651
2006-09-01,100.8884
2006-10-01,100.924
2006-11-01,100.9055
2006-12-01,100.7729
2007-01-01,100.7159
2007-02-01,100.7409
2007-03-01,100.8702
2007-04-01,101.0737
2007-05-01,101.1686
2007-06-01,101.1943
2007-07-01,101.0358
2007-08-01,100.7927
2007-09-01,100.5989
2007-10-01,100.5272
2007-11-01,100.4578
2007-12-01,100.3621
2008-01-01,100.1318
2008-02-01,99.95692
2008-03-01,99.89285
2008-04-01,99.82292
2008-05-01,99.57917
2008-06-01,99.13929
2008-07-01,98.74332
2008-08-01,98.41547
2008-09-01,98.03525
2008-10-01,97.45348
2008-11-01,96.7878
2008-12-01,96.18516
2009-01-01,95.75323
2009-02-01,95.38615
2009-03-01,95.11174
2009-04-01,95.28909
2009-05-01,95.78133
2009-06-01,96.38566
2009-07-01,97.08952
2009-08-01,97.56528
2009-09-01,97.90688
2009-10-01,98.29531
2009-11-01,98.68534
2009-12-01,99.09489
2010-01-01,99.45523
2010-02-01,99.86512
2010-03-01,100.0893
2010-04-01,100.2362
2010-05-01,100.6181
2010-06-01,100.9977
2010-07-01,101.1374
2010-08-01,101.3245
2010-09-01,101.4541
2010-10-01,101.2518
2010-11-01,101.076
2010-12-01,100.9767
2011-01-01,101.1253
2011-02-01,101.2497
2011-03-01,101.3338
2011-04-01,101.309
2011-05-01,101.2669
2011-06-01,100.9757
2011-07-01,100.5013
2011-08-01,100.117
2011-09-01,99.74696
2011-10-01,99.25172
2011-11-01,98.78406
2011-12-01,98.47926
2012-01-01,98.4284
2012-02-01,98.70068
2012-03-01,99.21068
2012-04-01,99.50262
2012-05-01,99.68089
2012-06-01,99.60973
2012-07-01,99.42695
2012-08-01,99.12077
2012-09-01,98.75504
2012-10-01,98.21036
2012-11-01,97.80416
2012-12-01,97.71958
2013-01-01,97.90318
2013-02-01,98.31905
2013-03-01,98.60982
2013-04-01,98.71182
2013-05-01,98.76206
2013-06-01,98.91144
2013-07-01,99.03445
2013-08-01,99.11646
2013-09-01,99.08838
2013-10-01,99.15418
2013-11-01,99.28233
2013-12-01,99.32355
2014-01-01,99.36289
2014-02-01,99.4102
2014-03-01,99.54433
2014-04-01,99.72458
2014-05-01,99.79789
2014-06-01,99.93994
2014-07-01,100.0876
2014-08-01,100.2063
2014-09-01,100.1567
2014-10-01,100.0703
2014-11-01,99.9327
2014-12-01,99.72679
2015-01-01,99.62671
2015-02-01,99.59644
2015-03-01,99.58881
2015-04-01,99.60392
2015-05-01,99.88051
2015-06-01,100.1322
2015-07-01,100.316
2015-08-01,100.5362
2015-09-01,100.6908
2015-10-01,100.7177
2015-11-01,100.7082
2015-12-01,100.9083
2016-01-01,101.121
2016-02-01,101.0291
2016-03-01,100.801
2016-04-01,100.5475
2016-05-01,100.4226
2016-06-01,100.2839
2016-07-01,100.0719
2016-08-01,99.93415
2016-09-01,99.97168
2016-10-01,100.3481
2016-11-01,100.9131
2016-12-01,101.5045
2017-01-01,101.7637
2017-02-01,101.8162
2017-03-01,101.8847
2017-04-01,102.1382
2017-05-01,102.3126
2017-06-01,102.4458
2017-07-01,102.4772
2017-08-01,102.4537
2017-09-01,102.5124
2017-10-01,102.5226
2017-11-01,102.4507
2017-12-01,102.294
2018-01-01,102.2369
2018-02-01,102.2993
2018-03-01,102.4503
2018-04-01,102.588
2018-05-01,102.6143
2018-06-01,102.5239
2018-07-01,102.4903
2018-08-01,102.4477
2018-09-01,102.224
2018-10-01,102.134
2018-11-01,102.1296
2018-12-01,102.0592
2019-01-01,101.7999
2019-02-01,101.5809
2019-03-01,101.2693
2019-04-01,100.9845
2019-05-01,100.5051
2019-06-01,100.0206
2019-07-01,99.59342
2019-08-01,99.33314
2019-09-01,99.2159
2019-10-01,99.24606
2019-11-01,99.36149
2019-12-01,99.5871
2020-01-01,99.80636
2020-02-01,99.62041
2020-03-01,98.6797
2020-04-01,97.20882
2020-05-01,96.76366
2020-06-01,97.35217
2020-07-01,98.27511
2020-08-01,99.16161
2020-09-01,99.90786
2020-10-01,100.4544
2020-11-01,100.9154
2020-12-01,101.2866
2021-01-01,101.7609
2021-02-01,102.1597
2021-03-01,102.5315
2021-04-01,102.8947
2021-05-01,103.2188
2021-06-01,103.471
2021-07-01,103.7575
2021-08-01,103.9593
2021-09-01,104.0944
2021-10-01,104.2438
2021-11-01,104.3172
2021-12-01,104.3557
2022-01-01,104.2462
2022-02-01,104.1354
2022-03-01,103.9882
2022-04-01,103.8115
2022-05-01,103.6317
2022-06-01,103.2905
2022-07-01,102.9494
2022-08-01,102.5268
2022-09-01,101.9829
2022-10-01,101.5302
2022-11-01,101.2879
2022-12-01,101.0986
