Date,Data
2000-01-01,10.538
2000-02-01,10.775
2000-03-01,10.538
2000-04-01,11.498
2000-05-01,12.495
2000-06-01,12.785
2000-07-01,12.686
2000-08-01,12.51
2000-09-01,12.876
2000-10-01,13.288
2000-11-01,12.319
2000-12-01,11.176
2001-01-01,10.54
2001-02-01,10.356
2001-03-01,10.814
2001-04-01,11.018
2001-05-01,11.476
2001-06-01,11.742
2001-07-01,11.723
2001-08-01,11.767
2001-09-01,11.238
2001-10-01,9.829
2001-11-01,8.961
2001-12-01,8.77
2002-01-01,8.288
2002-02-01,8.366
2002-03-01,8.419
2002-04-01,8.132
2002-05-01,7.893
2002-06-01,7.334
2002-07-01,7.537
2002-08-01,7.158
2002-09-01,6.449
2002-10-01,6.015
2002-11-01,6.02
2002-12-01,5.563
2003-01-01,5.734
2003-02-01,5.553
2003-03-01,5.478
2003-04-01,5.299
2003-05-01,5.059
2003-06-01,5.097
2003-07-01,5.669
2003-08-01,5.654
2003-09-01,6.114
2003-10-01,7.153
2003-11-01,7.394
2003-12-01,6.598
2004-01-01,6.857
2004-02-01,6.803
2004-03-01,6.665
2004-04-01,7.274
2004-05-01,7.392
2004-06-01,7.247
2004-07-01,7.497
2004-08-01,7.316
2004-09-01,6.769
2004-10-01,6.824
2004-11-01,6.399
2004-12-01,5.806
2005-01-01,5.976
2005-02-01,5.487
2005-03-01,5.481
2005-04-01,5.568
2005-05-01,5.125
2005-06-01,4.683
2005-07-01,4.91
2005-08-01,4.741
2005-09-01,4.647
2005-10-01,5.293
2005-11-01,5.352
2005-12-01,5.107
2006-01-01,5.014
2006-02-01,4.579
2006-03-01,5.104
2006-04-01,5.281
2006-05-01,5.321
2006-06-01,5.688
2006-07-01,5.556
2006-08-01,5.602
2006-09-01,5.528
2006-10-01,5.184
2006-11-01,5.16
2006-12-01,5.197
2007-01-01,5.174
2007-02-01,5.247
2007-03-01,5.176
2007-04-01,5.328
2007-05-01,5.314
2007-06-01,5.644
2007-07-01,5.602
2007-08-01,5.783
2007-09-01,5.7
2007-10-01,5.502
2007-11-01,5.786
2007-12-01,5.934
2008-01-01,5.668
2008-02-01,5.973
2008-03-01,5.977
2008-04-01,5.977
2008-05-01,6.313
2008-06-01,6.598
2008-07-01,6.267
2008-08-01,6.073
2008-09-01,5.812
2008-10-01,6.637
2008-11-01,5.998
2008-12-01,5.458
2009-01-01,5.734
2009-02-01,6.191
2009-03-01,6.274
2009-04-01,6.207
2009-05-01,6.31
2009-06-01,6.315
2009-07-01,6.085
