Date,Data
2000-01-01,1.77596
2000-02-01,1.93566
2000-03-01,2.24734
2000-04-01,2.04885
2000-05-01,2.16714
2000-06-01,2.74121
2000-07-01,2.79133
2000-08-01,2.87614
2000-09-01,3.37079
2000-10-01,2.97418
2000-11-01,3.08917
2000-12-01,2.50135
2001-01-01,2.20134
2001-02-01,2.25996
2001-03-01,2.09138
2001-04-01,2.77889
2001-05-01,3.12873
2001-06-01,2.93224
2001-07-01,2.64962
2001-08-01,2.67704
2001-09-01,2.25249
2001-10-01,2.35001
2001-11-01,2.13295
2001-12-01,2.17791
2002-01-01,2.90255
2002-02-01,2.62848
2002-03-01,2.67484
2002-04-01,1.82406
2002-05-01,1.33693
2002-06-01,0.87258
2002-07-01,1.28419
2002-08-01,1.25867
2002-09-01,1.25512
2002-10-01,1.29554
2002-11-01,1.10186
2002-12-01,1.37391
2003-01-01,1.21251
2003-02-01,1.74567
2003-03-01,1.75372
2003-04-01,1.47376
2003-05-01,1.04021
2003-06-01,1.61557
2003-07-01,1.47078
2003-08-01,1.78843
2003-09-01,1.7961
2003-10-01,1.58288
2003-11-01,1.85021
2003-12-01,1.73528
2004-01-01,1.5889
2004-02-01,1.26487
2004-03-01,1.12402
2004-04-01,1.92813
2004-05-01,2.59887
2004-06-01,2.25338
2004-07-01,2.4116
2004-08-01,2.25545
2004-09-01,2.03777
2004-10-01,2.86712
2004-11-01,2.5507
2004-12-01,2.27839
2005-01-01,2.25919
2005-02-01,2.55998
2005-03-01,3.07521
2005-04-01,2.75151
2005-05-01,2.5208
2005-06-01,2.87708
2005-07-01,3.13568
2005-08-01,3.11967
2005-09-01,3.15392
2005-10-01,2.47213
2005-11-01,2.56006
2005-12-01,2.88497
2006-01-01,2.622
2006-02-01,2.38756
2006-03-01,1.70141
2006-04-01,1.96055
2006-05-01,2.18429
2006-06-01,1.86838
2006-07-01,1.6089
2006-08-01,1.63082
2006-09-01,1.22772
2006-10-01,1.20624
2006-11-01,1.4906
2006-12-01,1.64458
2007-01-01,1.66785
2007-02-01,1.76658
2007-03-01,1.81433
2007-04-01,1.78216
2007-05-01,1.2849
2007-06-01,1.28505
2007-07-01,1.37385
2007-08-01,1.11628
2007-09-01,1.50437
2007-10-01,2.24352
2007-11-01,2.94906
2007-12-01,3.08462
2008-01-01,3.4555
2008-02-01,3.64541
2008-03-01,4.38556
2008-04-01,4.15851
2008-05-01,5.21278
2008-06-01,5.80162
2008-07-01,5.9033
2008-08-01,5.39328
2008-09-01,5.46875
2008-10-01,4.72
2008-11-01,3.13632
2008-12-01,2.63099
2009-01-01,2.31669
2009-02-01,1.93167
2009-03-01,0.62077
2009-04-01,0.59721
2009-05-01,-0.37268
2009-06-01,-1.10106
2009-07-01,-1.68095
2009-08-01,-0.77469
2009-09-01,-1.19826
2009-10-01,-0.9713
2009-11-01,-0.12076
2009-12-01,0.26406
2010-01-01,0.61552
2010-02-01,0.70106
2010-03-01,1.65253
2010-04-01,1.792
2010-05-01,2.27748
2010-06-01,2.45811
2010-07-01,2.57004
2010-08-01,2.32021
2010-09-01,2.9107
2010-10-01,3.0086
2010-11-01,2.86876
2010-12-01,3.10545
2011-01-01,3.22264
2011-02-01,3.38301
2011-03-01,3.52227
2011-04-01,3.4129
2011-05-01,3.34553
2011-06-01,3.6794
2011-07-01,3.75309
2011-08-01,3.60022
2011-09-01,3.55689
2011-10-01,3.57334
2011-11-01,3.84657
2011-12-01,3.4802
2012-01-01,3.65118
2012-02-01,3.66162
2012-03-01,3.36055
2012-04-01,3.18538
2012-05-01,2.81045
2012-06-01,2.25174
2012-07-01,2.32173
2012-08-01,2.8527
2012-09-01,2.75191
2012-10-01,2.77864
2012-11-01,2.26361
2012-12-01,2.23182
2013-01-01,1.46008
2013-02-01,1.18758
2013-03-01,1.11415
2013-04-01,1.00202
2013-05-01,1.18457
2013-06-01,1.59326
2013-07-01,1.50932
2013-08-01,1.00857
2013-09-01,0.89609
2013-10-01,0.63317
2013-11-01,0.81497
2013-12-01,0.96579
2014-01-01,1.13716
2014-02-01,0.97302
2014-03-01,0.89152
2014-04-01,0.6213
2014-05-01,0.36022
2014-06-01,0.2697
2014-07-01,0.33929
2014-08-01,0.01997
2014-09-01,-0.11975
2014-10-01,0.08988
2014-11-01,-0.10978
2014-12-01,-0.37864
2015-01-01,-0.64677
2015-02-01,-0.39738
2015-03-01,-0.39714
2015-04-01,0.28882
2015-05-01,0.55833
2015-06-01,0.62762
2015-07-01,0.45748
2015-08-01,0.90846
2015-09-01,1.05905
2015-10-01,1.27719
2015-11-01,1.51863
2015-12-01,1.5003
2016-01-01,1.74261
2016-02-01,1.3864
2016-03-01,2.24282
2016-04-01,2.03575
2016-05-01,2.20107
2016-06-01,2.1582
2016-07-01,2.277
2016-08-01,2.15671
2016-09-01,1.86851
2016-10-01,1.81281
2016-11-01,1.77148
2016-12-01,2.02996
2017-01-01,2.6479
2017-02-01,2.97098
2017-03-01,2.28137
2017-04-01,2.27737
2017-05-01,1.86263
2017-06-01,1.59899
2017-07-01,1.78105
2017-08-01,1.89812
2017-09-01,2.00893
2017-10-01,2.0031
2017-11-01,2.06943
2017-12-01,2.13444
2018-01-01,1.70694
2018-02-01,1.48085
2018-03-01,1.39167
2018-04-01,1.52251
2018-05-01,1.81905
2018-06-01,2.07936
2018-07-01,2.16833
2018-08-01,2.24292
2018-09-01,2.34992
2018-10-01,2.75116
2018-11-01,2.77594
2018-12-01,2.3357
2019-01-01,1.98944
2019-02-01,2.16532
2019-03-01,2.33149
2019-04-01,2.0808
2019-05-01,1.88944
2019-06-01,1.72865
2019-07-01,1.42418
2019-08-01,1.26418
2019-09-01,0.79941
2019-10-01,0.4801
2019-11-01,0.38717
2019-12-01,0.75772
2020-01-01,1.4052
2020-02-01,1.09657
2020-03-01,0.62471
2020-04-01,0.56928
2020-05-01,0.47737
2020-06-01,0.59704
2020-07-01,0.73421
2020-08-01,0.81696
2020-09-01,0.90373
2020-10-01,0.74428
2020-11-01,0.51423
2020-12-01,0.41269
2021-01-01,0.25526
2021-02-01,0.45575
2021-03-01,0.89473
2021-04-01,1.23254
2021-05-01,1.46186
2021-06-01,1.62527
2021-07-01,2.26859
2021-08-01,2.73149
2021-09-01,2.86054
2021-10-01,4.15907
2021-11-01,5.63676
2021-12-01,5.70828
2022-01-01,7.59298
2022-02-01,8.0392
2022-03-01,8.30694
2022-04-01,8.30628
2022-05-01,8.96893
2022-06-01,9.6496
2022-07-01,9.62138
2022-08-01,9.94416
2022-09-01,11.27499
2022-10-01,12.26795
2022-11-01,10.62873
2022-12-01,10.35079
