Date,Data
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,75.0
2001-02-01,74.8
2001-03-01,74.6
2001-04-01,74.8
2001-05-01,75.1
2001-06-01,75.0
2001-07-01,73.7
2001-08-01,73.3
2001-09-01,73.6
2001-10-01,72.5
2001-11-01,71.5
2001-12-01,70.9
2002-01-01,71.3
2002-02-01,71.2
2002-03-01,72.0
2002-04-01,73.5
2002-05-01,73.6
2002-06-01,73.2
2002-07-01,73.2
2002-08-01,73.6
2002-09-01,75.2
2002-10-01,76.1
2002-11-01,74.9
2002-12-01,75.5
2003-01-01,72.6
2003-02-01,73.7
2003-03-01,73.9
2003-04-01,72.9
2003-05-01,71.5
2003-06-01,71.6
2003-07-01,71.7
2003-08-01,72.1
2003-09-01,72.3
2003-10-01,72.6
2003-11-01,73.0
2003-12-01,72.7
2004-01-01,73.3
2004-02-01,73.4
2004-03-01,74.6
2004-04-01,75.4
2004-05-01,77.1
2004-06-01,77.6
2004-07-01,78.0
2004-08-01,79.8
2004-09-01,80.6
2004-10-01,82.6
2004-11-01,81.9
2004-12-01,81.8
2005-01-01,79.6
2005-02-01,80.0
2005-03-01,81.9
2005-04-01,82.2
2005-05-01,81.4
2005-06-01,82.0
2005-07-01,82.9
2005-08-01,83.5
2005-09-01,85.3
2005-10-01,86.3
2005-11-01,85.1
2005-12-01,85.6
2006-01-01,86.7
2006-02-01,86.7
2006-03-01,87.2
2006-04-01,88.3
2006-05-01,88.5
2006-06-01,88.4
2006-07-01,89.5
2006-08-01,89.5
2006-09-01,88.5
2006-10-01,87.6
2006-11-01,87.4
2006-12-01,87.3
2007-01-01,87.5
2007-02-01,87.6
2007-03-01,88.9
2007-04-01,89.7
2007-05-01,90.5
2007-06-01,90.9
2007-07-01,91.3
2007-08-01,91.5
2007-09-01,91.8
2007-10-01,92.6
2007-11-01,93.8
2007-12-01,93.8
2008-01-01,94.2
2008-02-01,94.5
2008-03-01,95.1
2008-04-01,96.0
2008-05-01,97.1
2008-06-01,98.4
2008-07-01,99.8
2008-08-01,99.1
2008-09-01,98.7
2008-10-01,97.1
2008-11-01,93.3
2008-12-01,88.8
2009-01-01,89.1
2009-02-01,89.3
2009-03-01,88.9
2009-04-01,90.0
2009-05-01,91.7
2009-06-01,93.6
2009-07-01,92.7
2009-08-01,93.9
2009-09-01,93.4
2009-10-01,93.0
2009-11-01,94.4
2009-12-01,94.2
2010-01-01,95.3
2010-02-01,95.6
2010-03-01,96.8
2010-04-01,98.1
2010-05-01,99.1
2010-06-01,99.6
2010-07-01,99.4
2010-08-01,99.8
2010-09-01,100.0
2010-10-01,100.2
2010-11-01,100.8
2010-12-01,102.2
2011-01-01,104.2
2011-02-01,105.7
2011-03-01,107.2
2011-04-01,108.4
2011-05-01,107.8
2011-06-01,107.6
2011-07-01,107.9
2011-08-01,107.3
2011-09-01,107.7
2011-10-01,107.7
2011-11-01,107.6
2011-12-01,107.7
2012-01-01,109.1
2012-02-01,110.2
2012-03-01,111.4
2012-04-01,111.9
2012-05-01,111.1
2012-06-01,109.8
2012-07-01,110.0
2012-08-01,111.5
2012-09-01,112.3
2012-10-01,111.8
2012-11-01,111.1
2012-12-01,110.4
2013-01-01,110.6
2013-02-01,111.3
2013-03-01,111.2
2013-04-01,109.6
2013-05-01,109.1
2013-06-01,108.9
2013-07-01,109.5
2013-08-01,109.5
2013-09-01,110.2
2013-10-01,109.1
2013-11-01,108.9
2013-12-01,109.2
2014-01-01,108.4
2014-02-01,108.4
2014-03-01,107.9
2014-04-01,107.8
2014-05-01,108.0
2014-06-01,108.4
2014-07-01,108.2
2014-08-01,107.7
2014-09-01,107.3
2014-10-01,106.1
2014-11-01,104.3
2014-12-01,100.7
2015-01-01,98.3
2015-02-01,99.8
2015-03-01,101.8
2015-04-01,102.5
2015-05-01,103.6
2015-06-01,103.0
2015-07-01,102.0
2015-08-01,99.5
2015-09-01,98.5
2015-10-01,98.0
2015-11-01,97.7
2015-12-01,95.5
2016-01-01,93.2
2016-02-01,92.8
2016-03-01,94.4
2016-04-01,95.2
2016-05-01,97.5
2016-06-01,99.0
2016-07-01,99.1
2016-08-01,99.0
2016-09-01,100.2
2016-10-01,101.9
2016-11-01,102.3
2016-12-01,104.2
2017-01-01,105.4
2017-02-01,106.3
2017-03-01,105.8
2017-04-01,106.5
2017-05-01,105.4
2017-06-01,104.3
2017-07-01,104.3
2017-08-01,105.3
2017-09-01,106.3
2017-10-01,107.4
2017-11-01,108.6
2017-12-01,108.6
2018-01-01,109.4
2018-02-01,108.7
2018-03-01,108.7
2018-04-01,109.5
2018-05-01,110.9
2018-06-01,111.7
2018-07-01,111.7
2018-08-01,112.1
2018-09-01,112.5
2018-10-01,113.3
2018-11-01,112.7
2018-12-01,110.9
2019-01-01,110.4
2019-02-01,111.4
2019-03-01,111.8
2019-04-01,112.8
2019-05-01,112.7
2019-06-01,111.7
2019-07-01,111.5
2019-08-01,111.0
2019-09-01,111.6
