Date,Data
2000-01-01,168.4524
2000-02-01,186.8952
2000-03-01,201.3462
2000-04-01,186.2153
2000-05-01,193.2414
2000-06-01,195.2344
2000-07-01,186.268
2000-08-01,157.3232
2000-09-01,166.1511
2000-10-01,144.9426
2000-11-01,155.437
2000-12-01,162.2772
2001-01-01,141.3042
2001-02-01,109.3558
2001-03-01,100.7941
2001-04-01,107.0656
2001-05-01,124.4895
2001-06-01,105.7227
2001-07-01,88.92118
2001-08-01,83.46908
2001-09-01,70.70357
2001-10-01,81.64747
2001-11-01,96.55726
2001-12-01,100.5473
2002-01-01,99.27182
2002-02-01,96.60756
2002-03-01,98.73758
2002-04-01,88.3754
2002-05-01,78.35944
2002-06-01,69.54119
2002-07-01,66.35729
2002-08-01,63.51255
2002-09-01,63.45094
2002-10-01,66.44199
2002-11-01,74.32146
2002-12-01,72.54532
2003-01-01,67.43886
2003-02-01,60.64826
2003-03-01,60.10012
2003-04-01,63.37979
2003-05-01,65.10538
2003-06-01,66.37732
2003-07-01,66.2224
2003-08-01,65.92118
2003-09-01,69.09518
2003-10-01,70.46984
2003-11-01,74.39709
2003-12-01,72.60363
2004-01-01,77.51701
2004-02-01,81.30112
2004-03-01,81.43166
2004-04-01,72.84572
2004-05-01,65.83566
2004-06-01,67.52827
2004-07-01,65.39825
2004-08-01,63.31688
2004-09-01,67.54842
2004-10-01,70.61722
2004-11-01,74.6506
2004-12-01,73.80877
2005-01-01,73.39174
2005-02-01,77.67204
2005-03-01,78.71403
2005-04-01,77.30143
2005-05-01,80.36576
2005-06-01,84.62392
2005-07-01,86.7259
2005-08-01,86.50007
2005-09-01,90.15718
2005-10-01,89.13028
2005-11-01,90.89275
2005-12-01,95.18542
2006-01-01,98.62296
2006-02-01,102.6626
2006-03-01,108.8859
2006-04-01,112.0697
2006-05-01,106.9253
2006-06-01,99.10289
2006-07-01,100.1142
2006-08-01,103.1038
2006-09-01,102.4404
2006-10-01,106.7524
2006-11-01,109.7348
2006-12-01,111.8757
2007-01-01,114.1305
2007-02-01,120.8757
2007-03-01,119.1713
2007-04-01,124.8533
2007-05-01,129.9971
2007-06-01,134.455
2007-07-01,135.4819
2007-08-01,131.0428
2007-09-01,139.2844
2007-10-01,143.5465
2007-11-01,140.3833
2007-12-01,137.0215
2008-01-01,124.177
2008-02-01,126.5044
2008-03-01,114.9349
2008-04-01,114.5879
2008-05-01,115.0424
2008-06-01,106.5008
2008-07-01,98.81674
2008-08-01,99.82279
2008-09-01,89.63437
2008-10-01,72.80543
2008-11-01,67.62263
2008-12-01,63.0841
2009-01-01,62.76838
2009-02-01,57.88858
2009-03-01,53.16957
2009-04-01,60.70057
2009-05-01,68.20293
2009-06-01,67.57209
2009-07-01,65.57778
2009-08-01,70.32612
2009-09-01,75.47983
2009-10-01,73.19559
2009-11-01,73.07002
2009-12-01,73.92563
2010-01-01,77.67641
2010-02-01,77.80952
2010-03-01,84.1415
2010-04-01,85.27031
2010-05-01,76.97559
2010-06-01,76.70628
2010-07-01,76.01112
2010-08-01,78.56359
2010-09-01,81.77045
2010-10-01,85.75319
2010-11-01,85.33533
2010-12-01,88.64057
2011-01-01,91.6692
2011-02-01,90.2149
2011-03-01,86.82639
2011-04-01,88.10986
2011-05-01,86.38757
2011-06-01,78.55098
2011-07-01,76.05129
2011-08-01,64.48244
2011-09-01,63.24797
2011-10-01,65.26336
2011-11-01,64.43237
2011-12-01,62.35854
2012-01-01,67.08627
2012-02-01,71.74472
2012-03-01,71.78194
2012-04-01,66.95362
2012-05-01,62.36632
2012-06-01,58.38123
2012-07-01,60.32453
