Date,Data
2000-01-01,3.15941
2000-02-01,3.00017
2000-03-01,3.23875
2000-04-01,3.05006
2000-05-01,3.26875
2000-06-01,3.28661
2000-07-01,3.06857
2000-08-01,2.43575
2000-09-01,2.67329
2000-10-01,2.68619
2000-11-01,2.59736
2000-12-01,2.40068
2001-01-01,2.33978
2001-02-01,2.51462
2001-03-01,2.32089
2001-04-01,2.61292
2001-05-01,2.727
2001-06-01,2.28941
2001-07-01,2.43625
2001-08-01,2.53878
2001-09-01,2.21643
2001-10-01,2.14374
2001-11-01,1.78252
2001-12-01,2.14374
2002-01-01,2.47718
2002-02-01,2.45796
2002-03-01,2.574
2002-04-01,2.5641
2002-05-01,2.04082
2002-06-01,2.17114
2002-07-01,2.1767
2002-08-01,2.30474
2002-09-01,2.42347
2002-10-01,2.54777
2002-11-01,2.80971
2002-12-01,2.54777
2003-01-01,2.54453
2003-02-01,2.77778
2003-03-01,2.88582
2003-04-01,2.375
2003-05-01,2.25
2003-06-01,2.25
2003-07-01,1.8797
2003-08-01,1.75219
2003-09-01,1.868
2003-10-01,1.36646
2003-11-01,1.61491
2003-12-01,1.36646
2004-01-01,1.2407
2004-02-01,0.9828
2004-03-01,0.60976
2004-04-01,0.8547
2004-05-01,1.34474
2004-06-01,1.10025
2004-07-01,1.35301
2004-08-01,1.10701
2004-09-01,1.10025
2004-10-01,1.71569
2004-11-01,1.22249
2004-12-01,1.22549
2005-01-01,0.98039
2005-02-01,1.21655
2005-03-01,1.45455
2005-04-01,1.81598
2005-05-01,1.44753
2005-06-01,1.81379
2005-07-01,2.06311
2005-08-01,2.31144
2005-09-01,2.41838
2005-10-01,2.04819
2005-11-01,1.93237
2005-12-01,2.30024
2006-01-01,2.18447
2006-02-01,2.16346
2006-03-01,1.91159
2006-04-01,1.9025
2006-05-01,2.0214
2006-06-01,2.13777
2006-07-01,2.0214
2006-08-01,2.0214
2006-09-01,1.65289
2006-10-01,1.53483
2006-11-01,1.77725
2006-12-01,1.77515
2007-01-01,1.78147
2007-02-01,1.88235
2007-03-01,1.99297
2007-04-01,1.63361
2007-05-01,1.74825
2007-06-01,1.39535
2007-07-01,1.1655
2007-08-01,0.9324
2007-09-01,1.27758
2007-10-01,1.74419
2007-11-01,2.4447
2007-12-01,2.32558
2008-01-01,2.91715
2008-02-01,3.11778
2008-03-01,3.10345
2008-04-01,3.32951
2008-05-01,3.43643
2008-06-01,3.7844
2008-07-01,4.03226
2008-08-01,4.38799
2008-09-01,4.12844
2008-10-01,3.65714
2008-11-01,2.72727
2008-12-01,2.38636
2009-01-01,1.81406
2009-02-01,1.79171
2009-03-01,1.67224
2009-04-01,1.22222
2009-05-01,1.21816
2009-06-01,1.21547
2009-07-01,0.99668
2009-08-01,1.1062
2009-09-01,0.88106
2009-10-01,0.99228
2009-11-01,1.32743
2009-12-01,1.44284
2010-01-01,2.00445
2010-02-01,1.9802
2010-03-01,2.30263
2010-04-01,2.5247
2010-05-01,2.18818
2010-06-01,1.8559
2010-07-01,2.19298
2010-08-01,2.407
2010-09-01,2.51092
2010-10-01,2.40175
2010-11-01,2.51092
2010-12-01,2.84464
2011-01-01,2.72926
2011-02-01,2.69687
2011-03-01,2.67953
2011-04-01,2.99786
2011-05-01,3.10493
2011-06-01,3.00107
2011-07-01,3.00429
2011-08-01,2.5641
2011-09-01,2.55591
2011-10-01,2.77186
2011-11-01,2.55591
2011-12-01,2.44681
2012-01-01,2.76302
2012-02-01,2.73109
2012-03-01,2.6096
2012-04-01,2.18295
2012-05-01,2.18069
2012-06-01,2.18522
2012-07-01,2.29167
2012-08-01,2.60417
2012-09-01,2.49221
2012-10-01,2.38589
2012-11-01,2.28453
2012-12-01,2.07684
