Date,Data
2000-01-01,2.26832
2000-02-01,2.78088
2000-03-01,3.1456
2000-04-01,2.64226
2000-05-01,2.69578
2000-06-01,3.00158
2000-07-01,2.84932
2000-08-01,3.19238
2000-09-01,3.72041
2000-10-01,3.59544
2000-11-01,3.57457
2000-12-01,3.01892
2001-01-01,2.92797
2001-02-01,2.79494
2001-03-01,2.73807
2001-04-01,2.96244
2001-05-01,3.334
2001-06-01,3.07631
2001-07-01,2.63527
2001-08-01,2.54491
2001-09-01,2.41465
2001-10-01,2.0961
2001-11-01,1.67145
2001-12-01,1.78288
2002-01-01,2.27971
2002-02-01,1.81263
2002-03-01,1.80286
2002-04-01,1.75558
2002-05-01,1.30801
2002-06-01,1.10465
2002-07-01,1.6792
2002-08-01,1.36253
2002-09-01,1.00493
2002-10-01,1.49138
2002-11-01,1.62451
2002-12-01,1.65434
2003-01-01,1.35672
2003-02-01,1.86744
2003-03-01,1.60732
2003-04-01,1.06393
2003-05-01,0.71729
2003-06-01,0.81464
2003-07-01,0.47048
2003-08-01,0.6049
2003-09-01,0.65053
2003-10-01,0.28626
2003-11-01,0.50732
2003-12-01,0.6031
2004-01-01,0.20078
2004-02-01,0.10448
2004-03-01,-0.51151
2004-04-01,-0.36988
2004-05-01,-0.10445
2004-06-01,-0.05704
2004-07-01,0.32492
2004-08-01,0.44856
2004-09-01,0.42772
2004-10-01,0.85633
2004-11-01,0.50476
2004-12-01,0.4282
2005-01-01,0.19084
2005-02-01,0.33369
2005-03-01,0.98023
2005-04-01,1.06187
2005-05-01,0.61562
2005-06-01,0.78339
2005-07-01,0.52369
2005-08-01,0.66849
2005-09-01,0.77924
2005-10-01,0.35603
2005-11-01,0.60219
2005-12-01,0.59266
2006-01-01,0.80727
2006-02-01,0.9018
2006-03-01,0.8991
2006-04-01,1.29741
2006-05-01,1.7017
2006-06-01,1.7
2006-07-01,1.90763
2006-08-01,1.9
2006-09-01,1.49254
2006-10-01,1.89243
2006-11-01,2.09581
2006-12-01,2.19561
2007-01-01,2.3023
2007-02-01,2.18471
2007-03-01,2.57426
2007-04-01,2.56158
2007-05-01,2.36221
2007-06-01,2.45821
2007-07-01,2.56158
2007-08-01,2.25712
2007-09-01,2.64706
2007-10-01,2.6393
2007-11-01,2.93255
2007-12-01,2.63672
2008-01-01,3.91389
2008-02-01,3.69291
2008-03-01,3.861
2008-04-01,3.55428
