Date,Data
2000-01-01,1.54946
2000-02-01,1.54762
2000-03-01,1.54762
2000-04-01,1.06635
2000-05-01,0.94787
2000-06-01,1.30178
2000-07-01,1.29564
2000-08-01,1.17925
2000-09-01,1.65485
2000-10-01,1.65681
2000-11-01,1.53483
2000-12-01,2.0
2001-01-01,1.40845
2001-02-01,1.87573
2001-03-01,1.87573
2001-04-01,2.34467
2001-05-01,2.8169
2001-06-01,2.45327
2001-07-01,2.09302
2001-08-01,2.0979
2001-09-01,1.86047
2001-10-01,1.86263
2001-11-01,1.51163
2001-12-01,1.61476
2002-01-01,2.08333
2002-02-01,1.8412
2002-03-01,2.07135
2002-04-01,1.48912
2002-05-01,1.25571
2002-06-01,1.14025
2002-07-01,1.13895
2002-08-01,1.25571
2002-09-01,1.25571
2002-10-01,1.25714
2002-11-01,1.14548
2002-12-01,1.13507
2003-01-01,1.02041
2003-02-01,1.24294
2003-03-01,1.1274
2003-04-01,0.90293
2003-05-01,0.5637
2003-06-01,0.90192
2003-07-01,1.01351
2003-08-01,1.1274
2003-09-01,1.01466
2003-10-01,1.12867
2003-11-01,1.24575
2003-12-01,1.12233
2004-01-01,1.12233
2004-02-01,0.78125
2004-03-01,1.00335
2004-04-01,1.67785
2004-05-01,2.13005
2004-06-01,1.78771
2004-07-01,1.78372
2004-08-01,1.89521
2004-09-01,1.78571
2004-10-01,1.89732
2004-11-01,1.90157
2004-12-01,2.21976
2005-01-01,1.44284
2005-02-01,1.66113
2005-03-01,1.766
2005-04-01,1.21012
2005-05-01,1.20746
2005-06-01,1.31723
2005-07-01,1.53341
2005-08-01,1.53173
2005-09-01,1.86404
2005-10-01,1.86199
2005-11-01,1.75631
2005-12-01,1.41151
2006-01-01,1.85996
2006-02-01,1.85185
2006-03-01,1.40998
2006-04-01,1.95652
2006-05-01,1.73536
2006-06-01,1.84182
2006-07-01,1.83387
2006-08-01,1.50862
2006-09-01,1.07643
2006-10-01,1.07527
2006-11-01,1.40237
2006-12-01,1.39186
2007-01-01,1.71858
2007-02-01,1.71123
2007-03-01,1.92513
2007-04-01,2.1322
2007-05-01,2.1322
2007-06-01,1.91489
2007-07-01,2.01271
2007-08-01,2.12314
2007-09-01,2.66241
2007-10-01,2.76596
2007-11-01,3.29787
2007-12-01,3.1679
2008-01-01,2.85111
2008-02-01,2.83912
2008-03-01,3.14795
2008-04-01,2.40084
2008-05-01,3.02714
2008-06-01,3.23591
2008-07-01,3.32295
2008-08-01,3.1185
2008-09-01,2.80083
2008-10-01,2.38095
2008-11-01,1.33883
2008-12-01,1.1259
2009-01-01,0.92402
2009-02-01,1.12474
2009-03-01,0.40692
2009-04-01,0.71356
2009-05-01,0.0
2009-06-01,0.10111
2009-07-01,-0.50251
2009-08-01,0.0
2009-09-01,-0.20182
2009-10-01,0.0
2009-11-01,0.4065
2009-12-01,0.80972
2010-01-01,0.71211
2010-02-01,0.50556
2010-03-01,1.21581
2010-04-01,1.21458
2010-05-01,1.21581
2010-06-01,0.90909
2010-07-01,1.11111
2010-08-01,1.00807
2010-09-01,1.21335
2010-10-01,1.31446
2010-11-01,1.51822
2010-12-01,1.30522
2011-01-01,1.71717
2011-02-01,1.91147
2011-03-01,2.002
2011-04-01,1.9
2011-05-01,2.002
2011-06-01,2.1021
2011-07-01,2.0979
2011-08-01,2.09581
2011-09-01,2.3976
2011-10-01,2.29541
2011-11-01,2.39282
2011-12-01,1.98216
2012-01-01,2.0854
2012-02-01,2.17177
2012-03-01,2.15898
2012-04-01,1.96271
